------Generation 0------
Rule  1: 15315b8bb, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule  2: 813212144, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule  3: 1115111b1, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule  4: 111112211, Class:  0, CF:0.877519, Len:  9, Fitness_tra: 0
Rule  5: 112112111, Class:  0, CF:0.82019, Len:  9, Fitness_tra: 0
Rule  6: 229157874, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 21151b114, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule  8: c9211b88b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: c53114112, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 10: 88111b124, Class:  0, CF:0.90625, Len:  9, Fitness_tra: 0
Rule 11: 18e512814, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 2c911787b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 8515dbcb2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 000000000, Class:  0, CF:0.842932, Len:  0, Fitness_tra: 124
Rule 15: 12b112322, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 16: 28e854c74, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 129534117, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 000000000, Class:  0, CF:0.842932, Len:  0, Fitness_tra: 0
Rule 19: 12919bcb7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: c89152217, Class:  0, CF:0.540217, Len:  9, Fitness_tra: 0
Rule 21: 4592524b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 1ce252112, Class:  0, CF:0.976572, Len:  9, Fitness_tra: 0
Rule 23: 157d3111b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 211151217, Class:  0, CF:0.993187, Len:  9, Fitness_tra: 0
Rule 25: 000000000, Class:  0, CF:0.842932, Len:  0, Fitness_tra: 0
Rule 26: 181851871, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 27: c56591cb7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 85e834214, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: c86151141, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 30: 000000000, Class:  0, CF:0.842932, Len:  0, Fitness_tra: 0
Rule 31: 55e8d217b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 000000000, Class:  0, CF:0.842932, Len:  0, Fitness_tra: 0
Rule 33: c838d412b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 500000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 1
Rule 35: 11111b171, Class:  0, CF:0.991596, Len:  9, Fitness_tra: 0
