------Generation 0------
Rule  1: 12e11bc14, Class:  0, CF:0.606603, Len:  9, Fitness_tra: 0
Rule  2: 18e8142b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 81e2321b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 000000000, Class:  0, CF:0.84456, Len:  0, Fitness_tra: 146
Rule  5: cce832172, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 312111371, Class:  0, CF:0.962005, Len:  9, Fitness_tra: 0
Rule  7: 811812171, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule  8: 1c1214544, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 8129128c4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 11111122b, Class:  0, CF:0.976416, Len:  9, Fitness_tra: 0
Rule 11: c11812212, Class:  0, CF:0.971503, Len:  9, Fitness_tra: 0
Rule 12: 211814111, Class:  0, CF:0.9508, Len:  9, Fitness_tra: 0
Rule 13: 127257112, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 14: 8868141b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 5c0000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 0
Rule 16: 11b111221, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 17: 121cd1111, Class:  0, CF:0.991571, Len:  9, Fitness_tra: 0
Rule 18: 000000000, Class:  0, CF:0.84456, Len:  0, Fitness_tra: 0
Rule 19: 11213b121, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 20: 000000000, Class:  0, CF:0.84456, Len:  0, Fitness_tra: 0
Rule 21: 0d0700000, Class:  0, CF:0.942412, Len:  2, Fitness_tra: 1
Rule 22: 151151142, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 23: 511857542, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 81e152841, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 88e812124, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 1512175bb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
