------Generation 0------
Rule  1: 812221ec, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule  2: 12512191, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule  3: 00000000, Class:  1, CF:1.11022e-16, Len:  0, Fitness_tra: 0
Rule  4: d11d1292, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 00000000, Class:  1, CF:1.11022e-16, Len:  0, Fitness_tra: 0
Rule  6: 81184198, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 422111e2, Class:  0, CF:0.871139, Len:  8, Fitness_tra: 0
Rule  8: 11122492, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 18d51791, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 112111e5, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 11: 8c18bb12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 85117238, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 55124418, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 11111131, Class:  0, CF:  1, Len:  8, Fitness_tra: 8
Rule 15: 55122198, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 16: 881cbb18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: c25c1b1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 151217e4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 11112731, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 19817b32, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 59812258, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 51214498, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: d1147711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 525c12e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 21d27252, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 28ccb192, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 5111b118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: d5514191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 5514225c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 2dd87158, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 81127b33, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 99c14432, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 5155b132, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 28214418, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 1d5cb2e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 851c4418, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 51814b31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 28121412, Class:  1, CF:0.942744, Len:  8, Fitness_tra: 0
Rule 39: 39124732, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 51113be8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 19184be8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 2d227451, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 5c821b18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 524c7732, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 1881b211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 351127e8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 2152bb12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: c111b438, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 13c2b738, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 31c124e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 2c22713c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 11114b95, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 1c527461, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 1112b492, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
