------Generation 0------
Rule  1: cd88473c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 5112b212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 258114e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 11844b18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 88814752, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 51d27232, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 11122b93, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 00000000, Class:  0, CF:2.22045e-16, Len:  0, Fitness_tra: 0
Rule  9: 551c1711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 2c511153, Class:  0, CF:  1, Len:  8, Fitness_tra: 46
Rule 11: e3222b11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 55412718, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: d814b111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 15542252, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 12822215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 8822bbe1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: d1511232, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 51547451, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 91227b12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 88514494, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 51821b98, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 83d1715c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: c12141e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: d1821b11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: d8844492, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 118c2498, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: d2512718, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 2122111c, Class:  0, CF:0.911064, Len:  8, Fitness_tra: 283
Rule 29: 82144438, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 58287431, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: d8814132, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: d1211431, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 5d117151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 51241718, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 1882771c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 9d28111c, Class:  0, CF:  1, Len:  8, Fitness_tra: 1
Rule 37: 51541711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 9d827111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 211c4494, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: c912bb91, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: d111249c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 5184b491, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: c5841434, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 11512114, Class:  0, CF:  1, Len:  8, Fitness_tra: 1
Rule 45: 55111b92, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 15581792, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: c514213c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 21117251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: cc21bb91, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 8d121be4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 5885bb98, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 1c514b5d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 82211b32, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 111c2be4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 28d2b118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 1224b211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: d5414be8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 28127255, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 51224292, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 511c1418, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 1884141d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
