------Generation 0------
Rule  1: 1128143d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 115524e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 2121479c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 2211b491, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 1111b118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: d1821291, Class:  1, CF:0.967005, Len:  8, Fitness_tra: 1
Rule  7: c2124b35, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 2558b71c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 1582275c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 2528b738, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 55527234, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 52811731, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 181417e8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 211112e8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 11511b91, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 5d141431, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 82141295, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 21527298, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 132141ec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 392147e5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 21d117e5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 5cd42732, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 128c71e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 192cb112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 315827e8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 11244212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 85892b11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 118112e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 2814bbe8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 11c8b731, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 1c154152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 51111b9c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: d51c7238, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 1d8cb238, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 9e8c2be1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: c112bb35, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 528cbb9c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: c1c224ec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 88811111, Class:  0, CF:0.464677, Len:  8, Fitness_tra: 384
Rule 40: 5c8c2be1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 851c7432, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 1155bbe1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 12424298, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 1152143c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 88d8b25d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 5dd117e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 18241b98, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 51122711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 00000000, Class:  1, CF:1.11022e-16, Len:  0, Fitness_tra: 0
Rule 50: d211bb11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: d152b212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 11844131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 2222bb12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 15c11132, Class:  0, CF:  1, Len:  8, Fitness_tra: 4
Rule 55: 11511718, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 81512118, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 57: 51d41151, Class:  0, CF:  1, Len:  8, Fitness_tra: 4
Rule 58: 5111713c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
