------Generation 0------
Rule  1: 0700000000d50, Class:  1, CF:0.0293414, Len:  3, Fitness_tra: 0
Rule  2: 1155114321228, Class:  1, CF:0.465376, Len: 13, Fitness_tra: 0
Rule  3: 000000c000500, Class:  1, CF:0.258446, Len:  2, Fitness_tra: 0
Rule  4: 1211819111131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 1285281121511, Class:  1, CF:0.962355, Len: 13, Fitness_tra: 0
Rule  6: 000080b040000, Class:  2, CF:0.611183, Len:  3, Fitness_tra: 1
Rule  7: 5111512221111, Class:  0, CF:0.698341, Len: 13, Fitness_tra: 0
Rule  8: 0030000008400, Class:  0, CF:0.0835117, Len:  3, Fitness_tra: 0
Rule  9: 1115112111111, Class:  1, CF:0.435156, Len: 13, Fitness_tra: 0
Rule 10: e1111315155d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 1458819155111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 1293418321111, Class:  0, CF:0.909665, Len: 13, Fitness_tra: 0
Rule 13: 200d000004000, Class:  2, CF:0.555189, Len:  3, Fitness_tra: 8
Rule 14: 1111114121212, Class:  0, CF:0.13533, Len: 13, Fitness_tra: 0
Rule 15: 1155114315111, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 16: 4000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 1191595551551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 000000c000000, Class:  0, CF:0.262117, Len:  1, Fitness_tra: -23
Rule 19: 9111111181111, Class:  0, CF:0.919464, Len: 13, Fitness_tra: 0
Rule 20: 8000000000002, Class:  0, CF:0.383629, Len:  2, Fitness_tra: -6
Rule 21: 511515551c515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 1115252882512, Class:  1, CF:0.87557, Len: 13, Fitness_tra: 0
Rule 23: 1535c14183411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 9212131111111, Class:  2, CF:0.985905, Len: 13, Fitness_tra: 0
Rule 25: 2000000000002, Class:  0, CF:0.385939, Len:  2, Fitness_tra: 0
Rule 26: 323c1331d5811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 34d1595c51515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 1191111211442, Class:  1, CF:0.0499414, Len: 13, Fitness_tra: 0
Rule 29: 3411513155511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 121d111251111, Class:  1, CF:0.940323, Len: 13, Fitness_tra: 0
Rule 31: 2111111181157, Class:  0, CF:0.382595, Len: 13, Fitness_tra: 0
Rule 32: 0700400000d50, Class:  0, CF:0.207992, Len:  4, Fitness_tra: 0
Rule 33: 9231215888511, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 34: 1155512181112, Class:  1, CF:0.204656, Len: 13, Fitness_tra: 0
Rule 35: 12d5211184512, Class:  1, CF:0.339673, Len: 13, Fitness_tra: 0
Rule 36: 000d800000000, Class:  2, CF:0.390858, Len:  2, Fitness_tra: -2
Rule 37: 000080b040000, Class:  2, CF:0.611183, Len:  3, Fitness_tra: 0
Rule 38: 5551122311281, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 39: 3111193515d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 3152131255111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 511521152542c, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 42: 1211111111119, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 43: 2251115157311, Class:  0, CF:0.517705, Len: 13, Fitness_tra: 0
Rule 44: 11151112c1212, Class:  1, CF:0.873028, Len: 13, Fitness_tra: 0
Rule 45: 0c03008004550, Class:  0, CF:0.7853, Len:  6, Fitness_tra: 0
Rule 46: 1551187311171, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 47: 18e5511251511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 11118c4121141, Class:  0, CF:0.49702, Len: 13, Fitness_tra: 0
Rule 49: 1311c273c1112, Class:  0, CF:0.00197457, Len: 13, Fitness_tra: 0
Rule 50: 0000060400000, Class:  2, CF:0.572496, Len:  2, Fitness_tra: 13
Rule 51: 211d211111191, Class:  1, CF:0.986274, Len: 13, Fitness_tra: 0
Rule 52: 2185128c11531, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 53: 3111839111513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 5151c27121111, Class:  0, CF:0.556965, Len: 13, Fitness_tra: 0
Rule 55: 1181c12c11512, Class:  0, CF:0.549263, Len: 13, Fitness_tra: 0
Rule 56: 000000c000002, Class:  0, CF:0.722281, Len:  2, Fitness_tra: 19
Rule 57: 1191221d81148, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 58: 1111287121218, Class:  0, CF:0.87132, Len: 13, Fitness_tra: 0
Rule 59: 1112c12112512, Class:  0, CF:0.576379, Len: 13, Fitness_tra: 0
Rule 60: 1132111151811, Class:  1, CF:0.901594, Len: 13, Fitness_tra: 0
Rule 61: 1181255181112, Class:  0, CF:0.908742, Len: 13, Fitness_tra: 0
Rule 62: 1151844121212, Class:  0, CF:0.977662, Len: 13, Fitness_tra: 0
Rule 63: 111c51d118115, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 64: 5111117111211, Class:  1, CF:0.231444, Len: 13, Fitness_tra: 0
Rule 65: e452535115515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 1151121911142, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 00007080d0000, Class:  0, CF:0.740108, Len:  3, Fitness_tra: 4
Rule 68: 1111111152111, Class:  1, CF:0.145792, Len: 13, Fitness_tra: 0
Rule 69: 211dc15111132, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 12151c4111141, Class:  1, CF:0.930621, Len: 13, Fitness_tra: 0
Rule 71: 1111231112111, Class:  2, CF:0.810154, Len: 13, Fitness_tra: 0
Rule 72: 151582b12828c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 1112295115131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 61d1111111591, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 75: 123159151d511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 1111151182119, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 77: 22d1221184511, Class:  0, CF:0.618625, Len: 13, Fitness_tra: 0
