------Generation 0------
Rule  1: 1551222d2111c, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule  2: 000000c000500, Class:  1, CF:0.287822, Len:  2, Fitness_tra: 1
Rule  3: 3235115511115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 1215455124112, Class:  0, CF:0.532857, Len: 13, Fitness_tra: 0
Rule  5: 0000000000200, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 5151111212112, Class:  2, CF:0.732584, Len: 13, Fitness_tra: 0
Rule  7: 1151c15112531, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  8: 1152533118111, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule  9: 0000590000003, Class:  0, CF:0.139435, Len:  3, Fitness_tra: 0
Rule 10: 12185312d1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 2151151112111, Class:  0, CF:0.240652, Len: 13, Fitness_tra: 0
Rule 12: 12581952d2815, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 13: 1111111222111, Class:  2, CF:0.583545, Len: 13, Fitness_tra: 0
Rule 14: e151891155511, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 15: 1412155188513, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 16: 11512cb18111c, Class:  0, CF:0.672905, Len: 13, Fitness_tra: 0
Rule 17: 1c1c21d11c535, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 12d1112312552, Class:  0, CF:0.934884, Len: 13, Fitness_tra: 0
Rule 19: 1111112111111, Class:  1, CF:0.383964, Len: 13, Fitness_tra: 0
Rule 20: 1cd5122124551, Class:  1, CF:0.994342, Len: 13, Fitness_tra: 0
Rule 21: 511112b312121, Class:  0, CF:0.264719, Len: 13, Fitness_tra: 0
Rule 22: 511112412c112, Class:  0, CF:0.987855, Len: 13, Fitness_tra: 0
Rule 23: 111111212121c, Class:  0, CF:0.520205, Len: 13, Fitness_tra: 0
Rule 24: e252199815111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 3212515115831, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 511111112522c, Class:  0, CF:0.561144, Len: 13, Fitness_tra: 0
Rule 27: 0000000000002, Class:  0, CF:0.174114, Len:  1, Fitness_tra: -25
Rule 28: 1115c1d111132, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 3418563215531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 12311131111d1, Class:  1, CF:0.986979, Len: 13, Fitness_tra: 0
Rule 31: 1111211111512, Class:  1, CF:0.669704, Len: 13, Fitness_tra: 0
Rule 32: 325515112c511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 1131214113221, Class:  1, CF:0.902027, Len: 13, Fitness_tra: 0
Rule 34: 34121dd25cd19, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 0000400400d50, Class:  0, CF:0.303944, Len:  4, Fitness_tra: 0
Rule 36: c23142c522112, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 37: 2000000004004, Class:  0, CF:0.208559, Len:  3, Fitness_tra: -1
Rule 38: 11518841c5221, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 39: 1111215111192, Class:  0, CF:0.970064, Len: 13, Fitness_tra: 0
Rule 40: 1155227125118, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 41: 3152219111191, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 42: 311185d11151d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 1c11151151111, Class:  1, CF:0.987336, Len: 13, Fitness_tra: 0
Rule 44: 1151121315118, Class:  0, CF:0.989628, Len: 13, Fitness_tra: 0
Rule 45: 11511212c1241, Class:  1, CF:0.134816, Len: 13, Fitness_tra: 0
Rule 46: 8215211151211, Class:  0, CF:0.660791, Len: 13, Fitness_tra: 0
Rule 47: 11152c712121c, Class:  0, CF:0.343415, Len: 13, Fitness_tra: 0
Rule 48: 1111531111111, Class:  2, CF:0.23597, Len: 13, Fitness_tra: 0
Rule 49: 1211211112131, Class:  2, CF:0.957295, Len: 13, Fitness_tra: 0
Rule 50: 11151c2189211, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 51: 1153251112517, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 52: 1291218114512, Class:  0, CF:0.927168, Len: 13, Fitness_tra: 0
Rule 53: 1152111151291, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 54: 000000000b004, Class:  0, CF:0.0404554, Len:  2, Fitness_tra: 0
