------Generation 0------
Rule  1: 21114c8314511, Class:  0, CF:0.0683626, Len: 13, Fitness_tra: 0
Rule  2: 3c38511821113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 000080b040000, Class:  2, CF:0.257959, Len:  3, Fitness_tra: 5
Rule  4: 3115121111228, Class:  1, CF:0.988821, Len: 13, Fitness_tra: 0
Rule  5: 1cd1418184811, Class:  0, CF:0.998115, Len: 13, Fitness_tra: 0
Rule  6: 21211128115e1, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  7: 911181d111515, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  8: e4521351155e5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 1c11155811111, Class:  1, CF:0.999684, Len: 13, Fitness_tra: 0
Rule 10: 1511812121212, Class:  0, CF:0.30801, Len: 13, Fitness_tra: 0
Rule 11: 549181d128111, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 12: 2119155122834, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 1115217311118, Class:  1, CF:0.895837, Len: 13, Fitness_tra: 0
Rule 14: 3151595155115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 11151c4121171, Class:  1, CF:0.924486, Len: 13, Fitness_tra: 0
Rule 16: 9152239211115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 1111115121835, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 18: 2115158122511, Class:  1, CF:0.999867, Len: 13, Fitness_tra: 0
Rule 19: 1151212111212, Class:  0, CF:0.508964, Len: 13, Fitness_tra: 0
Rule 20: 1112515211535, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 000000c000000, Class:  0, CF:0.297001, Len:  1, Fitness_tra: 1
Rule 22: 1191515158151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 11328e1211193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
