------Generation 0------
Rule  1: 255125b524, Class:  1, CF:  1, Len: 10, Fitness_tra: 37
Rule  2: 2174212722, Class:  1, CF:0.989618, Len: 10, Fitness_tra: 0
Rule  3: 2422112177, Class:  1, CF:0.884412, Len: 10, Fitness_tra: 0
Rule  4: 7721562711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 7722152214, Class:  1, CF:0.996436, Len: 10, Fitness_tra: 0
Rule  6: 47b7a17147, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule  7: 4bb4197714, Class:  1, CF:0.996798, Len: 10, Fitness_tra: 0
Rule  8: b41b297122, Class:  1, CF:0.937294, Len: 10, Fitness_tra: 0
Rule  9: 4741864124, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 10: 117256171c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 2391812311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 4412114721, Class:  1, CF:0.846054, Len: 10, Fitness_tra: -2
Rule 13: c11b597b14, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 41b4114722, Class:  1, CF:0.971156, Len: 10, Fitness_tra: 0
Rule 15: 4e8219411d, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 16: 242b31b12b, Class:  1, CF:0.874795, Len: 10, Fitness_tra: 1
Rule 17: 12b4512427, Class:  1, CF:0.949964, Len: 10, Fitness_tra: 0
Rule 18: b112632141, Class:  0, CF:0.370241, Len: 10, Fitness_tra: 7
Rule 19: 77b2d51b71, Class:  1, CF:0.926591, Len: 10, Fitness_tra: 6
Rule 20: b2b2114bb4, Class:  1, CF:0.4628, Len: 10, Fitness_tra: 0
Rule 21: 8c143179dc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 241bd17422, Class:  1, CF:0.997813, Len: 10, Fitness_tra: 0
Rule 23: 7e72252248, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 24: 49141d2112, Class:  0, CF:0.148697, Len: 10, Fitness_tra: 16
Rule 25: 12b2532722, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 26: 47b753b411, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 27: 1217131811, Class:  1, CF:  1, Len: 10, Fitness_tra: 249
Rule 28: 1214297224, Class:  1, CF:0.821976, Len: 10, Fitness_tra: -19
Rule 29: 71771e7447, Class:  1, CF:0.997133, Len: 10, Fitness_tra: 0
Rule 30: b12129b114, Class:  1, CF:0.996619, Len: 10, Fitness_tra: -153
Rule 31: 21c7317552, Class:  1, CF:  1, Len: 10, Fitness_tra: 17
Rule 32: 4247217b74, Class:  1, CF:0.833183, Len: 10, Fitness_tra: 0
Rule 33: cc14134115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 744b8e27b1, Class:  1, CF:0.807513, Len: 10, Fitness_tra: 0
Rule 35: b4b729bb14, Class:  1, CF:0.665769, Len: 10, Fitness_tra: 0
Rule 36: 444b1174b1, Class:  1, CF:0.682723, Len: 10, Fitness_tra: -1
Rule 37: b777c97222, Class:  1, CF:0.999115, Len: 10, Fitness_tra: 0
Rule 38: 2c27211214, Class:  1, CF:0.987168, Len: 10, Fitness_tra: 69
Rule 39: 2511154e58, Class:  1, CF:  1, Len: 10, Fitness_tra: 34
Rule 40: 111b231724, Class:  1, CF:0.841082, Len: 10, Fitness_tra: 6
Rule 41: b1b28e2424, Class:  1, CF:0.99897, Len: 10, Fitness_tra: 0
Rule 42: 1c41134d82, Class:  1, CF:  1, Len: 10, Fitness_tra: 2
Rule 43: b41425b212, Class:  1, CF:0.953182, Len: 10, Fitness_tra: 0
Rule 44: 171159b744, Class:  1, CF:0.979903, Len: 10, Fitness_tra: 190
Rule 45: c8129f2511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 11811d4511, Class:  1, CF:  1, Len: 10, Fitness_tra: 62
Rule 47: 2211337821, Class:  1, CF:  1, Len: 10, Fitness_tra: 11
Rule 48: 784b95b115, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 49: 4b2129bb44, Class:  1, CF:0.99946, Len: 10, Fitness_tra: 29
Rule 50: 45171db932, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 51: 2224512511, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 52: 2114b11114, Class:  0, CF:0.321519, Len: 10, Fitness_tra: 2036
Rule 53: 11cb211595, Class:  1, CF:  1, Len: 10, Fitness_tra: 51
Rule 54: 271251272c, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 55: 1b471627bb, Class:  0, CF:0.562726, Len: 10, Fitness_tra: 0
Rule 56: 774111b711, Class:  1, CF:0.833078, Len: 10, Fitness_tra: 1236
Rule 57: b127194b42, Class:  1, CF:0.986528, Len: 10, Fitness_tra: 0
Rule 58: 724486bb22, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 59: 4b77c341b2, Class:  1, CF:0.972178, Len: 10, Fitness_tra: 0
Rule 60: 211281122b, Class:  1, CF:0.995946, Len: 10, Fitness_tra: 49
Rule 61: 471281422b, Class:  1, CF:0.9976, Len: 10, Fitness_tra: 0
Rule 62: 81841d7511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 72b2d3b442, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 64: 111b152351, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 65: 1114134512, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
