------Generation 0------
Rule  1: b4122a44bb, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule  2: 72b4137224, Class:  1, CF:0.952809, Len: 10, Fitness_tra: 0
Rule  3: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 1b47d14274, Class:  1, CF:0.998924, Len: 10, Fitness_tra: 0
Rule  5: 14178924b4, Class:  1, CF:0.414561, Len: 10, Fitness_tra: 0
Rule  6: 184b1d7741, Class:  1, CF:0.617501, Len: 10, Fitness_tra: 0
Rule  7: 7412c1142b, Class:  1, CF:0.967992, Len: 10, Fitness_tra: 101
Rule  8: b1b71917b7, Class:  1, CF:0.926434, Len: 10, Fitness_tra: -9
Rule  9: 412b112224, Class:  1, CF:0.997169, Len: 10, Fitness_tra: 0
Rule 10: 4144391282, Class:  1, CF:0.999973, Len: 10, Fitness_tra: 0
Rule 11: 112189bb21, Class:  1, CF:0.983443, Len: 10, Fitness_tra: -3
Rule 12: 284b152174, Class:  1, CF:0.802534, Len: 10, Fitness_tra: 0
Rule 13: b244512717, Class:  1, CF:0.91892, Len: 10, Fitness_tra: 0
Rule 14: 7b1256bb47, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 124b117242, Class:  1, CF:0.993728, Len: 10, Fitness_tra: 0
Rule 16: 427759b1b4, Class:  1, CF:0.363467, Len: 10, Fitness_tra: 0
Rule 17: 1172c1b717, Class:  1, CF:0.934011, Len: 10, Fitness_tra: -1
Rule 18: 4b221e4414, Class:  1, CF:0.998408, Len: 10, Fitness_tra: 0
Rule 19: 2172191241, Class:  1, CF:0.990555, Len: 10, Fitness_tra: 6
Rule 20: 241b314181, Class:  1, CF:0.992741, Len: 10, Fitness_tra: 0
Rule 21: 2147891121, Class:  1, CF:0.976067, Len: 10, Fitness_tra: -78
Rule 22: 4111117152, Class:  1, CF:  1, Len: 10, Fitness_tra: 10
Rule 23: 4cb1867b72, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: bbb483727b, Class:  1, CF:0.986171, Len: 10, Fitness_tra: 0
Rule 25: 1142514717, Class:  1, CF:0.919765, Len: 10, Fitness_tra: 0
Rule 26: 4217234b1b, Class:  1, CF:0.594061, Len: 10, Fitness_tra: 0
Rule 27: 177159472b, Class:  1, CF:0.993555, Len: 10, Fitness_tra: 1
Rule 28: c8c21349d4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 24224327b7, Class:  1, CF:0.305894, Len: 10, Fitness_tra: 0
Rule 30: 742b2e2bb1, Class:  1, CF:0.164862, Len: 10, Fitness_tra: -1
Rule 31: 2241117128, Class:  1, CF:0.995065, Len: 10, Fitness_tra: 0
Rule 32: 241755b174, Class:  1, CF:0.806347, Len: 10, Fitness_tra: 0
Rule 33: 12774e4444, Class:  1, CF:0.870065, Len: 10, Fitness_tra: 0
Rule 34: 717289b22b, Class:  1, CF:0.998585, Len: 10, Fitness_tra: 0
Rule 35: 72b22d277c, Class:  1, CF:0.979415, Len: 10, Fitness_tra: 0
Rule 36: 712b8db114, Class:  1, CF:0.987471, Len: 10, Fitness_tra: 0
Rule 37: 78b8a67bb7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: bd727111b7, Class:  1, CF:0.166471, Len: 10, Fitness_tra: -76
Rule 39: 11141e44b7, Class:  1, CF:0.64786, Len: 10, Fitness_tra: -66
Rule 40: 24411972bb, Class:  1, CF:0.990714, Len: 10, Fitness_tra: 0
Rule 41: c282132d95, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 441253271b, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 43: 727b1fb771, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 44: 171b1c1712, Class:  1, CF:0.1849, Len: 10, Fitness_tra: -186
Rule 45: 4b715db172, Class:  1, CF:0.999776, Len: 10, Fitness_tra: 16
Rule 46: 1e121d1161, Class:  0, CF:0.999807, Len: 10, Fitness_tra: 103
Rule 47: 4144ca2177, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 1144d34118, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 49: 2627b14b7c, Class:  1, CF:0.999999, Len: 10, Fitness_tra: 0
Rule 50: 411b5e4117, Class:  1, CF:0.737954, Len: 10, Fitness_tra: -38
Rule 51: b717c3b714, Class:  1, CF:0.954656, Len: 10, Fitness_tra: 0
Rule 52: 2124132141, Class:  1, CF:0.341286, Len: 10, Fitness_tra: 0
Rule 53: 22171d4b1b, Class:  1, CF:0.458787, Len: 10, Fitness_tra: 0
Rule 54: bd711d4bb2, Class:  1, CF:0.660806, Len: 10, Fitness_tra: 7
Rule 55: 242bc34114, Class:  1, CF:0.96936, Len: 10, Fitness_tra: 0
Rule 56: c241d94221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: bb2b2a7b1b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 58: 4414194221, Class:  1, CF:0.976656, Len: 10, Fitness_tra: 0
Rule 59: 717b867417, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 60: 1a911d41e5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 221726441b, Class:  0, CF:0.787723, Len: 10, Fitness_tra: 0
Rule 62: 252b111d52, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 63: 4c175f74b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 4b2b29774b, Class:  1, CF:0.998297, Len: 10, Fitness_tra: 0
Rule 65: bb718e1b41, Class:  1, CF:0.998213, Len: 10, Fitness_tra: 391
Rule 66: 4117894474, Class:  1, CF:0.989913, Len: 10, Fitness_tra: 0
Rule 67: 1124152511, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 68: 2717251724, Class:  1, CF:0.977165, Len: 10, Fitness_tra: 0
Rule 69: 224b1f7721, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 70: 11bba67141, Class:  0, CF:  1, Len: 10, Fitness_tra: 1
Rule 71: 212b297122, Class:  1, CF:0.99172, Len: 10, Fitness_tra: 0
Rule 72: 41bb41b742, Class:  1, CF:0.971356, Len: 10, Fitness_tra: 0
Rule 73: 4b11412242, Class:  1, CF:0.996899, Len: 10, Fitness_tra: 24
Rule 74: 2227211772, Class:  1, CF:0.796742, Len: 10, Fitness_tra: -2
Rule 75: 1b27d14224, Class:  1, CF:0.999766, Len: 10, Fitness_tra: 0
Rule 76: 41141312b7, Class:  1, CF:0.44323, Len: 10, Fitness_tra: 0
Rule 77: 7b742e7114, Class:  1, CF:0.983366, Len: 10, Fitness_tra: 0
Rule 78: 1c21137444, Class:  1, CF:0.777997, Len: 10, Fitness_tra: 2
Rule 79: 7277111222, Class:  1, CF:0.996221, Len: 10, Fitness_tra: 440
Rule 80: 2214d61121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 1714d94411, Class:  1, CF:0.0882961, Len: 10, Fitness_tra: -130
Rule 82: 14145178cc, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 83: 722b517c22, Class:  1, CF:0.998936, Len: 10, Fitness_tra: 0
Rule 84: 81d7894a3d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: b117d12412, Class:  1, CF:0.99043, Len: 10, Fitness_tra: 0
Rule 86: b2b1514271, Class:  1, CF:0.996845, Len: 10, Fitness_tra: 27
Rule 87: 2314114111, Class:  1, CF:0.907899, Len: 10, Fitness_tra: -657
Rule 88: 11b253bb71, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 89: 741455741b, Class:  1, CF:0.84915, Len: 10, Fitness_tra: 0
Rule 90: 4741191771, Class:  1, CF:0.994316, Len: 10, Fitness_tra: 77
Rule 91: 22bb25bb47, Class:  1, CF:0.640454, Len: 10, Fitness_tra: 0
Rule 92: 722b884124, Class:  1, CF:0.993667, Len: 10, Fitness_tra: 0
Rule 93: bb47111b44, Class:  1, CF:0.98677, Len: 10, Fitness_tra: 86
Rule 94: b77183b144, Class:  1, CF:0.981154, Len: 10, Fitness_tra: 0
Rule 95: 1412161142, Class:  0, CF:0.991196, Len: 10, Fitness_tra: 28
Rule 96: 2421911cc8, Class:  1, CF:  1, Len: 10, Fitness_tra: 3
Rule 97: 211b314152, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 98: c2b7131127, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 99: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 4211312141, Class:  1, CF:0.794433, Len: 10, Fitness_tra: 292
------Current------
Miss_rate(tra)	:98.3367
------Result------
Miss_rate(tra)	:98.3367
