------Generation 0------
Rule  1: 211b131171, Class:  0, CF:0.150698, Len: 10, Fitness_tra: 195
Rule  2: c9c4131158, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 1177232411, Class:  1, CF:0.552464, Len: 10, Fitness_tra: 0
Rule  4: 11bb2f2742, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule  5: 7212c174b7, Class:  1, CF:0.858825, Len: 10, Fitness_tra: 0
Rule  6: 12b7c141b7, Class:  1, CF:0.302668, Len: 10, Fitness_tra: 0
Rule  7: 1b71114772, Class:  1, CF:0.962211, Len: 10, Fitness_tra: 11
Rule  8: 214113b4b4, Class:  0, CF:0.0797703, Len: 10, Fitness_tra: 0
Rule  9: 72bbde4727, Class:  1, CF:0.929827, Len: 10, Fitness_tra: 0
Rule 10: 4114511421, Class:  1, CF:0.988589, Len: 10, Fitness_tra: 4
Rule 11: 75b2234712, Class:  1, CF:0.542146, Len: 10, Fitness_tra: 0
Rule 12: 12b24d7b1b, Class:  0, CF:0.293963, Len: 10, Fitness_tra: 19
Rule 13: 1714867b27, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 14: b24723411b, Class:  1, CF:0.435583, Len: 10, Fitness_tra: 0
Rule 15: 4274517522, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 16: 4c14167b14, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 17: bbb1214712, Class:  1, CF:0.987775, Len: 10, Fitness_tra: 17
Rule 18: 4177c31b72, Class:  1, CF:0.988083, Len: 10, Fitness_tra: 0
Rule 19: 177b9fbbb4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: b711127277, Class:  1, CF:0.991436, Len: 10, Fitness_tra: -77
Rule 21: 1242c11b17, Class:  1, CF:0.278385, Len: 10, Fitness_tra: -988
Rule 22: 712b151274, Class:  1, CF:0.988195, Len: 10, Fitness_tra: -191
Rule 23: 1224831471, Class:  1, CF:0.909725, Len: 10, Fitness_tra: -1
Rule 24: 42b42a21b2, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 25: 457115b127, Class:  1, CF:0.980699, Len: 10, Fitness_tra: 145
Rule 26: b77b837441, Class:  1, CF:0.817574, Len: 10, Fitness_tra: 0
Rule 27: b42b234172, Class:  1, CF:0.532265, Len: 10, Fitness_tra: 0
Rule 28: 7712211242, Class:  1, CF:0.993544, Len: 10, Fitness_tra: -332
Rule 29: 22b12e7712, Class:  1, CF:0.987728, Len: 10, Fitness_tra: 0
Rule 30: bdbb731471, Class:  1, CF:0.43348, Len: 10, Fitness_tra: 3
Rule 31: 2e1bcd79e1, Class:  1, CF:  1, Len: 10, Fitness_tra: 1
Rule 32: 4247194727, Class:  1, CF:0.925919, Len: 10, Fitness_tra: 0
Rule 33: 4777831174, Class:  1, CF:0.991119, Len: 10, Fitness_tra: 0
Rule 34: 17b15ebb17, Class:  1, CF:0.843804, Len: 10, Fitness_tra: -135
Rule 35: 1127114722, Class:  1, CF:0.906255, Len: 10, Fitness_tra: 0
Rule 36: b17483122b, Class:  1, CF:0.996084, Len: 10, Fitness_tra: 1
Rule 37: 717111b148, Class:  1, CF:0.998392, Len: 10, Fitness_tra: 414
Rule 38: 4d244d2411, Class:  1, CF:0.909078, Len: 10, Fitness_tra: -1
Rule 39: 44278112bb, Class:  1, CF:0.948514, Len: 10, Fitness_tra: 3
