------Generation 0------
Rule  1: b7bb81b447, Class:  1, CF:0.997801, Len: 10, Fitness_tra: 0
Rule  2: 1dc4537195, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 72472e7421, Class:  1, CF:0.97102, Len: 10, Fitness_tra: 0
Rule  4: 44771e1b4b, Class:  1, CF:0.720638, Len: 10, Fitness_tra: -13
Rule  5: bb2bd54411, Class:  1, CF:0.997069, Len: 10, Fitness_tra: 0
Rule  6: 4184514144, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule  7: 42778a1741, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: b472561772, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 422133b417, Class:  1, CF:0.327211, Len: 10, Fitness_tra: 34
Rule 10: 7241de7117, Class:  1, CF:0.994185, Len: 10, Fitness_tra: 0
Rule 11: 1124137d15, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 12: 4141214b17, Class:  1, CF:0.982961, Len: 10, Fitness_tra: -6
Rule 13: 81473148d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 8c446149d4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 4141e14581, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 16: 4442117b4b, Class:  1, CF:0.741876, Len: 10, Fitness_tra: 0
Rule 17: 1141717744, Class:  1, CF:0.987241, Len: 10, Fitness_tra: 105
Rule 18: 7277512b17, Class:  1, CF:0.715249, Len: 10, Fitness_tra: 0
Rule 19: 41c1e11111, Class:  1, CF:  1, Len: 10, Fitness_tra: 7
Rule 20: 211be94122, Class:  1, CF:0.933175, Len: 10, Fitness_tra: 0
Rule 21: b114cd4b11, Class:  1, CF:0.967852, Len: 10, Fitness_tra: -649
Rule 22: 4c27d11111, Class:  1, CF:0.836151, Len: 10, Fitness_tra: 0
Rule 23: 1141897212, Class:  1, CF:0.998489, Len: 10, Fitness_tra: 14
Rule 24: 42b28d7141, Class:  1, CF:0.967758, Len: 10, Fitness_tra: 0
Rule 25: 712111b118, Class:  1, CF:0.970462, Len: 10, Fitness_tra: 246
Rule 26: 27411a141b, Class:  0, CF:  1, Len: 10, Fitness_tra: 33
Rule 27: 747b2e222b, Class:  1, CF:0.994842, Len: 10, Fitness_tra: 0
Rule 28: 124b137184, Class:  1, CF:0.999851, Len: 10, Fitness_tra: 27
Rule 29: 4471d3442b, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 30: 7121832277, Class:  1, CF:0.99608, Len: 10, Fitness_tra: 1
Rule 31: 1222d12772, Class:  1, CF:0.82423, Len: 10, Fitness_tra: 0
Rule 32: 135458b311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 4127c64b12, Class:  1, CF:0.992157, Len: 10, Fitness_tra: 0
Rule 34: 7bb2511b12, Class:  1, CF:0.995407, Len: 10, Fitness_tra: 0
Rule 35: 7777294772, Class:  1, CF:0.994333, Len: 10, Fitness_tra: 0
Rule 36: 4744117217, Class:  1, CF:0.972737, Len: 10, Fitness_tra: 0
Rule 37: 111bc1bb24, Class:  1, CF:0.969394, Len: 10, Fitness_tra: 0
Rule 38: 1272164241, Class:  0, CF:0.978607, Len: 10, Fitness_tra: 0
Rule 39: 2211237174, Class:  1, CF:0.920403, Len: 10, Fitness_tra: 2
Rule 40: 121b592112, Class:  0, CF:0.56619, Len: 10, Fitness_tra: 3
Rule 41: b5712117b2, Class:  1, CF:0.759966, Len: 10, Fitness_tra: -153
Rule 42: 1222d37215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: b5bb192b21, Class:  0, CF:0.936662, Len: 10, Fitness_tra: 1
Rule 44: 141755b121, Class:  0, CF:0.656503, Len: 10, Fitness_tra: 206
Rule 45: b1b4112717, Class:  1, CF:0.942064, Len: 10, Fitness_tra: 0
Rule 46: 14121e1571, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 47: 221211491c, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 48: b112257b17, Class:  1, CF:0.854086, Len: 10, Fitness_tra: -72
Rule 49: 21742e12b2, Class:  1, CF:0.96709, Len: 10, Fitness_tra: 0
