------Generation 0------
Rule  1: 28b27d7b14, Class:  1, CF:0.324082, Len: 10, Fitness_tra: 0
Rule  2: 72175d4224, Class:  1, CF:0.986508, Len: 10, Fitness_tra: 0
Rule  3: 1541812111, Class:  0, CF:0.717757, Len: 10, Fitness_tra: 26
Rule  4: 227b9ab124, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 2714291b11, Class:  1, CF:0.229509, Len: 10, Fitness_tra: -345
Rule  6: 27248ab214, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 42b2417227, Class:  1, CF:0.993286, Len: 10, Fitness_tra: 0
Rule  8: 42b223b21b, Class:  1, CF:0.760523, Len: 10, Fitness_tra: 0
Rule  9: 182b134d52, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 10: 777b1a4441, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 11: 4227e6b3d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 42225f7224, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 2112814181, Class:  1, CF:0.999957, Len: 10, Fitness_tra: 0
Rule 14: 4227911271, Class:  1, CF:0.939305, Len: 10, Fitness_tra: 0
Rule 15: 4221632914, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 16: 43d71d711d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: b222154421, Class:  1, CF:0.979758, Len: 10, Fitness_tra: 0
Rule 18: 2174512b47, Class:  1, CF:0.986503, Len: 10, Fitness_tra: 0
Rule 19: 471b817122, Class:  1, CF:0.992875, Len: 10, Fitness_tra: 0
Rule 20: 7b745fbb4b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: bb2bd14274, Class:  1, CF:0.99986, Len: 10, Fitness_tra: 0
Rule 22: 714bd57221, Class:  1, CF:0.998278, Len: 10, Fitness_tra: 0
Rule 23: 2111231b42, Class:  1, CF:0.748358, Len: 10, Fitness_tra: 314
Rule 24: 4b2721bbb2, Class:  1, CF:0.978019, Len: 10, Fitness_tra: 0
Rule 25: 7c781a74b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 274751b412, Class:  1, CF:0.998241, Len: 10, Fitness_tra: 0
Rule 27: 2717cebb42, Class:  1, CF:0.983518, Len: 10, Fitness_tra: 0
Rule 28: 271715b711, Class:  1, CF:0.873343, Len: 10, Fitness_tra: -4
Rule 29: 174b2544b4, Class:  1, CF:0.94858, Len: 10, Fitness_tra: 0
Rule 30: 122b5142b2, Class:  1, CF:0.765962, Len: 10, Fitness_tra: 0
Rule 31: 2712567112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: b1712147bc, Class:  1, CF:0.99799, Len: 10, Fitness_tra: 9
Rule 33: 72221f7b2b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 34: 2544152474, Class:  1, CF:0.824582, Len: 10, Fitness_tra: 0
Rule 35: 4222efb474, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 11b4897224, Class:  1, CF:0.99399, Len: 10, Fitness_tra: 0
Rule 37: 2422dd2712, Class:  1, CF:0.981883, Len: 10, Fitness_tra: 0
Rule 38: 4274467b12, Class:  0, CF:0.968121, Len: 10, Fitness_tra: 0
Rule 39: 42c4164955, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 1127117211, Class:  1, CF:0.855326, Len: 10, Fitness_tra: -25
Rule 41: 777b5d1712, Class:  1, CF:0.991812, Len: 10, Fitness_tra: 3
Rule 42: 12141514b7, Class:  0, CF:0.559593, Len: 10, Fitness_tra: 740
Rule 43: 7772292bb7, Class:  1, CF:0.906329, Len: 10, Fitness_tra: 0
Rule 44: 21275a1115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 7771de122b, Class:  1, CF:0.999929, Len: 10, Fitness_tra: 337
Rule 46: 72b4217b72, Class:  1, CF:0.834864, Len: 10, Fitness_tra: 0
Rule 47: 414116b5b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 12718142b1, Class:  1, CF:0.959499, Len: 10, Fitness_tra: 155
Rule 49: 14b45d71b1, Class:  1, CF:0.274626, Len: 10, Fitness_tra: -1
Rule 50: 2311457b71, Class:  1, CF:0.990588, Len: 10, Fitness_tra: 2220
Rule 51: 124b1922c7, Class:  1, CF:0.996622, Len: 10, Fitness_tra: 0
Rule 52: 22bb13b142, Class:  1, CF:0.605925, Len: 10, Fitness_tra: 0
Rule 53: b5177811b7, Class:  0, CF:0.871154, Len: 10, Fitness_tra: 202
Rule 54: 1317254511, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 55: 171bd671b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: b27211141b, Class:  1, CF:0.771135, Len: 10, Fitness_tra: 31
Rule 57: 1b47c62717, Class:  1, CF:0.960924, Len: 10, Fitness_tra: 0
Rule 58: 1b12c67727, Class:  1, CF:0.964049, Len: 10, Fitness_tra: 0
Rule 59: 8117854335, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: b724291741, Class:  1, CF:0.980355, Len: 10, Fitness_tra: 93
Rule 61: 1cb2c91741, Class:  1, CF:0.412484, Len: 10, Fitness_tra: 4
Rule 62: b224221214, Class:  1, CF:0.978908, Len: 10, Fitness_tra: 183
Rule 63: 4b1b13b4b7, Class:  1, CF:0.730774, Len: 10, Fitness_tra: 0
Rule 64: 81c123b2d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 1c441a481d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 444b81b12b, Class:  1, CF:0.989885, Len: 10, Fitness_tra: 0
Rule 67: 127711221b, Class:  1, CF:0.79078, Len: 10, Fitness_tra: 0
Rule 68: 417b117b42, Class:  1, CF:0.882176, Len: 10, Fitness_tra: 0
Rule 69: 44411c7142, Class:  1, CF:0.990998, Len: 10, Fitness_tra: 188
Rule 70: 1214317112, Class:  0, CF:0.719566, Len: 10, Fitness_tra: 601
Rule 71: 74b2814122, Class:  1, CF:0.993241, Len: 10, Fitness_tra: 0
Rule 72: 71178814b7, Class:  1, CF:0.983078, Len: 10, Fitness_tra: 684
Rule 73: 4cb1517122, Class:  1, CF:0.998059, Len: 10, Fitness_tra: 2
Rule 74: 45c183b181, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 75: 217451b4bb, Class:  1, CF:0.99448, Len: 10, Fitness_tra: 0
Rule 76: 21141121d2, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 77: b7bb88b47b, Class:  1, CF:0.99705, Len: 10, Fitness_tra: 1
Rule 78: 211b597814, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
