------Generation 0------
Rule  1: 7224831224, Class:  1, CF:0.999864, Len: 10, Fitness_tra: 1
Rule  2: 11b7261424, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule  3: 4214561771, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 77b71a472b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule  5: 1722561271, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 1dc2151111, Class:  1, CF:  1, Len: 10, Fitness_tra: 7
Rule  7: 1241d14814, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule  8: b27223212b, Class:  1, CF:0.922562, Len: 10, Fitness_tra: 0
Rule  9: 151b231121, Class:  0, CF:0.306184, Len: 10, Fitness_tra: 53
Rule 10: 14b4257111, Class:  0, CF:0.788054, Len: 10, Fitness_tra: 887
Rule 11: 417729b471, Class:  1, CF:0.956703, Len: 10, Fitness_tra: 0
Rule 12: 1b2b11b711, Class:  1, CF:0.909877, Len: 10, Fitness_tra: -17
Rule 13: 71bb5e74b4, Class:  1, CF:0.752287, Len: 10, Fitness_tra: 0
Rule 14: 439125b362, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 2411167b42, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 16: 141b511217, Class:  1, CF:0.51474, Len: 10, Fitness_tra: -4
Rule 17: 83118376f2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 481791b151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 21748d47b7, Class:  1, CF:0.985428, Len: 10, Fitness_tra: 0
Rule 20: 1b74da74b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: bb4781b124, Class:  1, CF:0.99881, Len: 10, Fitness_tra: 0
Rule 22: 7b47491b27, Class:  1, CF:0.995174, Len: 10, Fitness_tra: 5
Rule 23: 7442d12422, Class:  1, CF:0.99815, Len: 10, Fitness_tra: 0
Rule 24: 23d112761d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 14442347b7, Class:  1, CF:0.180613, Len: 10, Fitness_tra: 0
Rule 26: 214b1eb1b1, Class:  1, CF:0.823959, Len: 10, Fitness_tra: 0
Rule 27: b2726a7717, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 28: 2172214242, Class:  1, CF:0.996612, Len: 10, Fitness_tra: 0
Rule 29: 7472211b14, Class:  1, CF:0.775164, Len: 10, Fitness_tra: 1
Rule 30: 14249972b7, Class:  0, CF:0.783878, Len: 10, Fitness_tra: 0
Rule 31: 77b2d1722b, Class:  1, CF:0.998928, Len: 10, Fitness_tra: 0
Rule 32: 27115eb47b, Class:  1, CF:0.963972, Len: 10, Fitness_tra: 0
Rule 33: 4817297748, Class:  1, CF:0.998899, Len: 10, Fitness_tra: 0
Rule 34: 47145372b2, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 35: 7b248e4b14, Class:  1, CF:0.982, Len: 10, Fitness_tra: 0
Rule 36: 4b1b1374b1, Class:  1, CF:0.5315, Len: 10, Fitness_tra: 0
Rule 37: 24148174c2, Class:  1, CF:0.999154, Len: 10, Fitness_tra: 0
Rule 38: 42442d2427, Class:  1, CF:0.992065, Len: 10, Fitness_tra: 0
Rule 39: 2b7b154242, Class:  1, CF:0.999702, Len: 10, Fitness_tra: 0
Rule 40: b447134477, Class:  1, CF:0.340943, Len: 10, Fitness_tra: 0
Rule 41: 17471f1244, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 42: 11b7297742, Class:  1, CF:0.883439, Len: 10, Fitness_tra: 0
Rule 43: bb429f24b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 2142314252, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 45: 241b164714, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 46: 44b7de7211, Class:  1, CF:0.747246, Len: 10, Fitness_tra: 0
Rule 47: 41b13a1421, Class:  0, CF:  1, Len: 10, Fitness_tra: 21
Rule 48: c1d2c11111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: c22b51b5d2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: b2422db172, Class:  1, CF:0.946822, Len: 10, Fitness_tra: 0
Rule 51: 71121e7c82, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 52: 721bca11bb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 1127817742, Class:  1, CF:0.987201, Len: 10, Fitness_tra: 0
Rule 54: 244283b7b7, Class:  1, CF:0.844152, Len: 10, Fitness_tra: 0
Rule 55: 217b111211, Class:  1, CF:0.925055, Len: 10, Fitness_tra: 819
Rule 56: 711b1a14b4, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 57: b4b24e7141, Class:  1, CF:0.878894, Len: 10, Fitness_tra: 0
Rule 58: b242261b4b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 59: 14421ebb12, Class:  1, CF:0.403684, Len: 10, Fitness_tra: 0
Rule 60: 744bc11424, Class:  1, CF:0.998408, Len: 10, Fitness_tra: 630
Rule 61: 2724217742, Class:  1, CF:0.987869, Len: 10, Fitness_tra: 0
Rule 62: 124b19b1b1, Class:  0, CF:0.521786, Len: 10, Fitness_tra: 0
Rule 63: 131b717b77, Class:  1, CF:0.966925, Len: 10, Fitness_tra: 4
Rule 64: 4b47d92741, Class:  1, CF:0.99243, Len: 10, Fitness_tra: 0
Rule 65: 1471157b14, Class:  1, CF:0.930951, Len: 10, Fitness_tra: 363
Rule 66: 22171fb277, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 67: 2b1755b747, Class:  1, CF:0.957604, Len: 10, Fitness_tra: 0
Rule 68: b272114141, Class:  1, CF:0.873678, Len: 10, Fitness_tra: 0
Rule 69: 14b7221214, Class:  1, CF:0.733111, Len: 10, Fitness_tra: -1004
Rule 70: b714c927bb, Class:  1, CF:0.905323, Len: 10, Fitness_tra: 0
Rule 71: 43b7132421, Class:  1, CF:0.629286, Len: 10, Fitness_tra: 0
Rule 72: b2271a7b77, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 73: 4211d1147b, Class:  1, CF:0.994567, Len: 10, Fitness_tra: 463
Rule 74: 2912234721, Class:  1, CF:0.883469, Len: 10, Fitness_tra: 0
Rule 75: 711719b121, Class:  1, CF:0.826652, Len: 10, Fitness_tra: -451
Rule 76: 8392512111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 17418e4b44, Class:  1, CF:0.991303, Len: 10, Fitness_tra: 0
Rule 78: 2211114211, Class:  1, CF:0.934132, Len: 10, Fitness_tra: 968
Rule 79: 4e52111f61, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 80: b22b317411, Class:  1, CF:0.770978, Len: 10, Fitness_tra: 0
Rule 81: 11b75e1711, Class:  0, CF:0.528039, Len: 10, Fitness_tra: 215
Rule 82: 274755271b, Class:  1, CF:0.849752, Len: 10, Fitness_tra: 0
Rule 83: 4c47551121, Class:  0, CF:0.166903, Len: 10, Fitness_tra: 0
Rule 84: 772bdab44b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 112b197422, Class:  1, CF:0.97836, Len: 10, Fitness_tra: 0
Rule 86: 72b11542b2, Class:  1, CF:0.987478, Len: 10, Fitness_tra: 0
Rule 87: 11118e7b71, Class:  1, CF:0.87089, Len: 10, Fitness_tra: -713
Rule 88: b117cdb24b, Class:  1, CF:0.992606, Len: 10, Fitness_tra: 0
Rule 89: 44b1d1b242, Class:  1, CF:0.999653, Len: 10, Fitness_tra: 0
Rule 90: 2512c51242, Class:  1, CF:0.840121, Len: 10, Fitness_tra: 0
Rule 91: bc772e1241, Class:  1, CF:0.730026, Len: 10, Fitness_tra: 0
Rule 92: bbbb3f2272, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 93: c1218521d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: b441cab471, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 115b114195, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 96: b174114144, Class:  1, CF:0.966937, Len: 10, Fitness_tra: 0
Rule 97: b1415e1472, Class:  1, CF:0.991217, Len: 10, Fitness_tra: 104
Rule 98: 1121114242, Class:  1, CF:0.988393, Len: 10, Fitness_tra: 11
Rule 99: 4bb7817121, Class:  1, CF:0.986632, Len: 10, Fitness_tra: 0
Rule100: b7421eb144, Class:  1, CF:0.989142, Len: 10, Fitness_tra: 0
------Current------
Miss_rate(tra)	:87.602
------Result------
Miss_rate(tra)	:87.602
Miss_rate(tst)	:73.4918
ARL				:10

------Generation 0------
Rule  1: 7224831224, Class:  1, CF:0.999864, Len: 10, Fitness_tra: 1
Rule  2: 11b7261424, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule  3: 4214561771, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 77b71a472b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule  5: 1722561271, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 1dc2151111, Class:  1, CF:  1, Len: 10, Fitness_tra: 7
Rule  7: 1241d14814, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule  8: b27223212b, Class:  1, CF:0.922562, Len: 10, Fitness_tra: 0
Rule  9: 151b231121, Class:  0, CF:0.306184, Len: 10, Fitness_tra: 53
Rule 10: 14b4257111, Class:  0, CF:0.788054, Len: 10, Fitness_tra: 887
Rule 11: 417729b471, Class:  1, CF:0.956703, Len: 10, Fitness_tra: 0
Rule 12: 1b2b11b711, Class:  1, CF:0.909877, Len: 10, Fitness_tra: -17
Rule 13: 71bb5e74b4, Class:  1, CF:0.752287, Len: 10, Fitness_tra: 0
Rule 14: 439125b362, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 2411167b42, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 16: 141b511217, Class:  1, CF:0.51474, Len: 10, Fitness_tra: -4
Rule 17: 83118376f2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 481791b151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 21748d47b7, Class:  1, CF:0.985428, Len: 10, Fitness_tra: 0
Rule 20: 1b74da74b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: bb4781b124, Class:  1, CF:0.99881, Len: 10, Fitness_tra: 0
Rule 22: 7b47491b27, Class:  1, CF:0.995174, Len: 10, Fitness_tra: 5
Rule 23: 7442d12422, Class:  1, CF:0.99815, Len: 10, Fitness_tra: 0
Rule 24: 23d112761d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 14442347b7, Class:  1, CF:0.180613, Len: 10, Fitness_tra: 0
Rule 26: 214b1eb1b1, Class:  1, CF:0.823959, Len: 10, Fitness_tra: 0
Rule 27: b2726a7717, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 28: 2172214242, Class:  1, CF:0.996612, Len: 10, Fitness_tra: 0
Rule 29: 7472211b14, Class:  1, CF:0.775164, Len: 10, Fitness_tra: 1
Rule 30: 14249972b7, Class:  0, CF:0.783878, Len: 10, Fitness_tra: 0
Rule 31: 77b2d1722b, Class:  1, CF:0.998928, Len: 10, Fitness_tra: 0
Rule 32: 27115eb47b, Class:  1, CF:0.963972, Len: 10, Fitness_tra: 0
Rule 33: 4817297748, Class:  1, CF:0.998899, Len: 10, Fitness_tra: 0
Rule 34: 47145372b2, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 35: 7b248e4b14, Class:  1, CF:0.982, Len: 10, Fitness_tra: 0
Rule 36: 4b1b1374b1, Class:  1, CF:0.5315, Len: 10, Fitness_tra: 0
Rule 37: 24148174c2, Class:  1, CF:0.999154, Len: 10, Fitness_tra: 0
Rule 38: 42442d2427, Class:  1, CF:0.992065, Len: 10, Fitness_tra: 0
Rule 39: 2b7b154242, Class:  1, CF:0.999702, Len: 10, Fitness_tra: 0
Rule 40: b447134477, Class:  1, CF:0.340943, Len: 10, Fitness_tra: 0
Rule 41: 17471f1244, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 42: 11b7297742, Class:  1, CF:0.883439, Len: 10, Fitness_tra: 0
Rule 43: bb429f24b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 2142314252, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 45: 241b164714, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 46: 44b7de7211, Class:  1, CF:0.747246, Len: 10, Fitness_tra: 0
Rule 47: 41b13a1421, Class:  0, CF:  1, Len: 10, Fitness_tra: 21
Rule 48: c1d2c11111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: c22b51b5d2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: b2422db172, Class:  1, CF:0.946822, Len: 10, Fitness_tra: 0
Rule 51: 71121e7c82, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 52: 721bca11bb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 1127817742, Class:  1, CF:0.987201, Len: 10, Fitness_tra: 0
Rule 54: 244283b7b7, Class:  1, CF:0.844152, Len: 10, Fitness_tra: 0
Rule 55: 217b111211, Class:  1, CF:0.925055, Len: 10, Fitness_tra: 819
Rule 56: 711b1a14b4, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
