------Generation 0------
Rule  1: 2127111258, Class:  1, CF:  1, Len: 10, Fitness_tra: 1
Rule  2: 41b48f7772, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 4227514111, Class:  1, CF:0.829211, Len: 10, Fitness_tra: 0
Rule  4: bdb1111241, Class:  1, CF:0.981307, Len: 10, Fitness_tra: -180
Rule  5: 2277212172, Class:  1, CF:0.962395, Len: 10, Fitness_tra: 0
Rule  6: b2bbc94b21, Class:  1, CF:0.855766, Len: 10, Fitness_tra: 0
Rule  7: 4112114114, Class:  1, CF:0.903874, Len: 10, Fitness_tra: 0
Rule  8: bb471d7441, Class:  1, CF:0.998135, Len: 10, Fitness_tra: 0
Rule  9: 221b33b111, Class:  0, CF:0.600458, Len: 10, Fitness_tra: 13
Rule 10: 221b257121, Class:  1, CF:0.770047, Len: 10, Fitness_tra: -46
Rule 11: 28175d4281, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 12: 1c1793b475, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 21241311bb, Class:  1, CF:0.161879, Len: 10, Fitness_tra: -1
Rule 14: 4c243141d8, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 15: 1611152a15, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 16: 2477451421, Class:  1, CF:0.984664, Len: 10, Fitness_tra: 114
Rule 17: 1e12197141, Class:  0, CF:0.957046, Len: 10, Fitness_tra: 5
Rule 18: 1211931821, Class:  1, CF:  1, Len: 10, Fitness_tra: 3
Rule 19: 1174197127, Class:  1, CF:0.943919, Len: 10, Fitness_tra: -75
Rule 20: 26145d7e35, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 12b25a7712, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 421bd12572, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 23: ce1481be35, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 1c121171b2, Class:  1, CF:0.339663, Len: 10, Fitness_tra: -106
Rule 25: 41c18d1151, Class:  1, CF:  1, Len: 10, Fitness_tra: 7
Rule 26: 7d21f34721, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 27: 4211192212, Class:  1, CF:0.995601, Len: 10, Fitness_tra: 4
Rule 28: 4111132211, Class:  1, CF:0.849342, Len: 10, Fitness_tra: -14
Rule 29: 17171fb714, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 30: 414489b217, Class:  1, CF:0.996932, Len: 10, Fitness_tra: 0
Rule 31: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 724711422b, Class:  1, CF:0.997312, Len: 10, Fitness_tra: 0
Rule 33: 421783417b, Class:  1, CF:0.973253, Len: 10, Fitness_tra: 0
Rule 34: 7b7b5a4224, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 44bb5fb414, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 72b7214477, Class:  1, CF:0.975489, Len: 10, Fitness_tra: 0
Rule 37: 114ba34951, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 712bd3b41b, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 39: 71128ab722, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: b21b2f4441, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 41: 4b745174b4, Class:  1, CF:0.999506, Len: 10, Fitness_tra: 0
Rule 42: 4c2281b1b4, Class:  1, CF:0.917145, Len: 10, Fitness_tra: 0
Rule 43: 1244161414, Class:  0, CF:  1, Len: 10, Fitness_tra: 17
Rule 44: 4b1183bb42, Class:  1, CF:0.996196, Len: 10, Fitness_tra: 0
Rule 45: 1142d12521, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 46: b424851124, Class:  1, CF:0.987768, Len: 10, Fitness_tra: 28
Rule 47: b224831224, Class:  1, CF:0.999844, Len: 10, Fitness_tra: 0
Rule 48: 12722e4bbb, Class:  0, CF:0.774908, Len: 10, Fitness_tra: 6
Rule 49: 4141534721, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 50: 742151b741, Class:  1, CF:0.99833, Len: 10, Fitness_tra: 88
Rule 51: 1152217331, Class:  1, CF:0.999656, Len: 10, Fitness_tra: 0
Rule 52: 211b117151, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 53: b211117477, Class:  1, CF:0.975604, Len: 10, Fitness_tra: 33
Rule 54: b821124742, Class:  1, CF:0.972994, Len: 10, Fitness_tra: -1
Rule 55: 28b4897742, Class:  1, CF:0.774083, Len: 10, Fitness_tra: 0
Rule 56: 4212e325c1, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 57: 717751b281, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 58: b77423441b, Class:  1, CF:0.92996, Len: 10, Fitness_tra: 0
Rule 59: 2b72511b7b, Class:  1, CF:0.998058, Len: 10, Fitness_tra: 0
Rule 60: 42742122bb, Class:  1, CF:0.965183, Len: 10, Fitness_tra: 0
Rule 61: 217b892b74, Class:  1, CF:0.983705, Len: 10, Fitness_tra: 0
Rule 62: 2117132414, Class:  1, CF:0.940248, Len: 10, Fitness_tra: 0
Rule 63: 412b161b74, Class:  0, CF:  1, Len: 10, Fitness_tra: 2
Rule 64: 41915d1a3d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 18141d2811, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 66: 465b81b635, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 1444562b72, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 2117114521, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 69: 0000c00400, Class:  1, CF:0.953608, Len:  2, Fitness_tra: 1564
