------Generation 0------
Rule  1: 7217132c51, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule  2: 721123b222, Class:  1, CF:0.997983, Len: 10, Fitness_tra: 237
Rule  3: 7172cfb2b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 2172817414, Class:  1, CF:0.994817, Len: 10, Fitness_tra: 0
Rule  5: b77251bbb7, Class:  1, CF:0.980953, Len: 10, Fitness_tra: 0
Rule  6: 4122231bb7, Class:  1, CF:0.251738, Len: 10, Fitness_tra: 0
Rule  7: 8ccb3a2351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 7112934411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 23124142b2, Class:  1, CF:0.991812, Len: 10, Fitness_tra: 0
Rule 10: 7711ce7742, Class:  1, CF:0.998279, Len: 10, Fitness_tra: 43
Rule 11: b711517b2b, Class:  1, CF:0.995757, Len: 10, Fitness_tra: 13
Rule 12: 2177554b4b, Class:  1, CF:0.844628, Len: 10, Fitness_tra: 0
Rule 13: b4b4167b12, Class:  0, CF:0.97352, Len: 10, Fitness_tra: 0
Rule 14: 21b1f31211, Class:  0, CF:  1, Len: 10, Fitness_tra: 48
Rule 15: 147b59b447, Class:  1, CF:0.945254, Len: 10, Fitness_tra: -37
Rule 16: 1447ce2722, Class:  1, CF:0.808791, Len: 10, Fitness_tra: 0
Rule 17: 4b24d52422, Class:  1, CF:0.9999, Len: 10, Fitness_tra: 0
Rule 18: 42811f7931, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 4b74162722, Class:  0, CF:0.923763, Len: 10, Fitness_tra: 0
Rule 20: 1217112311, Class:  0, CF:0.910097, Len: 10, Fitness_tra: 3179
Rule 21: b427231b72, Class:  0, CF:0.112629, Len: 10, Fitness_tra: 1
Rule 22: 27441922bb, Class:  1, CF:0.983168, Len: 10, Fitness_tra: 0
Rule 23: 4771134bb7, Class:  0, CF:0.409601, Len: 10, Fitness_tra: 1
Rule 24: b744551271, Class:  1, CF:0.990726, Len: 10, Fitness_tra: 7
Rule 25: 1447da24b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 1b2b514212, Class:  1, CF:0.997595, Len: 10, Fitness_tra: 0
Rule 27: b2111f4147, Class:  0, CF:  1, Len: 10, Fitness_tra: 1
Rule 28: 422b13b724, Class:  1, CF:0.159228, Len: 10, Fitness_tra: 0
Rule 29: 7447532b27, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 30: 2c2b1e4411, Class:  1, CF:0.660912, Len: 10, Fitness_tra: 0
Rule 31: 7442551414, Class:  1, CF:0.967528, Len: 10, Fitness_tra: 1
Rule 32: 422b53b524, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 33: b227532b4b, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 34: b441831222, Class:  1, CF:0.999719, Len: 10, Fitness_tra: 75
Rule 35: 1bb11a2147, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 36: 2c2116422b, Class:  0, CF:0.999986, Len: 10, Fitness_tra: 0
Rule 37: 411711b744, Class:  1, CF:0.937748, Len: 10, Fitness_tra: 0
Rule 38: 14111d7142, Class:  1, CF:0.926464, Len: 10, Fitness_tra: 2451
Rule 39: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: b14125b277, Class:  1, CF:0.999464, Len: 10, Fitness_tra: 544
Rule 41: 2222517122, Class:  1, CF:0.99349, Len: 10, Fitness_tra: 0
Rule 42: 4412254bb1, Class:  1, CF:0.230112, Len: 10, Fitness_tra: -1
Rule 43: 71b7831b27, Class:  1, CF:0.976018, Len: 10, Fitness_tra: 0
Rule 44: b1741f444b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 45: 21121e14b7, Class:  1, CF:0.838655, Len: 10, Fitness_tra: -113
