------Generation 0------
Rule  1: cc449a2d51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 22b11544b1, Class:  1, CF:0.988311, Len: 10, Fitness_tra: 18
Rule  3: 14b211b74b, Class:  1, CF:0.876653, Len: 10, Fitness_tra: 0
Rule  4: 24bb814744, Class:  1, CF:0.993973, Len: 10, Fitness_tra: 0
Rule  5: 7184812312, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule  6: 242bc6444b, Class:  1, CF:0.996377, Len: 10, Fitness_tra: 0
Rule  7: 14222f4111, Class:  0, CF:  1, Len: 10, Fitness_tra: 4
Rule  8: 43b7232711, Class:  1, CF:0.921515, Len: 10, Fitness_tra: 0
Rule  9: 48723a27b7, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 10: 1681111958, Class:  1, CF:  1, Len: 10, Fitness_tra: 3
Rule 11: 212713b111, Class:  1, CF:0.433322, Len: 10, Fitness_tra: -92
Rule 12: 19875dbee2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: b141132241, Class:  1, CF:0.769985, Len: 10, Fitness_tra: -2
Rule 14: 4b7481b2b4, Class:  1, CF:0.998145, Len: 10, Fitness_tra: 0
Rule 15: 4c22857122, Class:  1, CF:0.992448, Len: 10, Fitness_tra: 0
Rule 16: 7441c31b44, Class:  1, CF:0.995773, Len: 10, Fitness_tra: 87
Rule 17: 73b1717bb1, Class:  1, CF:0.965401, Len: 10, Fitness_tra: 1636
Rule 18: 4121d1b1d2, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 19: 1b11d87744, Class:  1, CF:0.999496, Len: 10, Fitness_tra: 385
Rule 20: 7122892472, Class:  1, CF:0.998679, Len: 10, Fitness_tra: 0
Rule 21: 4221131511, Class:  1, CF:  1, Len: 10, Fitness_tra: 348
Rule 22: 22111eb212, Class:  1, CF:0.996427, Len: 10, Fitness_tra: -41
Rule 23: 4637882665, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 24: 417b834144, Class:  1, CF:0.992226, Len: 10, Fitness_tra: 0
Rule 25: b12115427c, Class:  1, CF:0.99975, Len: 10, Fitness_tra: 27
