------Generation 0------
Rule  1: b4bbd14221, Class:  1, CF:0.997592, Len: 10, Fitness_tra: 0
Rule  2: 7541112417, Class:  1, CF:0.979781, Len: 10, Fitness_tra: 0
Rule  3: 1e148d233d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 24b1597bbb, Class:  1, CF:0.902348, Len: 10, Fitness_tra: 2
Rule  5: b111dd2724, Class:  1, CF:0.999688, Len: 10, Fitness_tra: 11
Rule  6: 22126a21b2, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule  7: 22278a7742, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 42bb89bb7b, Class:  1, CF:0.695743, Len: 10, Fitness_tra: 0
Rule  9: 1442114144, Class:  1, CF:0.916658, Len: 10, Fitness_tra: 0
Rule 10: 77bb811171, Class:  1, CF:0.979785, Len: 10, Fitness_tra: 27
Rule 11: b21126bb21, Class:  0, CF:0.430463, Len: 10, Fitness_tra: 0
Rule 12: 121b562125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 4312c5b311, Class:  1, CF:0.767738, Len: 10, Fitness_tra: -1767
Rule 14: 4227111214, Class:  1, CF:0.966058, Len: 10, Fitness_tra: -114
Rule 15: b24223747b, Class:  1, CF:0.892104, Len: 10, Fitness_tra: 0
Rule 16: 1112551254, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 17: b1741e28cb, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 18: 1144217214, Class:  1, CF:0.983934, Len: 10, Fitness_tra: 0
Rule 19: 414721b1b7, Class:  1, CF:0.965153, Len: 10, Fitness_tra: 0
Rule 20: 4c2bc141b2, Class:  1, CF:0.904545, Len: 10, Fitness_tra: 0
Rule 21: 22142fbb2b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 22: 787213b7b1, Class:  0, CF:0.523232, Len: 10, Fitness_tra: 0
Rule 23: 717423b2bb, Class:  1, CF:0.834722, Len: 10, Fitness_tra: 0
Rule 24: 782b214141, Class:  1, CF:0.922438, Len: 10, Fitness_tra: 0
Rule 25: 417b561717, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 722181b141, Class:  1, CF:0.989499, Len: 10, Fitness_tra: 4
Rule 27: 44775921b4, Class:  1, CF:0.715456, Len: 10, Fitness_tra: 0
Rule 28: b171c1117b, Class:  1, CF:0.993844, Len: 10, Fitness_tra: 2214
Rule 29: 1bb2ca1b17, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 47bbc1b444, Class:  1, CF:0.995418, Len: 10, Fitness_tra: 0
Rule 31: 214751758b, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 32: 2c111d424b, Class:  1, CF:0.980114, Len: 10, Fitness_tra: 0
Rule 33: 1471211c41, Class:  1, CF:0.99412, Len: 10, Fitness_tra: 990
Rule 34: b14456b42c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 774413747b, Class:  1, CF:0.630774, Len: 10, Fitness_tra: 0
Rule 36: c1c1192515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 2b12164427, Class:  1, CF:0.513096, Len: 10, Fitness_tra: 0
Rule 38: 11b113b224, Class:  1, CF:0.957387, Len: 10, Fitness_tra: 1
Rule 39: b175114771, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 40: 712b13b741, Class:  1, CF:0.43774, Len: 10, Fitness_tra: 0
Rule 41: 211796b22d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 477731bbb4, Class:  1, CF:0.7149, Len: 10, Fitness_tra: 0
Rule 43: 214b1e1182, Class:  1, CF:  1, Len: 10, Fitness_tra: 1
Rule 44: 839485233d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 7142414177, Class:  1, CF:0.974284, Len: 10, Fitness_tra: 0
Rule 46: 1277da1b71, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 2b41137b7b, Class:  1, CF:0.777481, Len: 10, Fitness_tra: -1
