------Generation 0------
Rule  1: 215b81b192, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule  2: 714b2627b4, Class:  0, CF:0.218218, Len: 10, Fitness_tra: 0
Rule  3: 27b48e411b, Class:  1, CF:0.93628, Len: 10, Fitness_tra: 0
Rule  4: 4812164884, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 41212141d5, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule  6: 0600470000, Class:  1, CF:0.55716, Len:  3, Fitness_tra: 1018
Rule  7: 7272d174b7, Class:  1, CF:0.947341, Len: 10, Fitness_tra: 0
Rule  8: b822931171, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 211411b711, Class:  1, CF:0.924166, Len: 10, Fitness_tra: -4
Rule 10: 4247d114b4, Class:  1, CF:0.951705, Len: 10, Fitness_tra: 0
Rule 11: 41d1c143ad, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 724bc87214, Class:  1, CF:0.996523, Len: 10, Fitness_tra: 0
Rule 13: 72b12144b4, Class:  1, CF:0.985582, Len: 10, Fitness_tra: 1
Rule 14: 7127111221, Class:  1, CF:0.990559, Len: 10, Fitness_tra: 362
Rule 15: cd8251b555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 27142521b1, Class:  1, CF:0.626038, Len: 10, Fitness_tra: -2
Rule 17: 4b1725b741, Class:  1, CF:0.970811, Len: 10, Fitness_tra: 0
Rule 18: 2274c94b14, Class:  1, CF:0.862008, Len: 10, Fitness_tra: 0
Rule 19: 41b1112b22, Class:  1, CF:0.978271, Len: 10, Fitness_tra: 0
Rule 20: 457bc121bb, Class:  1, CF:0.897, Len: 10, Fitness_tra: 0
Rule 21: b114c97b11, Class:  1, CF:0.865574, Len: 10, Fitness_tra: -25
Rule 22: 441181247b, Class:  1, CF:0.996433, Len: 10, Fitness_tra: 0
Rule 23: 444b8172b4, Class:  1, CF:0.991062, Len: 10, Fitness_tra: 0
Rule 24: 1724c872b7, Class:  1, CF:0.988021, Len: 10, Fitness_tra: 0
Rule 25: 2472152771, Class:  1, CF:0.935031, Len: 10, Fitness_tra: 0
Rule 26: b244ff2214, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 27: 21121e1474, Class:  1, CF:0.973693, Len: 10, Fitness_tra: 0
Rule 28: b241a1b474, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 29: 2b72297147, Class:  1, CF:0.99629, Len: 10, Fitness_tra: 0
Rule 30: 244411b4b1, Class:  1, CF:0.839305, Len: 10, Fitness_tra: 0
Rule 31: 241215b71b, Class:  1, CF:0.822658, Len: 10, Fitness_tra: 0
Rule 32: 45bbd62172, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 1777d3724b, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 34: 47122912b2, Class:  1, CF:0.93574, Len: 10, Fitness_tra: 0
Rule 35: 8ccb1e1112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 172bc62424, Class:  1, CF:0.997371, Len: 10, Fitness_tra: 0
Rule 37: b322ddb44b, Class:  1, CF:0.999851, Len: 10, Fitness_tra: 0
Rule 38: 4b42164221, Class:  0, CF:0.603178, Len: 10, Fitness_tra: 0
Rule 39: 7bb286b471, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 40: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 21418371b2, Class:  1, CF:0.997999, Len: 10, Fitness_tra: 0
Rule 42: 72b4531274, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 43: 222b83b7bb, Class:  1, CF:0.99506, Len: 10, Fitness_tra: 0
Rule 44: 4b71297774, Class:  1, CF:0.999707, Len: 10, Fitness_tra: 1
Rule 45: 2582111311, Class:  0, CF:0.535966, Len: 10, Fitness_tra: 0
Rule 46: 22b7162b12, Class:  0, CF:0.835448, Len: 10, Fitness_tra: 0
Rule 47: 2421f34247, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 48: 27772e27b7, Class:  1, CF:0.934123, Len: 10, Fitness_tra: 0
Rule 49: 71b22347b7, Class:  1, CF:0.902911, Len: 10, Fitness_tra: 0
Rule 50: 222111418d, Class:  1, CF:0.797399, Len: 10, Fitness_tra: 0
Rule 51: 411b114271, Class:  1, CF:0.95443, Len: 10, Fitness_tra: 0
Rule 52: 782b514272, Class:  1, CF:0.987741, Len: 10, Fitness_tra: 0
Rule 53: 72b4192824, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 54: 4192c57119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 4357554eed, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 11821d2581, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 57: b21c3a274b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 722811472b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 59: 12b1ca1b1b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 421b33b711, Class:  1, CF:0.0976018, Len: 10, Fitness_tra: 0
Rule 61: 2277151141, Class:  1, CF:0.723662, Len: 10, Fitness_tra: -1
Rule 62: 2242594274, Class:  1, CF:0.934668, Len: 10, Fitness_tra: 0
Rule 63: 4ed28126ad, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 7141211174, Class:  1, CF:0.988588, Len: 10, Fitness_tra: 479
Rule 65: b4142142b7, Class:  1, CF:0.968509, Len: 10, Fitness_tra: 0
Rule 66: 4631854611, Class:  1, CF:0.773114, Len: 10, Fitness_tra: -550
Rule 67: b74b414b22, Class:  1, CF:0.985252, Len: 10, Fitness_tra: 0
Rule 68: 424115121b, Class:  1, CF:0.983716, Len: 10, Fitness_tra: 250
Rule 69: 4cb1112241, Class:  1, CF:0.927844, Len: 10, Fitness_tra: 4
Rule 70: 7442154b42, Class:  1, CF:0.951614, Len: 10, Fitness_tra: 0
Rule 71: 1211197412, Class:  1, CF:0.939792, Len: 10, Fitness_tra: -223
Rule 72: 2522111112, Class:  1, CF:0.14421, Len: 10, Fitness_tra: 0
Rule 73: 12bb191774, Class:  1, CF:0.380452, Len: 10, Fitness_tra: -18
Rule 74: 2747817227, Class:  1, CF:0.999147, Len: 10, Fitness_tra: 0
Rule 75: 8c27d6b815, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 1314254e11, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
