------Generation 0------
Rule  1: 7771cf1472, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 2721894414, Class:  1, CF:0.999636, Len: 10, Fitness_tra: 0
Rule  3: 287b254141, Class:  1, CF:0.668488, Len: 10, Fitness_tra: 0
Rule  4: 1b223f7127, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule  5: 27425111b2, Class:  1, CF:0.985736, Len: 10, Fitness_tra: 0
Rule  6: b271131b12, Class:  0, CF:0.791361, Len: 10, Fitness_tra: -75
Rule  7: 77bb1e1717, Class:  1, CF:0.948346, Len: 10, Fitness_tra: 0
Rule  8: 122bc311b1, Class:  1, CF:0.475859, Len: 10, Fitness_tra: 2
Rule  9: 4772d94141, Class:  1, CF:0.978085, Len: 10, Fitness_tra: 0
Rule 10: 71b112b7b7, Class:  1, CF:0.976424, Len: 10, Fitness_tra: 647
Rule 11: b2bb3142b7, Class:  1, CF:0.638546, Len: 10, Fitness_tra: 0
Rule 12: b2715e2b2b, Class:  1, CF:0.690559, Len: 10, Fitness_tra: 0
Rule 13: b241517211, Class:  1, CF:0.994995, Len: 10, Fitness_tra: 35
Rule 14: bbb4851724, Class:  1, CF:0.999643, Len: 10, Fitness_tra: 12
Rule 15: 7b71861427, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 16: b2b721b714, Class:  1, CF:0.935237, Len: 10, Fitness_tra: 1
Rule 17: c27119b8b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 211b857322, Class:  1, CF:0.944562, Len: 10, Fitness_tra: 0
Rule 19: 4114157912, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 20: 4444114172, Class:  1, CF:0.880337, Len: 10, Fitness_tra: 0
Rule 21: 7227112211, Class:  1, CF:0.912564, Len: 10, Fitness_tra: 88
Rule 22: 12c7d121c2, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 23: 12222527b4, Class:  0, CF:0.112547, Len: 10, Fitness_tra: 0
Rule 24: 44b7832b77, Class:  1, CF:0.729293, Len: 10, Fitness_tra: 0
Rule 25: 411b39b352, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 26: 7bbb1e4417, Class:  1, CF:0.996953, Len: 10, Fitness_tra: 0
Rule 27: 122b554417, Class:  1, CF:0.250423, Len: 10, Fitness_tra: 0
Rule 28: 41121911c2, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 29: 1247112b44, Class:  1, CF:0.504906, Len: 10, Fitness_tra: 0
Rule 30: 1714117b11, Class:  1, CF:0.607332, Len: 10, Fitness_tra: -250
Rule 31: 4821337bb2, Class:  0, CF:0.998965, Len: 10, Fitness_tra: 2
Rule 32: 47b75a1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 4144c1b277, Class:  1, CF:0.997051, Len: 10, Fitness_tra: 2
Rule 34: 4141634511, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 35: 2422da2127, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: b2b28f7b47, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 1424512bb2, Class:  1, CF:0.404725, Len: 10, Fitness_tra: 0
Rule 38: b3428521b2, Class:  1, CF:0.995199, Len: 10, Fitness_tra: 0
Rule 39: b112d97421, Class:  1, CF:0.973967, Len: 10, Fitness_tra: 0
Rule 40: 71448d174b, Class:  1, CF:0.992848, Len: 10, Fitness_tra: 28
Rule 41: 2447584b21, Class:  1, CF:0.871265, Len: 10, Fitness_tra: 0
Rule 42: 21242371bb, Class:  1, CF:0.525148, Len: 10, Fitness_tra: -1
Rule 43: 2b421321bb, Class:  1, CF:0.548492, Len: 10, Fitness_tra: 0
Rule 44: 85cb534511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 1cc2ea1d9d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: b2b78ab271, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 41b225b772, Class:  1, CF:0.983604, Len: 10, Fitness_tra: 0
Rule 48: 427bc31147, Class:  1, CF:0.994641, Len: 10, Fitness_tra: 105
Rule 49: 4871134217, Class:  1, CF:0.601757, Len: 10, Fitness_tra: 3
Rule 50: b414cf7b47, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 115b212151, Class:  1, CF:  1, Len: 10, Fitness_tra: 5
Rule 52: 1b72ce1774, Class:  1, CF:0.992091, Len: 10, Fitness_tra: 0
Rule 53: 71112921b4, Class:  1, CF:0.972607, Len: 10, Fitness_tra: 3
Rule 54: b842c5bbb1, Class:  1, CF:0.106541, Len: 10, Fitness_tra: 0
