------Generation 0------
Rule  1: 18615b8bb, Class:  6, CF:  1, Len:  9, Fitness_tra: 0
Rule  2: 0c0000070, Class:  6, CF:0.764731, Len:  2, Fitness_tra: 10
Rule  3: 851314c11, Class:  6, CF:0.197943, Len:  9, Fitness_tra: -1
Rule  4: 85311b241, Class:  6, CF:  1, Len:  9, Fitness_tra: 0
Rule  5: 226c5717b, Class:  6, CF:  1, Len:  9, Fitness_tra: 0
Rule  6: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 00d000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 005040000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 45e254c17, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 00d000d00, Class:  1, CF:  1, Len:  2, Fitness_tra: 0
Rule 15: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 00a000000, Class:  6, CF:0.0621304, Len:  1, Fitness_tra: -8
Rule 18: 000000005, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: c1151b214, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 000400000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 00000c000, Class:  6, CF:0.827993, Len:  1, Fitness_tra: 1
Rule 23: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 121897c74, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 020000305, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 0000000d0, Class:  4, CF:0.0162602, Len:  1, Fitness_tra: 0
Rule 30: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 000cf5000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 89211b112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 1db312812, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 2c9117c7b, Class:  2, CF:0.251724, Len:  9, Fitness_tra: 0
Rule 36: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 500000500, Class:  1, CF:0.975232, Len:  2, Fitness_tra: 1
Rule 38: 0c00000b0, Class:  6, CF:0.608358, Len:  2, Fitness_tra: -6
Rule 39: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 000b00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: dd0000d00, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: d00000d00, Class:  1, CF:0.900105, Len:  2, Fitness_tra: 2
Rule 43: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: cc623b172, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
