------Generation 0------
Rule  1: 1265132d11541, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  2: 4b43121255c32, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 31f5e11111d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: aa1551151d213, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 6e65352dd91c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 7c23535222995, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 3578515251533, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 11a2115151588, Class:  0, CF:0.168187, Len: 13, Fitness_tra: 0
Rule  9: 611113e911211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: bc1581e122155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 1c11512115515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: a3f55515c1811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 65b321811d955, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: ff63922139821, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 15: f1252de111518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: b27c311125111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 75fd291111511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 272831e7cd111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: feb9212e15518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 651111d58d51d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: a361156e91259, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: fef1951d115c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 6362388d59518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 6147edd511111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 0008000000690, Class:  0, CF:  1, Len:  3, Fitness_tra: 0
Rule 26: f1b5163182133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 13a5ec8113c53, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 287115112155c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 00000000000b0, Class:  1, CF:0.0537084, Len:  1, Fitness_tra: -231
Rule 30: fe3585e911581, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 17451985c1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 713c3119d1121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 63f1111193113, Class:  1, CF:0.268771, Len: 13, Fitness_tra: 0
Rule 34: 2362612111181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
