------Generation 0------
Rule  1: b5fce13111935, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 111131818111c, Class:  0, CF:0.0256999, Len: 13, Fitness_tra: 5
Rule  3: 363c19618cccd, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  4: fe111c8153111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 12a7113112153, Class:  1, CF:0.435764, Len: 13, Fitness_tra: -9
Rule  6: 777213185559e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: ae15311121335, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 7cb9111519311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 25fd11111d152, Class:  0, CF:  1, Len: 13, Fitness_tra: 4
Rule 10: 1549511518111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 6329111115d25, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 12: 223523e111121, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 13: 1fa891551d358, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: b116821d51551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 6941c1953915c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 163d3131218d6, Class:  0, CF:  1, Len: 13, Fitness_tra: 5
Rule 17: 2dae911125819, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 1a621f1dc8816, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 19: 214151511d551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: a1a8311918151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: a579551183815, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 1c111791f93b8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 1c16558d41853, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 4215d51525d1e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 111d213918813, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 26: 21a1181553c85, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 7da251158397d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 1b11c15532911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 1665341191125, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 30: 4276155115591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 712e119c51311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: ae7955d285531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
