------Generation 0------
Rule  1: 11af51d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 193a152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 131aa51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: e266e51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 1efa321, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 99aa681, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 1133512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 9e3f624, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 3e3aad7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: e533621, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 1513112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 11fa112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 15af112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 5161212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 153afd4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 39fa511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 00000d0, Class:  0, CF:0.311246, Len:  1, Fitness_tra: -3
Rule 18: 61f1312, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 396f158, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 1116518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 5136182, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 993f152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 911f15c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 1536993, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 113a2c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 3e1661c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 1313f32, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 36aff12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 16ff115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: eeaf112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 7000000, Class:  0, CF:0.630087, Len:  1, Fitness_tra: 99
Rule 32: 11a3158, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 8466d81, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 93fa151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 3eaa1d8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 25a3182, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 851f322, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: e936152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 1131911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 85f3518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 131a338, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 813a815, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 93a6311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 31f1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 113f318, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 51ffd51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 163165c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: e1a3388, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 9133e12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: e3afad1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: e11131c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 19f6352, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 3ea338c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: d26f5c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 1166111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 99f365c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 6313141, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 5151a18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 3d66111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 96331d8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 1eafd55, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 513a599, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 332f111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 113311e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 91a3a12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 1131912, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 33a3658, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 153ae98, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 1d33185, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: e563111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 131af51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 1d13585, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 1353a51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
