------Generation 0------
Rule  1: 1281c7cd1282142231, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 131541d11115121255, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 31151412191d111411, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule  4: 55d21221c151521231, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule  5: 8111211d121c122251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 9538141251221731e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 000000000000000002, Class:  1, CF:0.0182468, Len:  1, Fitness_tra: 1
Rule  8: 551112852128511411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 000000000000000000, Class:  1, CF:8.32667e-16, Len:  0, Fitness_tra: 0
Rule 10: 19122155118c171219, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 000000000000000000, Class:  1, CF:8.32667e-16, Len:  0, Fitness_tra: 0
Rule 12: 51a1245c91d511b511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 112442131544128144, Class:  0, CF:0.908877, Len: 18, Fitness_tra: 0
Rule 14: 513514121588325293, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: c8827b15184c127224, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 1212111521c2124182, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 17: 1ef514e49195545153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 00000000000000c0d2, Class:  1, CF:0.0267391, Len:  3, Fitness_tra: 0
Rule 19: d005008d808800000e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 225421151412241118, Class:  1, CF:0.988833, Len: 18, Fitness_tra: 0
Rule 21: 291224c5111c5121c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 000000000d00007000, Class:  0, CF:0.347229, Len:  2, Fitness_tra: 10
Rule 23: 12547119b241112482, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 81111b8d2824521422, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 000000000000000000, Class:  1, CF:8.32667e-16, Len:  0, Fitness_tra: 0
Rule 26: d09000000d00000000, Class:  0, CF:  1, Len:  3, Fitness_tra: 98
Rule 27: 080000c50000800000, Class:  1, CF:0.781002, Len:  4, Fitness_tra: 0
Rule 28: cd24211d4584122141, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 18c17125282425c114, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 30: 00308c00404000e003, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 00000b0000000700d0, Class:  0, CF:0.0532027, Len:  3, Fitness_tra: 0
Rule 32: 5005008d848c000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 0000007ebd0b000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 003000000000000003, Class:  1, CF:0.145563, Len:  2, Fitness_tra: -46
Rule 35: 151211121515842251, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 36: 00200b000000000508, Class:  0, CF:0.862246, Len:  4, Fitness_tra: 9
Rule 37: e31124571115942159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 111521e21199515181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 0000000000000007d0, Class:  1, CF:0.0497509, Len:  2, Fitness_tra: 0
Rule 40: c88212c181218112c2, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 41: 00000b000000000000, Class:  1, CF:0.0145058, Len:  1, Fitness_tra: 0
Rule 42: c51711211884d81122, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 43: 000000c00000000000, Class:  0, CF:0.629379, Len:  1, Fitness_tra: 207
Rule 44: 1e12c71199139111d8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 15dc11c51814273211, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 46: 1e15225199d3921115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 1c18278118181c1181, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 48: 0000007e707b000000, Class:  1, CF:0.493927, Len:  5, Fitness_tra: 0
