------Generation 0------
Rule  1: d152118811811121e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 331142e11e5192b123, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 1162111211511b2316, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: d00b00000000050004, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 0800000005c0000000, Class:  0, CF:0.960682, Len:  3, Fitness_tra: 1
Rule  6: 1417717eb14b811111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 555122214121111213, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule  8: 913214e7919e611112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 5161415131d9311111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 0000cb000000000002, Class:  0, CF:0.807956, Len:  3, Fitness_tra: 0
Rule 11: c00000000000000000, Class:  1, CF:0.152136, Len:  1, Fitness_tra: -26
Rule 12: 331541329e13329415, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 121227114841121261, Class:  1, CF:0.502406, Len: 18, Fitness_tra: 0
Rule 14: 000000008000000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 246
Rule 15: 5111c4812228c74153, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 16: 11112115c221212113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 14112b2eb441472213, Class:  1, CF:0.722203, Len: 18, Fitness_tra: 0
Rule 18: 5d3224c123225122c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 12182255151c1751d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 511d221251d1171113, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 21: 19121234115531511d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 17dc141544c82b1191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 0000007e007b000000, Class:  1, CF:0.721992, Len:  4, Fitness_tra: 0
Rule 24: 511414217c44221251, Class:  0, CF:0.99534, Len: 18, Fitness_tra: 0
Rule 25: 81112222158c5112d5, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 26: 119112d21d1152c115, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 27: 11d114c22528511211, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 28: 215c441d2282211113, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 29: 000b00b00000000000, Class:  1, CF:0.242902, Len:  2, Fitness_tra: -117
Rule 30: 521c1711c521841211, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 31: 52dc24192822111133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 55611491211d1c218d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 121c11451114521b11, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 34: 589827128281124153, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
