------Generation 0------
Rule  1: 000000000000000000, Class:  1, CF:8.32667e-16, Len:  0, Fitness_tra: 0
Rule  2: 0000007e007b000000, Class:  1, CF:0.750216, Len:  4, Fitness_tra: 0
Rule  3: 08000000080000c000, Class:  0, CF:0.339118, Len:  3, Fitness_tra: 0
Rule  4: 516811dc2152171111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: c00000000400000080, Class:  0, CF:0.00242776, Len:  3, Fitness_tra: 0
Rule  6: 8212418121142c1441, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule  7: d151c4c525121251e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 1331c111d1d5124125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 8d512c51c5841c1118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 2c111215c128122813, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 5995c151d15d322111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 000000000008000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 136
Rule 13: 336122945191e21283, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 133d22919e51941151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 11d24b8111c1c1b422, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 16: 5cd11185215822111d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 0000c0000000000000, Class:  0, CF:0.0864899, Len:  1, Fitness_tra: 0
Rule 18: c421224e4224813121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 003470000000000003, Class:  0, CF:0.304727, Len:  4, Fitness_tra: 2
Rule 20: 1111c2d285dd511159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 1315141819d1911159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 000000000000000000, Class:  1, CF:8.32667e-16, Len:  0, Fitness_tra: 0
Rule 23: 96112114532531128d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 2224142377b71c1144, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 212112852812114827, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 02000c00404000e000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 111117111182422519, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 28: c111742d8821881447, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 821c14112422211311, Class:  0, CF:0.995452, Len: 18, Fitness_tra: 0
Rule 30: 11181492d551514313, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 31: 000000500088005000, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 32: 113d1412315314521d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
