------Generation 0------
Rule  1: 1128143d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 115524e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 2121479c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 2211b491, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 1111b118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: d1821291, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule  7: c2124b35, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 2558b71c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 1582275c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 2528b738, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 00000000, Class:  0, CF:0.959551, Len:  0, Fitness_tra: 1277
Rule 12: 85527238, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 22811731, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 151217e8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 2111129d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 11211b91, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 8c141431, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 531c12e8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 31227258, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 0000005c, Class:  0, CF:0.968365, Len:  2, Fitness_tra: 0
Rule 21: 8551bb1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 00000004, Class:  0, CF:0.961226, Len:  1, Fitness_tra: 4
Rule 23: 125c721c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 115c749c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 3181223c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 00000000, Class:  0, CF:0.959551, Len:  0, Fitness_tra: 0
Rule 27: 8d191294, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 8d114718, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 42444111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 9311279c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: c1d12118, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 32: 112d2791, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: d8cc711c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 8d522291, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 95184411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 1182bb51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: dc1241ec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: cd1277ec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 828c1b11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 8c82443c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 8882bb15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 5158bbe8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 00000000, Class:  0, CF:0.959551, Len:  0, Fitness_tra: 0
Rule 44: 111124dc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 81d82b91, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: d5524115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 8c8c2138, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 15147115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 1122b7ec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: d812b7d4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 115c2192, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 52: 518c7b11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 00000000, Class:  0, CF:0.959551, Len:  0, Fitness_tra: 0
Rule 54: 00080004, Class:  0, CF:0.98505, Len:  2, Fitness_tra: 0
Rule 55: 11116118, Class:  0, CF:0.996302, Len:  8, Fitness_tra: 0
Rule 56: 811c145c, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 57: 11211b52, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 1212445c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
