------Generation 0------
Rule  1: f311152551515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 41251231925d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 4273151898138, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 41a2a1b5d5125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 11f11218915c1, Class:  1, CF:0.580891, Len: 13, Fitness_tra: -18
Rule  6: a1ac6211d1112, Class:  1, CF:0.660575, Len: 13, Fitness_tra: 2
Rule  7: 3662956918c21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 13155dd11152d, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule  9: 242182e255511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: a1fd9123d5c29, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 1368114133512, Class:  0, CF:  1, Len: 13, Fitness_tra: 37
Rule 12: 75ad1921191c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: b915181119551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 431511d11315e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 3a613121311c5, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 16: 71131d1111151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 756ca149dd52d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: bd6c1115d1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 6165152115511, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule 20: f1b19515d391d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 78f1113dd5111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 392298855191d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 2cf1585113423, Class:  0, CF:  1, Len: 13, Fitness_tra: 4
Rule 24: a341825815115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 787d535251513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: bc21c2181361d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 7cb28aacc1366, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 6d78535cd5d51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: b111d51111181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 6ef12511251de, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: a372151453331, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 3332918828e1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: b5a1111915111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 28fd13ee1c215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 131d11213182e, Class:  0, CF:  1, Len: 13, Fitness_tra: 3
Rule 36: a115911d59821, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 293538c116885, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 11b2d31155915, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: b2b9132115133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 12112151e3918, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 41: bb711854d1231, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: ff31113525153, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 43: 63619c1519881, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: b561518511121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: aff592151e511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: b4149351d1533, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 1e6ce9111d954, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: f172e53853d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 397535c591591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
