------Generation 0------
Rule  1: bda855292111e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 31452c1139111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: bc6d19e941155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 6929551221535, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 2bb1351c15111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: f911131853118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 1365921515821, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: af11119952153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 15f3131185145, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: bb2c121132151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 4c767192f5972, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 3975151d351c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 1ca58381815cd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 1715152515215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 11bd555551115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: b1689d1211515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 2143111852135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 42a2315523154, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 7161338121112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 39b1151512135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 17191ce5951d8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: f6a1118311c19, Class:  0, CF:  1, Len: 13, Fitness_tra: 26
Rule 23: 317d53d111311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: f6655d9158c81, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: f111258551558, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 6a1d589123511, Class:  0, CF:  1, Len: 13, Fitness_tra: 8
Rule 27: 41315e351118a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 616581952d216, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 214ec1119355d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: b229de1cc151d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: f679d38d891d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 35b5932211512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 211e2cd53898d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 1161329d11145, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 714de18815511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 753261155511d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 15121d9d131e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: f3f115d51d226, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 39: 11ac351151921, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 40: f11515938d286, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 2cb5d53188153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 612155d515351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: b231154151115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: a5b2121111925, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 3322915585991, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 3e25228381581, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: b2b51568119e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: b475553218115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 3f6dec51115c9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: a1ac1e2151918, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 21151531581d1, Class:  0, CF:  1, Len: 13, Fitness_tra: 13
Rule 52: 6e4111e515111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 24155118921d8, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 54: 1221155151111, Class:  1, CF:0.936587, Len: 13, Fitness_tra: 4
Rule 55: 6915355191551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 25611111d3511, Class:  0, CF:  1, Len: 13, Fitness_tra: 13
Rule 57: 71f13141d1511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 28f91555815d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 332d5312853e5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: f3f1351851111, Class:  1, CF:0.990214, Len: 13, Fitness_tra: -5
Rule 61: 354d325515d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 613351951d1d6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 1162322513d58, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 7b48315111511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 43a1113922c53, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 13ade115131c3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 11b6151311dd8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: fe43211351151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 12b5dd1b51531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: b47d52581d115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 3121315235115, Class:  1, CF:0.971233, Len: 13, Fitness_tra: -3
Rule 72: 113131c215582, Class:  1, CF:0.926661, Len: 13, Fitness_tra: -25
Rule 73: 714251a2c7116, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: feb1ed1155311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 4c69551855512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 69212c3133518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 75a6151119181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: bda5d85511889, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 71ad1d9151c13, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 72b1531155511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 4831c3e128855, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 14b1ee22c1511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: aff1311922221, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 84: 29f4a11581111, Class:  1, CF:0.999149, Len: 13, Fitness_tra: 8
Rule 85: 783d8218115dc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 77b413181d231, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: a911e59111511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 61b5518d15151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 1419533885359, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: affc91192222d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 1d35185511181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 2173112111535, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
