------Generation 0------
Rule  1: dc414, Class:  0, CF:0.994168, Len:  5, Fitness_tra: 0
Rule  2: 62422, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule  3: e72c8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 11471, Class:  1, CF:0.275888, Len:  5, Fitness_tra: 0
Rule  5: 11141, Class:  1, CF:0.706703, Len:  5, Fitness_tra: 0
Rule  6: 92212, Class:  1, CF:0.525335, Len:  5, Fitness_tra: 0
Rule  7: 94412, Class:  1, CF:0.618098, Len:  5, Fitness_tra: 0
Rule  8: 94111, Class:  1, CF:0.150926, Len:  5, Fitness_tra: 0
Rule  9: 38411, Class:  0, CF:  1, Len:  5, Fitness_tra: 1
Rule 10: 97211, Class:  0, CF:0.00723883, Len:  5, Fitness_tra: 0
Rule 11: 312c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 37121, Class:  0, CF:0.817808, Len:  5, Fitness_tra: 0
Rule 13: 12c27, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 14: 98121, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 15: 18c47, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 16: 15271, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 17: 11243, Class:  1, CF:0.0585671, Len:  5, Fitness_tra: 0
Rule 18: 11711, Class:  0, CF:0.54193, Len:  5, Fitness_tra: 0
Rule 19: 9221c, Class:  1, CF:0.999811, Len:  5, Fitness_tra: 0
Rule 20: d8442, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 21: 92221, Class:  1, CF:0.402519, Len:  5, Fitness_tra: 0
Rule 22: 1e17b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 23: 1311b, Class:  1, CF:0.543533, Len:  5, Fitness_tra: 3
Rule 24: e514b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 25: 5c1b2, Class:  0, CF:0.891512, Len:  5, Fitness_tra: 0
Rule 26: 17251, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 27: 11122, Class:  1, CF:0.967149, Len:  5, Fitness_tra: 0
Rule 28: 51411, Class:  1, CF:0.037177, Len:  5, Fitness_tra: 0
Rule 29: 58cb7, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 30: 83514, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 9111b, Class:  1, CF:0.906416, Len:  5, Fitness_tra: 18
Rule 32: 05000, Class:  0, CF:  1, Len:  1, Fitness_tra: 17
Rule 33: e2141, Class:  1, CF:0.823239, Len:  5, Fitness_tra: 0
Rule 34: 213b7, Class:  1, CF:0.949347, Len:  5, Fitness_tra: 27
Rule 35: 59177, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 36: 32412, Class:  0, CF:0.905217, Len:  5, Fitness_tra: 0
Rule 37: 1c171, Class:  0, CF:0.998922, Len:  5, Fitness_tra: 0
Rule 38: 91129, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 39: 92171, Class:  1, CF:0.807358, Len:  5, Fitness_tra: 0
Rule 40: 15124, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 41: 11112, Class:  1, CF:0.683139, Len:  5, Fitness_tra: 3
Rule 42: 1421c, Class:  1, CF:0.996585, Len:  5, Fitness_tra: 0
Rule 43: 52241, Class:  1, CF:0.234971, Len:  5, Fitness_tra: 0
Rule 44: 952b1, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 45: d5221, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 46: 51417, Class:  1, CF:0.598805, Len:  5, Fitness_tra: 0
Rule 47: d22b7, Class:  1, CF:0.674527, Len:  5, Fitness_tra: 0
Rule 48: 31122, Class:  1, CF:0.0854158, Len:  5, Fitness_tra: 0
Rule 49: 11419, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 50: 32271, Class:  0, CF:0.994813, Len:  5, Fitness_tra: 0
Rule 51: 9b211, Class:  1, CF:0.418933, Len:  5, Fitness_tra: 0
Rule 52: 58117, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 53: 52224, Class:  1, CF:0.866626, Len:  5, Fitness_tra: 0
Rule 54: 80000, Class:  1, CF:0.0994459, Len:  1, Fitness_tra: 1
Rule 55: 5c172, Class:  0, CF:0.891512, Len:  5, Fitness_tra: 0
Rule 56: 14b17, Class:  0, CF:0.335464, Len:  5, Fitness_tra: 0
Rule 57: 00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 12427, Class:  1, CF:0.438135, Len:  5, Fitness_tra: 0
Rule 59: 11847, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 60: e2741, Class:  1, CF:0.371186, Len:  5, Fitness_tra: 0
Rule 61: 22744, Class:  1, CF:0.784585, Len:  5, Fitness_tra: 0
Rule 62: 1d421, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 63: e4211, Class:  0, CF:0.391946, Len:  5, Fitness_tra: 0
Rule 64: 5312b, Class:  1, CF:0.989888, Len:  5, Fitness_tra: 3
Rule 65: 12141, Class:  0, CF:0.0134558, Len:  5, Fitness_tra: 0
Rule 66: 92441, Class:  1, CF:0.39575, Len:  5, Fitness_tra: 0
Rule 67: 31172, Class:  1, CF:0.0854158, Len:  5, Fitness_tra: 0
Rule 68: 517b1, Class:  1, CF:0.783186, Len:  5, Fitness_tra: 0
Rule 69: 38177, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 70: 04000, Class:  0, CF:0.463195, Len:  1, Fitness_tra: 81
Rule 71: 11747, Class:  1, CF:0.810438, Len:  5, Fitness_tra: 0
Rule 72: 1821b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 73: d1121, Class:  1, CF:0.929398, Len:  5, Fitness_tra: 16
Rule 74: 58112, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 75: 04000, Class:  0, CF:0.463195, Len:  1, Fitness_tra: 0
Rule 76: 92211, Class:  0, CF:0.6283, Len:  5, Fitness_tra: 0
Rule 77: 311b2, Class:  1, CF:0.0854158, Len:  5, Fitness_tra: 0
Rule 78: 18217, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 79: d1177, Class:  1, CF:0.968684, Len:  5, Fitness_tra: 28
Rule 80: 58241, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 81: 142c7, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 82: 587b2, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 83: d271c, Class:  1, CF:0.997229, Len:  5, Fitness_tra: 0
Rule 84: 91128, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 85: eb427, Class:  1, CF:0.986542, Len:  5, Fitness_tra: 0
Rule 86: 37b11, Class:  0, CF:0.941635, Len:  5, Fitness_tra: 0
Rule 87: 121b4, Class:  1, CF:0.756636, Len:  5, Fitness_tra: 0
Rule 88: 32bcc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 54141, Class:  1, CF:0.672032, Len:  5, Fitness_tra: 0
Rule 90: 00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 17242, Class:  1, CF:0.833273, Len:  5, Fitness_tra: 0
Rule 92: 61121, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 93: e7228, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
