------Generation 0------
Rule  1: 1512b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule  2: 54721, Class:  1, CF:0.441997, Len:  5, Fitness_tra: 0
Rule  3: 14b81, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule  4: 98271, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule  5: 11144, Class:  1, CF:0.946507, Len:  5, Fitness_tra: 4
Rule  6: 957b1, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule  7: 61422, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule  8: 11212, Class:  1, CF:0.566368, Len:  5, Fitness_tra: 0
Rule  9: 91411, Class:  1, CF:0.328662, Len:  5, Fitness_tra: 0
Rule 10: 11277, Class:  1, CF:0.815248, Len:  5, Fitness_tra: 0
Rule 11: 12211, Class:  0, CF:0.904156, Len:  5, Fitness_tra: 2
Rule 12: 951bb, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 13: 34411, Class:  0, CF:0.97791, Len:  5, Fitness_tra: 1
Rule 14: 5c1b7, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 15: 12b11, Class:  0, CF:0.791945, Len:  5, Fitness_tra: 9
Rule 16: 84112, Class:  1, CF:0.517887, Len:  5, Fitness_tra: 18
Rule 17: 1c74b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 18: d1448, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 19: 18122, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 20: 58c41, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 21: 387bb, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 22: e1113, Class:  1, CF:0.814955, Len:  5, Fitness_tra: 18
Rule 23: 131b7, Class:  1, CF:0.920461, Len:  5, Fitness_tra: 6
Rule 24: 17b11, Class:  0, CF:0.66794, Len:  5, Fitness_tra: 83
Rule 25: 15224, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 26: 17441, Class:  1, CF:0.0186248, Len:  5, Fitness_tra: 0
Rule 27: 5111c, Class:  1, CF:0.999436, Len:  5, Fitness_tra: 15
Rule 28: 31172, Class:  1, CF:0.273565, Len:  5, Fitness_tra: 0
Rule 29: 12c41, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 30: e8c24, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 31: 374c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 1c142, Class:  0, CF:0.954288, Len:  5, Fitness_tra: 0
Rule 33: 91118, Class:  1, CF:  1, Len:  5, Fitness_tra: 2
Rule 34: 58248, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 32215, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 36: 1c4b5, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
