------Generation 0------
Rule  1: d5171, Class:  2, CF:0.0993683, Len:  5, Fitness_tra: 0
Rule  2: 52c41, Class:  1, CF:0.861032, Len:  5, Fitness_tra: 0
Rule  3: 95112, Class:  1, CF:0.984684, Len:  5, Fitness_tra: 0
Rule  4: 5c222, Class:  2, CF:0.845803, Len:  5, Fitness_tra: 0
Rule  5: 91211, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 37212, Class:  2, CF:0.471145, Len:  5, Fitness_tra: 0
Rule  7: 11427, Class:  0, CF:0.264341, Len:  5, Fitness_tra: 0
Rule  8: 00000, Class:  2, CF:0.391753, Len:  0, Fitness_tra: 32
Rule  9: 18414, Class:  2, CF:0.149879, Len:  5, Fitness_tra: 0
Rule 10: d5824, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 11: 1c7b7, Class:  2, CF:0.891438, Len:  5, Fitness_tra: 0
Rule 12: 31111, Class:  2, CF:0.134965, Len:  5, Fitness_tra: 0
Rule 13: 317b4, Class:  2, CF:0.313753, Len:  5, Fitness_tra: 0
Rule 14: 34741, Class:  1, CF:0.231741, Len:  5, Fitness_tra: 0
Rule 15: 00000, Class:  2, CF:0.391753, Len:  0, Fitness_tra: 0
Rule 16: 51241, Class:  0, CF:0.272149, Len:  5, Fitness_tra: 0
Rule 17: d1127, Class:  0, CF:0.888833, Len:  5, Fitness_tra: 1
Rule 18: 32211, Class:  1, CF:0.944321, Len:  5, Fitness_tra: 2
Rule 19: 15127, Class:  1, CF:0.574845, Len:  5, Fitness_tra: 0
Rule 20: 321b4, Class:  2, CF:0.106557, Len:  5, Fitness_tra: 0
Rule 21: 03000, Class:  2, CF:0.340582, Len:  1, Fitness_tra: 0
Rule 22: 911bb, Class:  0, CF:0.937777, Len:  5, Fitness_tra: 0
Rule 23: 5822b, Class:  2, CF:0.673129, Len:  5, Fitness_tra: 0
Rule 24: 91121, Class:  0, CF:0.92772, Len:  5, Fitness_tra: 0
Rule 25: 9c2b2, Class:  2, CF:0.761551, Len:  5, Fitness_tra: 0
Rule 26: 1c444, Class:  2, CF:0.839238, Len:  5, Fitness_tra: 0
Rule 27: 34225, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 58224, Class:  2, CF:0.673129, Len:  5, Fitness_tra: 0
Rule 29: 5d122, Class:  1, CF:0.019276, Len:  5, Fitness_tra: 0
Rule 30: 1c1b2, Class:  2, CF:0.894255, Len:  5, Fitness_tra: 0
Rule 31: 11111, Class:  2, CF:0.640001, Len:  5, Fitness_tra: 0
Rule 32: 34b11, Class:  1, CF:0.187436, Len:  5, Fitness_tra: 0
Rule 33: 00c00, Class:  1, CF:0.914729, Len:  1, Fitness_tra: 12
Rule 34: 55414, Class:  1, CF:0.823572, Len:  5, Fitness_tra: 0
Rule 35: 32721, Class:  1, CF:0.684623, Len:  5, Fitness_tra: 0
Rule 36: 9124b, Class:  0, CF:0.877888, Len:  5, Fitness_tra: 0
Rule 37: 12b21, Class:  2, CF:0.449314, Len:  5, Fitness_tra: 0
Rule 38: 51142, Class:  0, CF:0.938113, Len:  5, Fitness_tra: 0
Rule 39: 911b4, Class:  0, CF:0.954337, Len:  5, Fitness_tra: 0
Rule 40: 9214b, Class:  0, CF:0.762834, Len:  5, Fitness_tra: 0
Rule 41: 55171, Class:  1, CF:0.668409, Len:  5, Fitness_tra: 0
Rule 42: 51212, Class:  0, CF:0.147148, Len:  5, Fitness_tra: 0
Rule 43: 13112, Class:  0, CF:0.11033, Len:  5, Fitness_tra: 0
Rule 44: d11b2, Class:  0, CF:0.901209, Len:  5, Fitness_tra: 1
Rule 45: 35121, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 46: 09500, Class:  1, CF:  1, Len:  2, Fitness_tra: 1
Rule 47: 00000, Class:  2, CF:0.391753, Len:  0, Fitness_tra: 0
Rule 48: 21544, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 49: 1222b, Class:  2, CF:0.257926, Len:  5, Fitness_tra: 0
Rule 50: e2471, Class:  1, CF:0.134287, Len:  5, Fitness_tra: 0
Rule 51: 12484, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 52: 58744, Class:  2, CF:0.73099, Len:  5, Fitness_tra: 0
Rule 53: 52127, Class:  0, CF:0.51031, Len:  5, Fitness_tra: 0
Rule 54: 11247, Class:  0, CF:0.0530317, Len:  5, Fitness_tra: 0
Rule 55: e0000, Class:  0, CF:0.0834553, Len:  1, Fitness_tra: 0
Rule 56: 00000, Class:  2, CF:0.391753, Len:  0, Fitness_tra: 0
Rule 57: a3000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 5d41b, Class:  1, CF:0.695361, Len:  5, Fitness_tra: 0
Rule 59: 3c414, Class:  1, CF:0.185027, Len:  5, Fitness_tra: 0
Rule 60: 111b4, Class:  0, CF:0.506749, Len:  5, Fitness_tra: 0
Rule 61: 111b2, Class:  0, CF:0.702648, Len:  5, Fitness_tra: 0
Rule 62: 12242, Class:  0, CF:0.0937647, Len:  5, Fitness_tra: 0
Rule 63: 00000, Class:  2, CF:0.391753, Len:  0, Fitness_tra: 0
Rule 64: 1c12b, Class:  2, CF:0.939364, Len:  5, Fitness_tra: 0
Rule 65: 92274, Class:  0, CF:0.6081, Len:  5, Fitness_tra: 0
Rule 66: 38222, Class:  1, CF:0.966042, Len:  5, Fitness_tra: 0
Rule 67: d141b, Class:  2, CF:0.564883, Len:  5, Fitness_tra: 0
Rule 68: 1d1b4, Class:  1, CF:0.302705, Len:  5, Fitness_tra: 0
