------Generation 0------
Rule  1: d24bb, Class:  2, CF:0.46687, Len:  5, Fitness_tra: 0
Rule  2: 15121, Class:  1, CF:0.861239, Len:  5, Fitness_tra: 0
Rule  3: e2211, Class:  1, CF:0.57884, Len:  5, Fitness_tra: 0
Rule  4: 12412, Class:  2, CF:0.300435, Len:  5, Fitness_tra: 0
Rule  5: 1c147, Class:  2, CF:0.935894, Len:  5, Fitness_tra: 0
Rule  6: 9122b, Class:  0, CF:0.882148, Len:  5, Fitness_tra: 0
Rule  7: 15c14, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule  8: 98bbb, Class:  2, CF:0.533669, Len:  5, Fitness_tra: 0
Rule  9: 00000, Class:  2, CF:0.398964, Len:  0, Fitness_tra: 37
Rule 10: 00000, Class:  2, CF:0.398964, Len:  0, Fitness_tra: 0
Rule 11: d111b, Class:  2, CF:0.247442, Len:  5, Fitness_tra: 0
Rule 12: d1724, Class:  0, CF:0.756724, Len:  5, Fitness_tra: 0
Rule 13: 11124, Class:  0, CF:0.765065, Len:  5, Fitness_tra: 0
Rule 14: 911b1, Class:  0, CF:0.883884, Len:  5, Fitness_tra: 1
Rule 15: 11177, Class:  0, CF:0.48273, Len:  5, Fitness_tra: 0
Rule 16: 00000, Class:  2, CF:0.398964, Len:  0, Fitness_tra: 0
Rule 17: 98441, Class:  1, CF:0.48262, Len:  5, Fitness_tra: 0
Rule 18: 327c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: a4000, Class:  1, CF:  1, Len:  2, Fitness_tra: 1
Rule 20: 98c14, Class:  1, CF:0.905147, Len:  5, Fitness_tra: 0
Rule 21: 51112, Class:  0, CF:0.493093, Len:  5, Fitness_tra: 0
Rule 22: 15577, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 23: dc411, Class:  2, CF:0.892211, Len:  5, Fitness_tra: 0
Rule 24: 151b2, Class:  1, CF:0.534706, Len:  5, Fitness_tra: 0
Rule 25: 11121, Class:  0, CF:0.040561, Len:  5, Fitness_tra: 0
Rule 26: d1112, Class:  0, CF:0.439424, Len:  5, Fitness_tra: 0
Rule 27: 03000, Class:  2, CF:0.321263, Len:  1, Fitness_tra: 0
Rule 28: e1411, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 00500, Class:  1, CF:  1, Len:  1, Fitness_tra: 3
Rule 30: 9d212, Class:  1, CF:0.990729, Len:  5, Fitness_tra: 0
Rule 31: c1542, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 32: 15227, Class:  1, CF:0.918711, Len:  5, Fitness_tra: 0
Rule 33: 11121, Class:  0, CF:0.040561, Len:  5, Fitness_tra: 0
Rule 34: 5d142, Class:  2, CF:0.0260427, Len:  5, Fitness_tra: 0
Rule 35: 31444, Class:  2, CF:0.400902, Len:  5, Fitness_tra: 0
Rule 36: 91112, Class:  0, CF:0.724164, Len:  5, Fitness_tra: 0
Rule 37: 311b7, Class:  2, CF:0.685996, Len:  5, Fitness_tra: 0
Rule 38: d8174, Class:  2, CF:0.969422, Len:  5, Fitness_tra: 0
Rule 39: 1d27b, Class:  1, CF:0.821988, Len:  5, Fitness_tra: 0
Rule 40: d1174, Class:  0, CF:0.885781, Len:  5, Fitness_tra: 2
Rule 41: 00000, Class:  2, CF:0.398964, Len:  0, Fitness_tra: 0
Rule 42: 31441, Class:  1, CF:0.192439, Len:  5, Fitness_tra: 0
Rule 43: 32127, Class:  2, CF:0.123506, Len:  5, Fitness_tra: 0
