------Generation 0------
Rule  1: 0000007e007b000000, Class:  0, CF:0.300612, Len:  4, Fitness_tra: 10
Rule  2: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: c217148141cc581142, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 555211cdc5c2149815, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 00000c004000000000, Class:  2, CF:0.559322, Len:  2, Fitness_tra: 2
Rule  7: 0000800000000c0005, Class:  0, CF:  1, Len:  3, Fitness_tra: 1
Rule  8: 0000b00be00e000000, Class:  2, CF:  1, Len:  4, Fitness_tra: 0
Rule  9: 000000000000080000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 000000000b00000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 0000008d008c000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 58174b89c14281c542, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 00c000000000000b00, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 000008000e00006000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 0000000000000c0000, Class:  2, CF:0.181556, Len:  1, Fitness_tra: 38
Rule 17: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: d00070000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 000000003000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 911c721b339e352111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 005000000000080030, Class:  2, CF:0.20676, Len:  3, Fitness_tra: 0
Rule 22: 00e000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 21124b254812581214, Class:  2, CF:  1, Len: 18, Fitness_tra: 0
Rule 26: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 003000000000000020, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: d00b00000000000004, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 000000000000000003, Class:  2, CF:0.0149875, Len:  1, Fitness_tra: -98
Rule 30: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 12dc242d2c8c182211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 11124b1d28141c71c1, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 33: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 00070c005040080000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 00000000060000d002, Class:  3, CF:0.0435801, Len:  3, Fitness_tra: 0
Rule 38: 11d127528111142493, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: c000000000000000c0, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 11d822122c88741293, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 000008000000000000, Class:  0, CF:0.619048, Len:  1, Fitness_tra: 5
Rule 46: 00000000000000f000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
