------Generation 0------
Rule  1: d00b00000000000007, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 000000000600000002, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 000900000030000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 1214b4252844182121, Class:  2, CF:  1, Len: 18, Fitness_tra: 0
Rule  9: 48844723151c221812, Class:  3, CF:0.0168334, Len: 18, Fitness_tra: 0
Rule 10: c15117151821d11122, Class:  0, CF:  1, Len: 18, Fitness_tra: 2
Rule 11: 55511c11894111c8c8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 00c0c0000000000b00, Class:  2, CF:0.419016, Len:  3, Fitness_tra: 34
Rule 13: 000000004044000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 000300000000050000, Class:  2, CF:  1, Len:  2, Fitness_tra: 0
Rule 17: 11311191311134335e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 000300000000000085, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 8887141d111128417b, Class:  0, CF:0.860088, Len: 18, Fitness_tra: 0
Rule 20: 000000000000000080, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 00500b000d00080000, Class:  2, CF:  1, Len:  4, Fitness_tra: 0
Rule 22: 900000000000000000, Class:  1, CF:0.256881, Len:  1, Fitness_tra: 4
Rule 23: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 030000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 60000c003000000000, Class:  2, CF:  1, Len:  3, Fitness_tra: 2
Rule 26: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 121887c54181171111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 00000c003000000009, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 51574779451b181251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 000070005000005000, Class:  1, CF:0.639501, Len:  3, Fitness_tra: 1
Rule 35: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 0cd580520008000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 213284cd81c1842521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: e00000000000000000, Class:  1, CF:0.52381, Len:  1, Fitness_tra: 12
Rule 39: 151417c51128d21442, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 15dc278d81c2112542, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 008000000000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 00300c0005005c0020, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 25112c812111581121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 000000000000000805, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 0d000c000d00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 000080000000000000, Class:  0, CF:0.405263, Len:  1, Fitness_tra: 3
Rule 49: 188442b31c1b221411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 00000b000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 008000000000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 0700000004b040e000, Class:  3, CF:0.116708, Len:  5, Fitness_tra: -5
Rule 55: 5112242c1152114291, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: c0000000000000c060, Class:  0, CF:0.488147, Len:  3, Fitness_tra: 14
Rule 57: 0000000e0000000000, Class:  0, CF:0.274627, Len:  1, Fitness_tra: 13
Rule 58: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 82224bcd12cc1c1115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 2111111948241414e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 000000080080000090, Class:  3, CF:  1, Len:  3, Fitness_tra: 1
Rule 64: 45d722238522d81211, Class:  2, CF:  1, Len: 18, Fitness_tra: 0
Rule 65: 9131b4123391122121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 000000000000000400, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 00e080004040000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 0000b000e00e000000, Class:  2, CF:  1, Len:  3, Fitness_tra: 4
Rule 69: 00e000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 000000000000000300, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 2514412d82c41c71c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 000000000000000006, Class:  2, CF:0.139576, Len:  1, Fitness_tra: 23
Rule 73: 00000000008c000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 8511412125c1821219, Class:  1, CF:0.381556, Len: 18, Fitness_tra: 0
Rule 75: 000c00000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 213c1111c12414c525, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: c811112d281158187b, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 78: d000c0000000400000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 00000b000000070000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
