------Generation 0------
Rule  1: 1128145c, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule  2: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 314424e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 3111479c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 3521b491, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 1321b118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: e1851291, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 92124b32, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 5554b71c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 1d812a98, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 13: 2525b738, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 90070000, Class:  1, CF:0.862585, Len:  2, Fitness_tra: 297
Rule 15: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 52524432, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: e1154138, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 1518b731, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 0d000000, Class:  1, CF:0.518898, Len:  1, Fitness_tra: 126
Rule 20: 211c7212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 11821491, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 22: 91221751, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: d1144435, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 25187295, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
