------Generation 0------
Rule  1: 115c71d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: e2814b34, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 15452be2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 5d511b98, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 221d479c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 81812231, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 5581b738, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 1d127b9c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 5322413c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 12114218, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 5112249c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 00800000, Class:  0, CF:0.546804, Len:  1, Fitness_tra: 511
Rule 16: 158541e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 00d00000, Class:  0, CF:  1, Len:  1, Fitness_tra: 10
Rule 19: 1518b734, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 88842158, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 21: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 1e12143c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 5c127131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 3518b718, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 1c547291, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 21511b12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: a1824b92, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 11254794, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: e1251b11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 00070000, Class:  1, CF:0.0668843, Len:  1, Fitness_tra: -87
Rule 32: 3d22449c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: e121bbe1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 15877b11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 55117212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: d8584b51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 93c41714, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: c551b735, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: e0000000, Class:  1, CF:0.878167, Len:  1, Fitness_tra: 257
Rule 40: 3181b71c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 355db261, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 921121e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 252c241c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
