------Generation 0------
Rule  1: e518243c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 11511132, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule  3: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 0d000000, Class:  1, CF:0.560579, Len:  1, Fitness_tra: 47
Rule  5: 3128171c, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule  6: ed2c721c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 3d1c715c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 85141bec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 00000005, Class:  0, CF:  1, Len:  1, Fitness_tra: 48
Rule 10: 5121441c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: e328bb95, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 15517111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 51221135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 118242e4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 8811bb98, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 51881131, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 17: 3e282198, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 52524b92, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: e5187b12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 00700000, Class:  0, CF:0.00507305, Len:  1, Fitness_tra: 189
Rule 21: 000700a0, Class:  0, CF:  1, Len:  2, Fitness_tra: 0
Rule 22: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 1d112111, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 24: 65c84b32, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 51527be1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 8122b25c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 0d000000, Class:  1, CF:0.560579, Len:  1, Fitness_tra: 0
Rule 28: 15124291, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 1d48213c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 52142712, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 13581118, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
