------Generation 0------
Rule  1: 0000, Class:  1, CF:2.22045e-16, Len:  0, Fitness_tra: 0
Rule  2: 2006, Class:  0, CF:0.214253, Len:  2, Fitness_tra: 5
Rule  3: 1131, Class:  1, CF:0.41325, Len:  4, Fitness_tra: 0
Rule  4: 1111, Class:  1, CF:0.359653, Len:  4, Fitness_tra: 2
Rule  5: 1162, Class:  1, CF:0.0827298, Len:  4, Fitness_tra: 0
Rule  6: 0206, Class:  0, CF:0.294279, Len:  2, Fitness_tra: 29
Rule  7: 1111, Class:  1, CF:0.359653, Len:  4, Fitness_tra: 0
Rule  8: 3112, Class:  0, CF:0.128616, Len:  4, Fitness_tra: 0
Rule  9: 3212, Class:  1, CF:0.282659, Len:  4, Fitness_tra: -11
Rule 10: 2153, Class:  1, CF:0.337413, Len:  4, Fitness_tra: -2
Rule 11: 9912, Class:  0, CF:0.655656, Len:  4, Fitness_tra: 4
Rule 12: 0000, Class:  1, CF:2.22045e-16, Len:  0, Fitness_tra: 0
Rule 13: 1216, Class:  0, CF:0.273526, Len:  4, Fitness_tra: 0
Rule 14: 1211, Class:  0, CF:0.08111, Len:  4, Fitness_tra: 0
Rule 15: 5043, Class:  0, CF:0.495872, Len:  3, Fitness_tra: 16
Rule 16: 1511, Class:  0, CF:0.510922, Len:  4, Fitness_tra: 10
Rule 17: 4411, Class:  0, CF:0.0582605, Len:  4, Fitness_tra: 0
Rule 18: 3111, Class:  1, CF:0.447066, Len:  4, Fitness_tra: 0
Rule 19: 1135, Class:  0, CF:0.264977, Len:  4, Fitness_tra: 0
Rule 20: 1316, Class:  1, CF:0.547265, Len:  4, Fitness_tra: -1
Rule 21: 4030, Class:  0, CF:0.226775, Len:  2, Fitness_tra: 28
Rule 22: 5453, Class:  0, CF:0.271783, Len:  4, Fitness_tra: 0
Rule 23: 5500, Class:  0, CF:0.060241, Len:  2, Fitness_tra: 0
Rule 24: 1111, Class:  1, CF:0.359653, Len:  4, Fitness_tra: 0
Rule 25: 4443, Class:  0, CF:0.0181183, Len:  4, Fitness_tra: 0
Rule 26: 4111, Class:  1, CF:0.174378, Len:  4, Fitness_tra: 0
Rule 27: 1111, Class:  1, CF:0.359653, Len:  4, Fitness_tra: 0
Rule 28: 1923, Class:  1, CF:0.301295, Len:  4, Fitness_tra: -1
Rule 29: 5020, Class:  1, CF:0.211008, Len:  2, Fitness_tra: -34
Rule 30: 0005, Class:  1, CF:0.00867374, Len:  1, Fitness_tra: 0
Rule 31: 1131, Class:  1, CF:0.41325, Len:  4, Fitness_tra: 0
Rule 32: 0005, Class:  1, CF:0.00867374, Len:  1, Fitness_tra: 0
Rule 33: 0055, Class:  0, CF:0.0772071, Len:  2, Fitness_tra: 12
Rule 34: 1636, Class:  1, CF:0.631837, Len:  4, Fitness_tra: -1
Rule 35: 1191, Class:  0, CF:0.674618, Len:  4, Fitness_tra: 33
Rule 36: 4113, Class:  1, CF:0.12706, Len:  4, Fitness_tra: 0
Rule 37: 0453, Class:  0, CF:0.391916, Len:  3, Fitness_tra: 18
Rule 38: 0460, Class:  0, CF:0.129673, Len:  2, Fitness_tra: 1
Rule 39: b534, Class:  0, CF:0.421727, Len:  4, Fitness_tra: 4
Rule 40: 3241, Class:  1, CF:0.0629742, Len:  4, Fitness_tra: 0
Rule 41: 5500, Class:  0, CF:0.060241, Len:  2, Fitness_tra: 0
Rule 42: 9111, Class:  0, CF:0.600555, Len:  4, Fitness_tra: 12
Rule 43: 6111, Class:  1, CF:0.453082, Len:  4, Fitness_tra: -5
Rule 44: 0304, Class:  0, CF:0.167246, Len:  2, Fitness_tra: 32
Rule 45: 1115, Class:  0, CF:0.441873, Len:  4, Fitness_tra: 32
Rule 46: 2060, Class:  0, CF:0.287351, Len:  2, Fitness_tra: 28
Rule 47: 3111, Class:  1, CF:0.447066, Len:  4, Fitness_tra: 0
Rule 48: 1931, Class:  0, CF:0.67747, Len:  4, Fitness_tra: 5
Rule 49: 1112, Class:  0, CF:0.100425, Len:  4, Fitness_tra: 0
Rule 50: 3411, Class:  1, CF:0.412785, Len:  4, Fitness_tra: -5
Rule 51: 5122, Class:  1, CF:0.0299985, Len:  4, Fitness_tra: 0
Rule 52: 6123, Class:  0, CF:0.0926573, Len:  4, Fitness_tra: 0
Rule 53: 0005, Class:  1, CF:0.00867374, Len:  1, Fitness_tra: 0
Rule 54: 3414, Class:  1, CF:0.436273, Len:  4, Fitness_tra: -17
Rule 55: 1111, Class:  1, CF:0.359653, Len:  4, Fitness_tra: 0
Rule 56: 1332, Class:  0, CF:0.0165948, Len:  4, Fitness_tra: 0
Rule 57: 9334, Class:  0, CF:0.353846, Len:  4, Fitness_tra: 1
Rule 58: 5132, Class:  1, CF:0.325075, Len:  4, Fitness_tra: -1
Rule 59: 1413, Class:  1, CF:0.189209, Len:  4, Fitness_tra: 0
Rule 60: 3619, Class:  0, CF:0.87603, Len:  4, Fitness_tra: 8
Rule 61: b165, Class:  1, CF:0.0636084, Len:  4, Fitness_tra: 0
Rule 62: 1311, Class:  1, CF:0.409526, Len:  4, Fitness_tra: -2
Rule 63: 2541, Class:  0, CF:0.775276, Len:  4, Fitness_tra: 30
Rule 64: 7251, Class:  1, CF:0.14911, Len:  4, Fitness_tra: 0
Rule 65: 9124, Class:  1, CF:0.137868, Len:  4, Fitness_tra: 0
Rule 66: 7113, Class:  1, CF:0.270256, Len:  4, Fitness_tra: 0
Rule 67: 1131, Class:  1, CF:0.41325, Len:  4, Fitness_tra: 0
Rule 68: 2035, Class:  1, CF:0.0707422, Len:  3, Fitness_tra: 0
Rule 69: 9111, Class:  0, CF:0.600555, Len:  4, Fitness_tra: 0
Rule 70: 2214, Class:  0, CF:0.447137, Len:  4, Fitness_tra: 15
Rule 71: 1321, Class:  0, CF:0.182647, Len:  4, Fitness_tra: 0
Rule 72: 1112, Class:  0, CF:0.100425, Len:  4, Fitness_tra: 0
Rule 73: 6511, Class:  0, CF:0.333894, Len:  4, Fitness_tra: 0
Rule 74: 1416, Class:  1, CF:0.145381, Len:  4, Fitness_tra: 0
Rule 75: b121, Class:  1, CF:0.0747379, Len:  4, Fitness_tra: 0
Rule 76: 0000, Class:  1, CF:2.22045e-16, Len:  0, Fitness_tra: 0
Rule 77: 4131, Class:  0, CF:0.0327786, Len:  4, Fitness_tra: 0
Rule 78: 5045, Class:  1, CF:0.255139, Len:  3, Fitness_tra: -11
Rule 79: 0304, Class:  0, CF:0.167246, Len:  2, Fitness_tra: 0
Rule 80: 0230, Class:  0, CF:0.174123, Len:  2, Fitness_tra: 2
Rule 81: 1311, Class:  1, CF:0.409526, Len:  4, Fitness_tra: 0
Rule 82: 1116, Class:  1, CF:0.427505, Len:  4, Fitness_tra: -2
Rule 83: 1213, Class:  0, CF:0.198306, Len:  4, Fitness_tra: 0
Rule 84: 1111, Class:  1, CF:0.359653, Len:  4, Fitness_tra: 0
Rule 85: 5111, Class:  0, CF:0.410937, Len:  4, Fitness_tra: 0
Rule 86: 1133, Class:  1, CF:0.452067, Len:  4, Fitness_tra: -1
Rule 87: 5000, Class:  1, CF:0.0315433, Len:  1, Fitness_tra: 0
Rule 88: 5300, Class:  1, CF:0.153846, Len:  2, Fitness_tra: -2
Rule 89: 4522, Class:  1, CF:0.30906, Len:  4, Fitness_tra: -21
Rule 90: 5505, Class:  1, CF:0.46699, Len:  3, Fitness_tra: -7
Rule 91: 1211, Class:  0, CF:0.08111, Len:  4, Fitness_tra: 0
Rule 92: 0500, Class:  0, CF:0.00214449, Len:  1, Fitness_tra: 1
Rule 93: 1511, Class:  0, CF:0.510922, Len:  4, Fitness_tra: 0
Rule 94: 2961, Class:  0, CF:0.989472, Len:  4, Fitness_tra: 9
Rule 95: 5302, Class:  1, CF:0.12025, Len:  3, Fitness_tra: 0
Rule 96: 7161, Class:  1, CF:0.163599, Len:  4, Fitness_tra: 0
Rule 97: 9500, Class:  0, CF:0.0558323, Len:  2, Fitness_tra: 0
Rule 98: 3134, Class:  1, CF:0.4106, Len:  4, Fitness_tra: -5
Rule 99: 5056, Class:  1, CF:0.23155, Len:  3, Fitness_tra: -1
Rule100: 1151, Class:  0, CF:0.509294, Len:  4, Fitness_tra: 12
------Current------
Miss_rate(tra)	:30.5506
------Result------
Miss_rate(tra)	:30.5506
Miss_rate(tst)	:43.5484
ARL				:3.38

------Generation 0------
Rule  1: 1191, Class:  0, CF:0.674618, Len:  4, Fitness_tra: 30
Rule  2: 1115, Class:  0, CF:0.441873, Len:  4, Fitness_tra: 29
Rule  3: 0304, Class:  0, CF:0.167246, Len:  2, Fitness_tra: 33
Rule  4: 2541, Class:  0, CF:0.775276, Len:  4, Fitness_tra: 37
Rule  5: 0206, Class:  0, CF:0.294279, Len:  2, Fitness_tra: 32
Rule  6: 2060, Class:  0, CF:0.287351, Len:  2, Fitness_tra: 27
Rule  7: 4030, Class:  0, CF:0.226775, Len:  2, Fitness_tra: 29
Rule  8: 0453, Class:  0, CF:0.391916, Len:  3, Fitness_tra: 20
Rule  9: 5043, Class:  0, CF:0.495872, Len:  3, Fitness_tra: 15
Rule 10: 2214, Class:  0, CF:0.447137, Len:  4, Fitness_tra: 14
Rule 11: 1151, Class:  0, CF:0.509294, Len:  4, Fitness_tra: 10
Rule 12: 0055, Class:  0, CF:0.0772071, Len:  2, Fitness_tra: 23
Rule 13: 9111, Class:  0, CF:0.600555, Len:  4, Fitness_tra: 13
Rule 14: 1511, Class:  0, CF:0.510922, Len:  4, Fitness_tra: 18
Rule 15: 2961, Class:  0, CF:0.989472, Len:  4, Fitness_tra: 8
