------Generation 0------
Rule  1: b431, Class:  0, CF:0.106236, Len:  4, Fitness_tra: 0
Rule  2: 5522, Class:  1, CF:0.487216, Len:  4, Fitness_tra: -12
Rule  3: 0050, Class:  0, CF:0.0190823, Len:  1, Fitness_tra: 0
Rule  4: 0504, Class:  0, CF:0.132692, Len:  2, Fitness_tra: 11
Rule  5: 9143, Class:  0, CF:0.49516, Len:  4, Fitness_tra: 7
Rule  6: 0050, Class:  0, CF:0.0190823, Len:  1, Fitness_tra: 0
Rule  7: 12b1, Class:  0, CF:0.256713, Len:  4, Fitness_tra: 0
Rule  8: 1114, Class:  1, CF:0.25234, Len:  4, Fitness_tra: -6
Rule  9: 5456, Class:  0, CF:0.478768, Len:  4, Fitness_tra: 8
Rule 10: 0400, Class:  0, CF:0.00477576, Len:  1, Fitness_tra: 0
Rule 11: 1225, Class:  0, CF:0.263366, Len:  4, Fitness_tra: 1
Rule 12: 1233, Class:  0, CF:0.582973, Len:  4, Fitness_tra: 6
Rule 13: 1111, Class:  1, CF:0.352757, Len:  4, Fitness_tra: 0
Rule 14: 2311, Class:  1, CF:0.110317, Len:  4, Fitness_tra: 0
Rule 15: 0500, Class:  0, CF:0.0307612, Len:  1, Fitness_tra: 0
Rule 16: 2311, Class:  1, CF:0.110317, Len:  4, Fitness_tra: 0
Rule 17: 0053, Class:  0, CF:0.00168634, Len:  2, Fitness_tra: 0
Rule 18: 2312, Class:  1, CF:0.295961, Len:  4, Fitness_tra: -5
Rule 19: 5121, Class:  1, CF:0.251754, Len:  4, Fitness_tra: 0
Rule 20: 1152, Class:  0, CF:0.865325, Len:  4, Fitness_tra: 14
Rule 21: 5621, Class:  1, CF:0.374268, Len:  4, Fitness_tra: -5
Rule 22: 2112, Class:  1, CF:0.169837, Len:  4, Fitness_tra: -1
Rule 23: 5131, Class:  0, CF:0.461027, Len:  4, Fitness_tra: 0
Rule 24: 3131, Class:  1, CF:0.527419, Len:  4, Fitness_tra: 0
Rule 25: 1136, Class:  1, CF:0.418258, Len:  4, Fitness_tra: 0
Rule 26: 5004, Class:  0, CF:0.131986, Len:  2, Fitness_tra: 18
Rule 27: 1511, Class:  0, CF:0.567313, Len:  4, Fitness_tra: 24
Rule 28: 2111, Class:  0, CF:0.0489758, Len:  4, Fitness_tra: 0
Rule 29: e312, Class:  1, CF:0.423077, Len:  4, Fitness_tra: -5
Rule 30: 3155, Class:  0, CF:  1, Len:  4, Fitness_tra: 2
Rule 31: 5004, Class:  0, CF:0.131986, Len:  2, Fitness_tra: 0
Rule 32: 1161, Class:  1, CF:0.447249, Len:  4, Fitness_tra: -1
Rule 33: 3411, Class:  1, CF:0.350441, Len:  4, Fitness_tra: -6
Rule 34: 3154, Class:  0, CF:0.927278, Len:  4, Fitness_tra: 13
Rule 35: 5045, Class:  1, CF:0.0921687, Len:  3, Fitness_tra: -1
Rule 36: 6161, Class:  1, CF:0.594028, Len:  4, Fitness_tra: -2
Rule 37: b313, Class:  1, CF:0.395474, Len:  4, Fitness_tra: -1
Rule 38: 7060, Class:  0, CF:0.0134207, Len:  2, Fitness_tra: 0
Rule 39: 5362, Class:  1, CF:0.57903, Len:  4, Fitness_tra: -3
Rule 40: 1131, Class:  1, CF:0.416647, Len:  4, Fitness_tra: 0
Rule 41: 0430, Class:  0, CF:0.118607, Len:  2, Fitness_tra: 0
Rule 42: 1225, Class:  0, CF:0.263366, Len:  4, Fitness_tra: 0
Rule 43: 4652, Class:  0, CF:0.960077, Len:  4, Fitness_tra: 8
Rule 44: 6055, Class:  0, CF:  1, Len:  3, Fitness_tra: 11
Rule 45: 5111, Class:  0, CF:0.379077, Len:  4, Fitness_tra: 1
Rule 46: 2060, Class:  0, CF:0.21006, Len:  2, Fitness_tra: 15
Rule 47: 0055, Class:  0, CF:0.132999, Len:  2, Fitness_tra: 5
Rule 48: 4430, Class:  0, CF:0.361872, Len:  3, Fitness_tra: 29
Rule 49: 0655, Class:  0, CF:  1, Len:  3, Fitness_tra: 17
Rule 50: 4255, Class:  0, CF:0.194928, Len:  4, Fitness_tra: 0
Rule 51: 1226, Class:  1, CF:0.00707366, Len:  4, Fitness_tra: 0
Rule 52: 4035, Class:  0, CF:0.261845, Len:  3, Fitness_tra: 12
Rule 53: 4121, Class:  1, CF:0.0671053, Len:  4, Fitness_tra: -1
Rule 54: f050, Class:  0, CF:0.685106, Len:  2, Fitness_tra: 26
Rule 55: 0556, Class:  0, CF:0.258941, Len:  3, Fitness_tra: 8
Rule 56: 2131, Class:  0, CF:0.157538, Len:  4, Fitness_tra: 0
Rule 57: 6095, Class:  0, CF:  1, Len:  3, Fitness_tra: 0
Rule 58: 1311, Class:  1, CF:0.420429, Len:  4, Fitness_tra: -3
Rule 59: 4111, Class:  1, CF:0.251229, Len:  4, Fitness_tra: -3
Rule 60: 1116, Class:  1, CF:0.415406, Len:  4, Fitness_tra: 1
Rule 61: 1122, Class:  0, CF:0.652391, Len:  4, Fitness_tra: 32
Rule 62: 3531, Class:  0, CF:0.563753, Len:  4, Fitness_tra: 0
Rule 63: 4443, Class:  0, CF:0.0590372, Len:  4, Fitness_tra: 0
Rule 64: 1432, Class:  1, CF:0.153675, Len:  4, Fitness_tra: 0
Rule 65: 1131, Class:  1, CF:0.416647, Len:  4, Fitness_tra: 0
Rule 66: 6162, Class:  1, CF:0.14684, Len:  4, Fitness_tra: 0
Rule 67: 1143, Class:  1, CF:0.376955, Len:  4, Fitness_tra: -7
Rule 68: 1111, Class:  1, CF:0.352757, Len:  4, Fitness_tra: 0
Rule 69: 3111, Class:  1, CF:0.40564, Len:  4, Fitness_tra: -1
Rule 70: 1511, Class:  0, CF:0.567313, Len:  4, Fitness_tra: 0
Rule 71: 6412, Class:  1, CF:0.100914, Len:  4, Fitness_tra: 0
Rule 72: e151, Class:  1, CF:0.50232, Len:  4, Fitness_tra: -6
Rule 73: 1211, Class:  0, CF:0.117492, Len:  4, Fitness_tra: 0
Rule 74: 2521, Class:  0, CF:0.251024, Len:  4, Fitness_tra: 19
Rule 75: 6231, Class:  1, CF:0.0215427, Len:  4, Fitness_tra: 0
Rule 76: 6020, Class:  0, CF:0.391927, Len:  2, Fitness_tra: 23
Rule 77: 3115, Class:  0, CF:0.478668, Len:  4, Fitness_tra: 14
Rule 78: 5141, Class:  0, CF:0.27569, Len:  4, Fitness_tra: 5
Rule 79: 1132, Class:  1, CF:0.111661, Len:  4, Fitness_tra: 0
Rule 80: 2161, Class:  0, CF:0.186748, Len:  4, Fitness_tra: 0
Rule 81: 3040, Class:  0, CF:0.181675, Len:  2, Fitness_tra: 4
Rule 82: 1461, Class:  1, CF:0.106838, Len:  4, Fitness_tra: 0
Rule 83: 5000, Class:  0, CF:0.0111601, Len:  1, Fitness_tra: 0
Rule 84: 4313, Class:  1, CF:0.339514, Len:  4, Fitness_tra: -2
Rule 85: 1531, Class:  0, CF:0.697959, Len:  4, Fitness_tra: 12
Rule 86: 0403, Class:  0, CF:0.106806, Len:  2, Fitness_tra: 11
Rule 87: 0002, Class:  0, CF:0.0015377, Len:  1, Fitness_tra: 0
Rule 88: 1612, Class:  0, CF:0.188891, Len:  4, Fitness_tra: 0
Rule 89: 1216, Class:  0, CF:0.237292, Len:  4, Fitness_tra: 0
Rule 90: 5000, Class:  0, CF:0.0111601, Len:  1, Fitness_tra: 0
Rule 91: 2500, Class:  0, CF:0.0487576, Len:  2, Fitness_tra: 0
Rule 92: 2564, Class:  0, CF:0.955723, Len:  4, Fitness_tra: 20
Rule 93: 0565, Class:  1, CF:0.212888, Len:  3, Fitness_tra: -2
Rule 94: 0500, Class:  0, CF:0.0307612, Len:  1, Fitness_tra: 0
Rule 95: 1152, Class:  0, CF:0.865325, Len:  4, Fitness_tra: 0
Rule 96: 0555, Class:  1, CF:0.395868, Len:  3, Fitness_tra: -13
Rule 97: 9113, Class:  0, CF:0.631545, Len:  4, Fitness_tra: 6
Rule 98: 1461, Class:  1, CF:0.106838, Len:  4, Fitness_tra: 0
Rule 99: 1162, Class:  1, CF:0.16204, Len:  4, Fitness_tra: 0
Rule100: 5163, Class:  0, CF:0.76162, Len:  4, Fitness_tra: 7
------Current------
Miss_rate(tra)	:22.9537
------Result------
Miss_rate(tra)	:22.9537
Miss_rate(tst)	:23.8095
ARL				:3.41

------Generation 0------
Rule  1: 1122, Class:  0, CF:0.652391, Len:  4, Fitness_tra: 32
Rule  2: 4430, Class:  0, CF:0.361872, Len:  3, Fitness_tra: 29
Rule  3: f050, Class:  0, CF:0.685106, Len:  2, Fitness_tra: 26
Rule  4: 1511, Class:  0, CF:0.567313, Len:  4, Fitness_tra: 18
Rule  5: 6020, Class:  0, CF:0.391927, Len:  2, Fitness_tra: 20
Rule  6: 2564, Class:  0, CF:0.955723, Len:  4, Fitness_tra: 20
Rule  7: 2521, Class:  0, CF:0.251024, Len:  4, Fitness_tra: 19
Rule  8: 5004, Class:  0, CF:0.131986, Len:  2, Fitness_tra: 20
Rule  9: 0655, Class:  0, CF:  1, Len:  3, Fitness_tra: 19
Rule 10: 2060, Class:  0, CF:0.21006, Len:  2, Fitness_tra: 16
Rule 11: 3115, Class:  0, CF:0.478668, Len:  4, Fitness_tra: 14
Rule 12: 1152, Class:  0, CF:0.865325, Len:  4, Fitness_tra: 15
Rule 13: 3154, Class:  0, CF:0.927278, Len:  4, Fitness_tra: 13
Rule 14: 1531, Class:  0, CF:0.697959, Len:  4, Fitness_tra: 12
