------Generation 0------
Rule  1: c131, Class:  1, CF:0.0464646, Len:  4, Fitness_tra: 0
Rule  2: 113b, Class:  1, CF:0.52738, Len:  4, Fitness_tra: -7
Rule  3: 1131, Class:  1, CF:0.49681, Len:  4, Fitness_tra: 0
Rule  4: 2025, Class:  1, CF:0.175265, Len:  3, Fitness_tra: -3
Rule  5: 1911, Class:  0, CF:0.638194, Len:  4, Fitness_tra: 7
Rule  6: 6115, Class:  0, CF:0.542077, Len:  4, Fitness_tra: 7
Rule  7: 2050, Class:  1, CF:0.110793, Len:  2, Fitness_tra: -8
Rule  8: 1122, Class:  0, CF:0.679359, Len:  4, Fitness_tra: 23
Rule  9: 1652, Class:  0, CF:0.982823, Len:  4, Fitness_tra: 10
Rule 10: 2111, Class:  0, CF:0.0479498, Len:  4, Fitness_tra: 0
Rule 11: 1611, Class:  1, CF:0.513496, Len:  4, Fitness_tra: -3
Rule 12: 0000, Class:  0, CF:3.33067e-16, Len:  0, Fitness_tra: 0
Rule 13: 1111, Class:  1, CF:0.418093, Len:  4, Fitness_tra: 0
Rule 14: 2331, Class:  1, CF:0.0715763, Len:  4, Fitness_tra: 0
Rule 15: 6611, Class:  1, CF:0.580008, Len:  4, Fitness_tra: -1
Rule 16: 3211, Class:  1, CF:0.0926372, Len:  4, Fitness_tra: 0
Rule 17: 1311, Class:  1, CF:0.50232, Len:  4, Fitness_tra: 0
Rule 18: 1f12, Class:  0, CF:0.221325, Len:  4, Fitness_tra: 0
Rule 19: 2144, Class:  0, CF:0.0219033, Len:  4, Fitness_tra: 0
Rule 20: 054f, Class:  0, CF:0.592447, Len:  3, Fitness_tra: 8
Rule 21: 4511, Class:  0, CF:0.833186, Len:  4, Fitness_tra: 19
Rule 22: 2113, Class:  0, CF:0.150333, Len:  4, Fitness_tra: 0
Rule 23: 7511, Class:  0, CF:0.787591, Len:  4, Fitness_tra: 14
Rule 24: 3112, Class:  0, CF:0.10412, Len:  4, Fitness_tra: 0
Rule 25: 0502, Class:  1, CF:0.0790596, Len:  2, Fitness_tra: 0
Rule 26: 1111, Class:  1, CF:0.418093, Len:  4, Fitness_tra: 0
Rule 27: 4133, Class:  0, CF:0.113924, Len:  4, Fitness_tra: 0
Rule 28: 1111, Class:  1, CF:0.418093, Len:  4, Fitness_tra: 0
