------Generation 0------
Rule  1: 2111d2171, Class:  0, CF:0.944633, Len:  9, Fitness_tra: 0
Rule  2: 85151bc77, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 1195d2841, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 157d17122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: c51c17524, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 1532118b1, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule  9: 129154c77, Class:  0, CF:0.603935, Len:  9, Fitness_tra: 0
Rule 10: c165d1c77, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 11: 41e53114b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 000480000, Class:  0, CF:0.242897, Len:  2, Fitness_tra: -43
Rule 13: 21e422cb4, Class:  1, CF:0.493001, Len:  9, Fitness_tra: 0
Rule 14: 8865d282b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 000090000, Class:  0, CF:  1, Len:  1, Fitness_tra: 4
Rule 16: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 4231128b4, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 18: 111111212, Class:  0, CF:0.050602, Len:  9, Fitness_tra: 0
Rule 19: 15111b1b1, Class:  0, CF:0.881748, Len:  9, Fitness_tra: 0
Rule 20: 48e552c2b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 292937212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 1138d1c2b, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 24: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 183c92c17, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 822131121, Class:  0, CF:0.849224, Len:  9, Fitness_tra: 0
Rule 28: c26852811, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 29: 1162d7527, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 156c22144, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 31: d52252571, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 28e1d224b, Class:  0, CF:0.108443, Len:  9, Fitness_tra: 0
Rule 33: 414111117, Class:  1, CF:0.183137, Len:  9, Fitness_tra: 0
Rule 34: 000400000, Class:  0, CF:0.0420826, Len:  1, Fitness_tra: -7
Rule 35: c19114824, Class:  1, CF:  1, Len:  9, Fitness_tra: 0
Rule 36: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 8191222b7, Class:  1, CF:  1, Len:  9, Fitness_tra: 0
Rule 38: 151152c74, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 39: 851111217, Class:  0, CF:0.163015, Len:  9, Fitness_tra: 0
Rule 40: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: c1e5d11b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 000000c00, Class:  1, CF:0.0349821, Len:  1, Fitness_tra: -5
Rule 43: 281132c72, Class:  1, CF:0.273835, Len:  9, Fitness_tra: 0
Rule 44: 000000500, Class:  0, CF:  1, Len:  1, Fitness_tra: 10
Rule 45: 000020000, Class:  0, CF:0.0637714, Len:  1, Fitness_tra: -26
Rule 46: 21b137112, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 47: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 21e19217b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 219211cbb, Class:  1, CF:0.801487, Len:  9, Fitness_tra: 0
Rule 51: 551481cb2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 8515d417b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: c59c54122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 15e517121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 219827171, Class:  0, CF:0.998892, Len:  9, Fitness_tra: 0
Rule 58: c5e551c47, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 28e23257b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 15318212b, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 63: 283851872, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 64: 000800d04, Class:  0, CF:  1, Len:  3, Fitness_tra: 0
Rule 65: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 18e197124, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 211112574, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: c86112547, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 112251511, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 73: c83cd4247, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 88e8911b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 1d1111114, Class:  0, CF:0.286374, Len:  9, Fitness_tra: 0
Rule 76: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: c81191c22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 8c3114817, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 80: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 000500000, Class:  0, CF:  1, Len:  1, Fitness_tra: 18
Rule 82: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 29435114b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 221c9452b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 2d6112142, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 86: 554212127, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 213231844, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 88: 000480000, Class:  0, CF:0.242897, Len:  2, Fitness_tra: 0
Rule 89: 0000d0400, Class:  0, CF:0.715275, Len:  2, Fitness_tra: 33
Rule 90: 0c0090000, Class:  0, CF:  1, Len:  2, Fitness_tra: 0
Rule 91: c13837177, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 92: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 211157822, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 94: 12651b522, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 0d0020000, Class:  0, CF:0.792312, Len:  2, Fitness_tra: 6
Rule 96: 151c51872, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 97: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 153cd1227, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 99: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: cc68d184b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:5.89888
------Result------
Miss_rate(tra)	:5.89888
Miss_rate(tst)	:10
ARL				:4.51429

------Generation 0------
Rule  1: 2111d2171, Class:  0, CF:0.944633, Len:  9, Fitness_tra: 0
Rule  2: 85151bc77, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 1195d2841, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 157d17122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: c51c17524, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 1532118b1, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule  9: 129154c77, Class:  0, CF:0.603935, Len:  9, Fitness_tra: 0
Rule 10: c165d1c77, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 11: 41e53114b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 000480000, Class:  0, CF:0.242897, Len:  2, Fitness_tra: -43
Rule 13: 21e422cb4, Class:  1, CF:0.493001, Len:  9, Fitness_tra: 0
Rule 14: 8865d282b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 000090000, Class:  0, CF:  1, Len:  1, Fitness_tra: 4
Rule 16: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 4231128b4, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 18: 111111212, Class:  0, CF:0.050602, Len:  9, Fitness_tra: 0
Rule 19: 15111b1b1, Class:  0, CF:0.881748, Len:  9, Fitness_tra: 0
Rule 20: 48e552c2b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
