------Generation 0------
Rule  1: 516b81d2b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 2818d2527, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: c538d48b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 11e88221b, Class:  0, CF:0.950852, Len:  9, Fitness_tra: 0
Rule  6: 159551211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 15185b2b7, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule  8: 2515142b1, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule  9: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 8d118212c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 005030000, Class:  1, CF:0.201445, Len:  2, Fitness_tra: 0
Rule 13: 11311b811, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 14: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 1155d1124, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 451c1b142, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 20: 88e25bc77, Class:  1, CF:  1, Len:  9, Fitness_tra: 0
Rule 21: 11381b121, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 22: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 5152d1271, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 21651bc72, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 25: 41e8972b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 55911b147, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 1815d4212, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 28: 111112111, Class:  0, CF:0.129903, Len:  9, Fitness_tra: 0
Rule 29: 41e1112b2, Class:  1, CF:0.665542, Len:  9, Fitness_tra: 0
Rule 30: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 2532db121, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 32: d8e114db2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: c11251171, Class:  0, CF:0.987951, Len:  9, Fitness_tra: 0
Rule 34: 129c542b7, Class:  0, CF:0.993589, Len:  9, Fitness_tra: 0
Rule 35: 183c51822, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 36: c591d4247, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 1162871b2, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 38: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 42ec14172, Class:  0, CF:0.95304, Len:  9, Fitness_tra: 0
Rule 40: 1131d1574, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: c13191c47, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 515812571, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 85293411b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 000090000, Class:  0, CF:  1, Len:  1, Fitness_tra: 8
Rule 45: c1351127b, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 46: 81e55bcb4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 21e2178bb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 009000000, Class:  1, CF:0.193103, Len:  1, Fitness_tra: 16
Rule 49: 816c57122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 8115145b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 1d11121b2, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 54: cc6252248, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 0d0000000, Class:  0, CF:0.81004, Len:  1, Fitness_tra: 23
