------Generation 0------
Rule  1: 18e197c71, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 552154941, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 111251321, Class:  0, CF:0.999764, Len:  9, Fitness_tra: 0
Rule  4: 113224c78, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule  5: 813427142, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule  6: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 81e112824, Class:  1, CF:  1, Len:  9, Fitness_tra: 0
Rule  8: 85e21422b, Class:  1, CF:  1, Len:  9, Fitness_tra: 0
Rule  9: 151512841, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 10: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 111111111, Class:  1, CF:0.0484977, Len:  9, Fitness_tra: -6
Rule 12: 82e254c42, Class:  1, CF:  1, Len:  9, Fitness_tra: 0
Rule 13: c57917524, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 15315b5b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: c561328b8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 213221171, Class:  0, CF:  1, Len:  9, Fitness_tra: 1
Rule 19: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 21e154278, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 117d1b551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: d51c1787c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 51e2118b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 121554212, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 26: 006000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 43
Rule 27: 85613b577, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: d1ec17121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
