------Generation 0------
Rule  1: b143118c12911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 152d1181133e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 394155d52111d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 6111115521de8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 19f2311111945, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: b1b9d19c51151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 397815351d121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 1113258153158, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule  9: b718ed14c13e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 00004c00a0040, Class:  0, CF:  1, Len:  4, Fitness_tra: 1
Rule 11: 6141555111118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 4119919411298, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 1225d91215355, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: f118e211135d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 3f631c2d23529, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: feb1932111911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: aa62151912216, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 18: 314d2d995151c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 416dc29598113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 4241529115155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 354191d195152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 7519551251e15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: f51181311121a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 334553d12d158, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: f17155dc51d15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 7261259119125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 27bc51115e1f3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
