------Generation 0------
Rule  1: b221ff471b, Class:  4, CF:0.999928, Len: 10, Fitness_tra: 24
Rule  2: b127c57742, Class:  2, CF:0.992825, Len: 10, Fitness_tra: 0
Rule  3: b2211f7774, Class:  4, CF:0.999999, Len: 10, Fitness_tra: 132
Rule  4: 1142512112, Class:  2, CF:0.160202, Len: 10, Fitness_tra: -6
Rule  5: 271b71b272, Class:  2, CF:0.708135, Len: 10, Fitness_tra: 0
Rule  6: b7b76a2414, Class:  4, CF:0.998399, Len: 10, Fitness_tra: 0
Rule  7: 72b228b1b2, Class:  2, CF:0.645646, Len: 10, Fitness_tra: 0
Rule  8: 11b1c514b4, Class:  2, CF:0.983378, Len: 10, Fitness_tra: -144
Rule  9: 777b614b41, Class:  4, CF:0.997515, Len: 10, Fitness_tra: -17
Rule 10: b57412421b, Class:  2, CF:0.710047, Len: 10, Fitness_tra: 6
Rule 11: 2b221324b1, Class:  4, CF:0.888256, Len: 10, Fitness_tra: 0
Rule 12: 4d148e2444, Class:  2, CF:0.669272, Len: 10, Fitness_tra: 0
Rule 13: b7b191b24b, Class:  2, CF:0.999954, Len: 10, Fitness_tra: 24
Rule 14: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 424213b247, Class:  2, CF:0.00936362, Len: 10, Fitness_tra: 0
Rule 16: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 274766272b, Class:  4, CF:0.999951, Len: 10, Fitness_tra: 0
Rule 18: 7177334474, Class:  4, CF:0.984185, Len: 10, Fitness_tra: 0
Rule 19: 271bf617b2, Class:  4, CF:0.999814, Len: 10, Fitness_tra: 287
Rule 20: 18122d47b7, Class:  1, CF:0.485616, Len: 10, Fitness_tra: 175
Rule 21: 422b2b1bb4, Class:  4, CF:0.992626, Len: 10, Fitness_tra: 92
Rule 22: 4cc7132882, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 23: 1244314181, Class:  2, CF:0.905802, Len: 10, Fitness_tra: 7
Rule 24: b741437b44, Class:  4, CF:0.903722, Len: 10, Fitness_tra: 30
Rule 25: 277263b242, Class:  4, CF:0.998636, Len: 10, Fitness_tra: 0
Rule 26: 42214174b2, Class:  4, CF:0.0627519, Len: 10, Fitness_tra: -1
Rule 27: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: c8cb512584, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 221b192727, Class:  2, CF:0.441717, Len: 10, Fitness_tra: 0
Rule 30: b171214bbb, Class:  2, CF:0.295313, Len: 10, Fitness_tra: 127
Rule 31: 2272184727, Class:  2, CF:0.894163, Len: 10, Fitness_tra: 0
Rule 32: 2124ef7744, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 184bc9b71b, Class:  0, CF:0.553924, Len: 10, Fitness_tra: 0
Rule 34: 118b112112, Class:  4, CF:0.802143, Len: 10, Fitness_tra: 2
Rule 35: 474b1322b7, Class:  4, CF:0.965929, Len: 10, Fitness_tra: 0
Rule 36: 44215db111, Class:  2, CF:0.977582, Len: 10, Fitness_tra: -1035
Rule 37: 127223172b, Class:  4, CF:0.817418, Len: 10, Fitness_tra: -108
Rule 38: 0080500000, Class:  2, CF:  1, Len:  2, Fitness_tra: 31
Rule 39: 717b132b72, Class:  4, CF:0.99319, Len: 10, Fitness_tra: 0
Rule 40: b7b41f72b7, Class:  4, CF:0.999853, Len: 10, Fitness_tra: 0
Rule 41: b742717114, Class:  2, CF:0.200714, Len: 10, Fitness_tra: -154
Rule 42: b175117411, Class:  1, CF:0.999912, Len: 10, Fitness_tra: -1
Rule 43: 1172bc77b7, Class:  2, CF:0.131169, Len: 10, Fitness_tra: 0
Rule 44: 1714817722, Class:  2, CF:0.957862, Len: 10, Fitness_tra: -18
Rule 45: 7214f17144, Class:  4, CF:0.996445, Len: 10, Fitness_tra: 552
Rule 46: 1541d572bb, Class:  1, CF:0.547106, Len: 10, Fitness_tra: 4
