------Generation 0------
Rule  1: 214b81b1d1, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule  2: 211b1122c3, Class:  2, CF:0.769625, Len: 10, Fitness_tra: 0
Rule  3: 27b45e411b, Class:  2, CF:0.673238, Len: 10, Fitness_tra: 0
Rule  4: 77221d4777, Class:  2, CF:0.80902, Len: 10, Fitness_tra: 0
Rule  5: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: c1512141c8, Class:  4, CF:  1, Len: 10, Fitness_tra: 1
Rule  7: b1b78a2b24, Class:  4, CF:0.951677, Len: 10, Fitness_tra: 0
Rule  8: 7b7b832741, Class:  2, CF:0.925789, Len: 10, Fitness_tra: 0
Rule  9: 2b1211421b, Class:  2, CF:0.494083, Len: 10, Fitness_tra: 0
Rule 10: 7114367b11, Class:  4, CF:0.946659, Len: 10, Fitness_tra: -51
Rule 11: 4b441e1b14, Class:  2, CF:0.962038, Len: 10, Fitness_tra: -80
Rule 12: 27b726bb77, Class:  4, CF:0.999074, Len: 10, Fitness_tra: 0
Rule 13: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 21473f1214, Class:  4, CF:0.999931, Len: 10, Fitness_tra: 8
Rule 15: 274b127121, Class:  2, CF:0.478629, Len: 10, Fitness_tra: 0
Rule 16: 431b482417, Class:  2, CF:0.982774, Len: 10, Fitness_tra: 0
Rule 17: 7871d14472, Class:  2, CF:0.986399, Len: 10, Fitness_tra: 0
Rule 18: 1e14c1724c, Class:  2, CF:0.999981, Len: 10, Fitness_tra: 0
Rule 19: 7212284774, Class:  2, CF:0.368574, Len: 10, Fitness_tra: 0
Rule 20: b1441f1212, Class:  4, CF:0.999977, Len: 10, Fitness_tra: 74
Rule 21: b24448bb12, Class:  2, CF:0.270578, Len: 10, Fitness_tra: 0
Rule 22: 1bbb114bb7, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: b114511722, Class:  2, CF:0.984522, Len: 10, Fitness_tra: 0
Rule 24: 2a9452ba1d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 2e51814a35, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 2b728a2272, Class:  4, CF:0.989721, Len: 10, Fitness_tra: 0
Rule 27: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: b71b664bb2, Class:  4, CF:0.999881, Len: 10, Fitness_tra: 0
Rule 29: 41721121b1, Class:  4, CF:0.564216, Len: 10, Fitness_tra: -5
Rule 30: 454c16171b, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 31: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 4442c92277, Class:  2, CF:0.9151, Len: 10, Fitness_tra: 0
Rule 33: 147272411b, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 4c1251214c, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 35: 41b45fbb42, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 1721aa7b27, Class:  4, CF:0.999949, Len: 10, Fitness_tra: 5
Rule 37: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 24b4812271, Class:  2, CF:0.807242, Len: 10, Fitness_tra: 0
Rule 39: 2724ffb1b1, Class:  4, CF:0.997419, Len: 10, Fitness_tra: 0
Rule 40: 1121c3bb42, Class:  2, CF:0.822787, Len: 10, Fitness_tra: -1
Rule 41: 424b9347bb, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 42: 44b4752244, Class:  2, CF:0.866151, Len: 10, Fitness_tra: 0
Rule 43: 2217cc274b, Class:  2, CF:0.87194, Len: 10, Fitness_tra: 0
Rule 44: 4712161727, Class:  4, CF:0.997665, Len: 10, Fitness_tra: 0
Rule 45: 17241a4421, Class:  4, CF:0.998576, Len: 10, Fitness_tra: 0
Rule 46: 274231b74b, Class:  4, CF:0.84283, Len: 10, Fitness_tra: 0
Rule 47: 7cb4b41277, Class:  4, CF:0.711412, Len: 10, Fitness_tra: 0
Rule 48: 7747ff2221, Class:  4, CF:0.999833, Len: 10, Fitness_tra: 0
Rule 49: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 0000d00000, Class:  1, CF:0.102255, Len:  1, Fitness_tra: 453
Rule 51: 1224fa172b, Class:  4, CF:0.999911, Len: 10, Fitness_tra: 0
Rule 52: 142421b242, Class:  2, CF:0.795485, Len: 10, Fitness_tra: -2
Rule 53: 4727482727, Class:  2, CF:0.931614, Len: 10, Fitness_tra: 0
Rule 54: b471c32247, Class:  2, CF:0.99274, Len: 10, Fitness_tra: 0
Rule 55: b742512241, Class:  2, CF:0.979765, Len: 10, Fitness_tra: 0
Rule 56: 7b411e1244, Class:  2, CF:0.999436, Len: 10, Fitness_tra: 193
Rule 57: 71772e4142, Class:  2, CF:0.973835, Len: 10, Fitness_tra: 0
Rule 58: 72b7e61b27, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 111241b281, Class:  2, CF:0.992127, Len: 10, Fitness_tra: 0
Rule 60: 17746a444b, Class:  4, CF:0.999898, Len: 10, Fitness_tra: 0
Rule 61: be11531b2c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 41b21e2827, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 63: 4b74194147, Class:  2, CF:0.993975, Len: 10, Fitness_tra: 0
Rule 64: 1b14d1b71b, Class:  2, CF:0.742992, Len: 10, Fitness_tra: 0
Rule 65: 1b421f22b7, Class:  4, CF:0.99996, Len: 10, Fitness_tra: 0
Rule 66: 1124891411, Class:  2, CF:0.447792, Len: 10, Fitness_tra: -762
Rule 67: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 4122427442, Class:  2, CF:0.949781, Len: 10, Fitness_tra: 0
Rule 69: 744bd17227, Class:  2, CF:0.998865, Len: 10, Fitness_tra: 0
Rule 70: 7b72212111, Class:  2, CF:0.559563, Len: 10, Fitness_tra: -218
Rule 71: 74b4194142, Class:  2, CF:0.9499, Len: 10, Fitness_tra: 0
Rule 72: 7c4711b227, Class:  2, CF:0.594976, Len: 10, Fitness_tra: 0
Rule 73: 12b74c414b, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 2242511412, Class:  2, CF:0.976166, Len: 10, Fitness_tra: 0
Rule 75: 1c4bc11124, Class:  2, CF:0.828937, Len: 10, Fitness_tra: -65
Rule 76: 417763144b, Class:  4, CF:0.998014, Len: 10, Fitness_tra: 0
Rule 77: 4212111582, Class:  2, CF:  1, Len: 10, Fitness_tra: 1
Rule 78: 1247421211, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 2412bc1717, Class:  4, CF:0.54473, Len: 10, Fitness_tra: -20
Rule 80: 742b597171, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 277b6ab7b7, Class:  4, CF:0.999976, Len: 10, Fitness_tra: 0
Rule 82: 141416225d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 11723677b7, Class:  4, CF:0.999611, Len: 10, Fitness_tra: 0
Rule 84: 2545617472, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: b2278a14b1, Class:  4, CF:0.790676, Len: 10, Fitness_tra: 0
Rule 86: 1772361bb1, Class:  4, CF:0.997021, Len: 10, Fitness_tra: 23
Rule 87: 42213f4727, Class:  4, CF:0.999996, Len: 10, Fitness_tra: 1
Rule 88: b1144c1224, Class:  2, CF:0.902849, Len: 10, Fitness_tra: 72
Rule 89: 7c41211221, Class:  2, CF:0.802222, Len: 10, Fitness_tra: 59
