------Generation 0------
Rule  1: b3122844bb, Class:  2, CF:0.9807, Len: 10, Fitness_tra: 0
Rule  2: 72b4137224, Class:  4, CF:0.131125, Len: 10, Fitness_tra: 0
Rule  3: 1c48f34274, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 14178e24b4, Class:  1, CF:0.308345, Len: 10, Fitness_tra: 50
Rule  5: 192b1b7741, Class:  4, CF:0.80798, Len: 10, Fitness_tra: 0
Rule  6: 7412d1142b, Class:  2, CF:0.958757, Len: 10, Fitness_tra: 2
Rule  7: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: b1b71917b7, Class:  2, CF:0.724766, Len: 10, Fitness_tra: 71
Rule  9: 412b112515, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 10: 4274fa17b2, Class:  4, CF:0.999922, Len: 10, Fitness_tra: 28
Rule 11: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 2121aabb21, Class:  4, CF:0.990219, Len: 10, Fitness_tra: 39
Rule 13: 274b152174, Class:  2, CF:0.651376, Len: 10, Fitness_tra: 0
Rule 14: b24451271b, Class:  1, CF:0.888504, Len: 10, Fitness_tra: 1
Rule 15: 7b1229bb47, Class:  2, CF:0.955928, Len: 10, Fitness_tra: 0
Rule 16: 124b117242, Class:  2, CF:0.743134, Len: 10, Fitness_tra: 1
Rule 17: 427729b1b4, Class:  1, CF:0.438537, Len: 10, Fitness_tra: 0
Rule 18: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 117281b418, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 20: 4b221f4414, Class:  4, CF:0.998869, Len: 10, Fitness_tra: 0
Rule 21: 41721e1441, Class:  2, CF:0.930973, Len: 10, Fitness_tra: -1
Rule 22: 772b5341b1, Class:  2, CF:0.994541, Len: 10, Fitness_tra: 0
Rule 23: 2147481121, Class:  2, CF:0.600525, Len: 10, Fitness_tra: -22
Rule 24: b211137174, Class:  4, CF:0.860824, Len: 10, Fitness_tra: 285
Rule 25: 2c718e7b22, Class:  2, CF:0.982035, Len: 10, Fitness_tra: 0
Rule 26: bbb4a3727b, Class:  4, CF:0.999943, Len: 10, Fitness_tra: 0
Rule 27: 1142314717, Class:  4, CF:0.576046, Len: 10, Fitness_tra: 0
Rule 28: 2217234c1e, Class:  4, CF:  1, Len: 10, Fitness_tra: 0
Rule 29: 177148472b, Class:  2, CF:0.765743, Len: 10, Fitness_tra: 59
Rule 30: 77b2214bb7, Class:  2, CF:0.0210542, Len: 10, Fitness_tra: 0
Rule 31: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 24228327b7, Class:  2, CF:0.879491, Len: 10, Fitness_tra: 0
Rule 33: 742b2e2bb1, Class:  1, CF:0.701862, Len: 10, Fitness_tra: 2
Rule 34: 7c71127247, Class:  2, CF:0.802054, Len: 10, Fitness_tra: 110
Rule 35: 221755b144, Class:  1, CF:0.266755, Len: 10, Fitness_tra: 0
Rule 36: 12745e4444, Class:  1, CF:0.548726, Len: 10, Fitness_tra: 18
Rule 37: 72728eb22b, Class:  2, CF:0.949395, Len: 10, Fitness_tra: 0
Rule 38: c000c00000, Class:  3, CF:0.977052, Len:  2, Fitness_tra: 37
Rule 39: b32d1d7bb2, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 40: 7cbbc14774, Class:  2, CF:0.905573, Len: 10, Fitness_tra: 0
Rule 41: c33441b241, Class:  4, CF:0.188094, Len: 10, Fitness_tra: 0
Rule 42: 73b111b711, Class:  2, CF:0.379252, Len: 10, Fitness_tra: -204
Rule 43: 142b33bb24, Class:  4, CF:0.939605, Len: 10, Fitness_tra: 1
Rule 44: 411783bb72, Class:  2, CF:0.923747, Len: 10, Fitness_tra: 0
Rule 45: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 72143f7444, Class:  4, CF:0.999883, Len: 10, Fitness_tra: 0
Rule 47: 1222281b72, Class:  4, CF:0.303958, Len: 10, Fitness_tra: -18
Rule 48: 7b1bfa7127, Class:  4, CF:0.992873, Len: 10, Fitness_tra: 0
Rule 49: 1b1b15127b, Class:  2, CF:0.675976, Len: 10, Fitness_tra: -3710
Rule 50: 81abb1b11a, Class:  3, CF:0.994259, Len: 10, Fitness_tra: 14
Rule 51: 1117114121, Class:  1, CF:0.0953816, Len: 10, Fitness_tra: -781
Rule 52: 44b7117712, Class:  4, CF:0.460424, Len: 10, Fitness_tra: 0
Rule 53: b547212722, Class:  2, CF:0.141355, Len: 10, Fitness_tra: 0
Rule 54: 24b25c7741, Class:  2, CF:0.752153, Len: 10, Fitness_tra: 0
Rule 55: 1c4c6117bb, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 56: 14b4c91421, Class:  2, CF:0.745008, Len: 10, Fitness_tra: -63
Rule 57: 2412214122, Class:  2, CF:0.550194, Len: 10, Fitness_tra: 0
Rule 58: 141b471bbb, Class:  4, CF:0.463661, Len: 10, Fitness_tra: -433
Rule 59: 712e6fb224, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 2eb12114b4, Class:  2, CF:0.112288, Len: 10, Fitness_tra: 4
Rule 62: 71b42342bb, Class:  4, CF:0.411232, Len: 10, Fitness_tra: 0
Rule 63: 2b27af1b44, Class:  4, CF:0.999969, Len: 10, Fitness_tra: 15
Rule 64: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 1417312171, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 4cb472171b, Class:  4, CF:0.484836, Len: 10, Fitness_tra: -47
Rule 68: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 712b61b724, Class:  4, CF:0.986232, Len: 10, Fitness_tra: 1
Rule 70: 1d24221244, Class:  2, CF:0.836311, Len: 10, Fitness_tra: 206
Rule 71: bb121e774b, Class:  2, CF:0.974992, Len: 10, Fitness_tra: 0
Rule 72: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 152b53b318, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 1c27454bbb, Class:  4, CF:0.216198, Len: 10, Fitness_tra: 0
Rule 75: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: c1eb174121, Class:  4, CF:  1, Len: 10, Fitness_tra: 0
Rule 77: 1447557422, Class:  2, CF:0.81887, Len: 10, Fitness_tra: 0
Rule 78: 45271e114b, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 1224122422, Class:  2, CF:0.774698, Len: 10, Fitness_tra: -1
Rule 80: 2c1b362111, Class:  1, CF:0.355421, Len: 10, Fitness_tra: 44
Rule 81: bbb4a17272, Class:  4, CF:0.999829, Len: 10, Fitness_tra: 0
Rule 82: b74b934742, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 83: bb72c6424b, Class:  2, CF:0.930145, Len: 10, Fitness_tra: 0
