------Generation 0------
Rule  1: 18c2da7915, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 7318594214, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule  3: 1771b22114, Class:  2, CF:0.579334, Len: 10, Fitness_tra: -3874
Rule  4: 124b56b113, Class:  3, CF:0.957191, Len: 10, Fitness_tra: -1
Rule  5: 2714291b11, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 281486b215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 42b2517227, Class:  2, CF:0.978988, Len: 10, Fitness_tra: 0
Rule  8: 41b213b21b, Class:  4, CF:0.571931, Len: 10, Fitness_tra: 0
Rule  9: 142b254b42, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 777b194441, Class:  2, CF:0.985048, Len: 10, Fitness_tra: 0
Rule 12: 4227d3b275, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 13: 43215d4224, Class:  2, CF:0.999947, Len: 10, Fitness_tra: 3
Rule 14: 42128122b2, Class:  2, CF:0.334271, Len: 10, Fitness_tra: 0
Rule 15: 44279117b1, Class:  1, CF:0.066749, Len: 10, Fitness_tra: 0
Rule 16: b441d52b17, Class:  2, CF:0.920786, Len: 10, Fitness_tra: -44
Rule 17: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 79b71b721b, Class:  4, CF:0.330683, Len: 10, Fitness_tra: 0
Rule 19: b212154421, Class:  2, CF:0.300906, Len: 10, Fitness_tra: -4
Rule 20: 2174512b47, Class:  2, CF:0.912952, Len: 10, Fitness_tra: 0
Rule 21: 471b717222, Class:  2, CF:0.923138, Len: 10, Fitness_tra: 0
Rule 22: 7c746fbb4b, Class:  4, CF:0.999858, Len: 10, Fitness_tra: 0
Rule 23: bc2bc14274, Class:  2, CF:0.974656, Len: 10, Fitness_tra: 0
Rule 24: 714bb47221, Class:  2, CF:0.938928, Len: 10, Fitness_tra: 7
Rule 25: 2111111e31, Class:  2, CF:  1, Len: 10, Fitness_tra: 15
Rule 26: 4c2721bbb2, Class:  4, CF:0.484795, Len: 10, Fitness_tra: 0
Rule 27: 7b771874b7, Class:  2, CF:0.995043, Len: 10, Fitness_tra: 0
Rule 28: 251731b112, Class:  4, CF:0.770064, Len: 10, Fitness_tra: 1
Rule 29: 2817cdbb41, Class:  1, CF:0.620952, Len: 10, Fitness_tra: 8
Rule 30: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 241716b711, Class:  4, CF:0.865242, Len: 10, Fitness_tra: -47
Rule 32: 18483644b4, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 33: 122b5142b2, Class:  1, CF:0.480579, Len: 10, Fitness_tra: 0
Rule 34: 2b22597114, Class:  2, CF:0.934216, Len: 10, Fitness_tra: -1
Rule 35: b271314bb7, Class:  4, CF:0.797224, Len: 10, Fitness_tra: 15
Rule 36: 4112167e1d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 2844142774, Class:  4, CF:0.526327, Len: 10, Fitness_tra: 0
Rule 38: 4224bdb474, Class:  4, CF:0.370488, Len: 10, Fitness_tra: 0
Rule 39: 11b4897224, Class:  2, CF:0.968601, Len: 10, Fitness_tra: -77
Rule 40: 2722ce2722, Class:  2, CF:0.998666, Len: 10, Fitness_tra: 0
Rule 41: 4274557b12, Class:  1, CF:0.143365, Len: 10, Fitness_tra: 0
Rule 42: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 42b4364747, Class:  4, CF:0.999856, Len: 10, Fitness_tra: 0
Rule 44: 1227317211, Class:  4, CF:0.286625, Len: 10, Fitness_tra: -4
Rule 45: 777b3f1712, Class:  4, CF:0.999729, Len: 10, Fitness_tra: 1
Rule 46: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 12141314b7, Class:  4, CF:0.886482, Len: 10, Fitness_tra: 15
Rule 48: 4772582bb7, Class:  2, CF:0.894728, Len: 10, Fitness_tra: 0
Rule 49: 2227481127, Class:  2, CF:0.567031, Len: 10, Fitness_tra: 7
Rule 50: 77718f122b, Class:  3, CF:  1, Len: 10, Fitness_tra: 2
Rule 51: 72b4317b72, Class:  4, CF:0.90815, Len: 10, Fitness_tra: 2
Rule 52: b2b11ab7b2, Class:  4, CF:0.999984, Len: 10, Fitness_tra: 0
Rule 53: 12714142b1, Class:  2, CF:0.507591, Len: 10, Fitness_tra: -350
Rule 54: 19c48971c1, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 55: 1411967b71, Class:  3, CF:  1, Len: 10, Fitness_tra: 1
Rule 56: 257c3f22b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
