------Generation 0------
Rule  1: 222b361171, Class:  4, CF:0.998612, Len: 10, Fitness_tra: 240
Rule  2: bb741214bb, Class:  2, CF:0.702697, Len: 10, Fitness_tra: -27
Rule  3: 1277232711, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 11bc3f2742, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 7111c174b7, Class:  2, CF:0.990893, Len: 10, Fitness_tra: 757
Rule  6: 12b7c141b7, Class:  2, CF:0.101866, Len: 10, Fitness_tra: -26
Rule  7: 1b71114772, Class:  2, CF:0.672782, Len: 10, Fitness_tra: -4
Rule  8: 214113b4b4, Class:  4, CF:0.930276, Len: 10, Fitness_tra: -13
Rule  9: 21bb934824, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 4114411421, Class:  2, CF:0.776172, Len: 10, Fitness_tra: -4527
Rule 11: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 74b2534714, Class:  2, CF:0.999645, Len: 10, Fitness_tra: 0
Rule 13: 12b2af7b1b, Class:  4, CF:0.990962, Len: 10, Fitness_tra: 0
Rule 14: 1812497b27, Class:  1, CF:0.108639, Len: 10, Fitness_tra: 11
Rule 15: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: b34823411b, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 17: 72b4417777, Class:  2, CF:0.338141, Len: 10, Fitness_tra: 0
Rule 18: 4d141e7712, Class:  1, CF:0.0887258, Len: 10, Fitness_tra: 0
Rule 19: bab1214712, Class:  2, CF:0.946731, Len: 10, Fitness_tra: -36
Rule 20: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 2177c21b72, Class:  2, CF:0.84995, Len: 10, Fitness_tra: -2
Rule 22: 187b4dbbb4, Class:  4, CF:0.192168, Len: 10, Fitness_tra: 0
Rule 23: b71113b277, Class:  4, CF:0.624946, Len: 10, Fitness_tra: 15
Rule 24: 1222e11912, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 25: 712b131474, Class:  4, CF:0.982423, Len: 10, Fitness_tra: 109
Rule 26: 1224831471, Class:  2, CF:0.844944, Len: 10, Fitness_tra: 0
Rule 27: 44b46f21b2, Class:  4, CF:0.999559, Len: 10, Fitness_tra: 0
Rule 28: 44713ab127, Class:  4, CF:0.999858, Len: 10, Fitness_tra: 3
Rule 29: c77bd37221, Class:  3, CF:  1, Len: 10, Fitness_tra: 0
Rule 30: b42b234172, Class:  4, CF:0.858524, Len: 10, Fitness_tra: 0
Rule 31: 7712211242, Class:  2, CF:0.860929, Len: 10, Fitness_tra: 0
Rule 32: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 22b15e7712, Class:  2, CF:0.920635, Len: 10, Fitness_tra: -10
Rule 34: 77bb721471, Class:  2, CF:0.57461, Len: 10, Fitness_tra: -422
Rule 35: 271bbc77b1, Class:  2, CF:0.433605, Len: 10, Fitness_tra: 0
Rule 36: 42471d4727, Class:  2, CF:0.563339, Len: 10, Fitness_tra: 0
Rule 37: 2e37721185, Class:  4, CF:0.962799, Len: 10, Fitness_tra: 0
Rule 38: 17b12dbb17, Class:  2, CF:0.878396, Len: 10, Fitness_tra: 938
Rule 39: 1147114b44, Class:  4, CF:0.556799, Len: 10, Fitness_tra: 0
Rule 40: b375c2122b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 41: 7171217247, Class:  2, CF:0.977759, Len: 10, Fitness_tra: 349
Rule 42: 4c24582411, Class:  2, CF:0.51418, Len: 10, Fitness_tra: 0
