------Generation 0------
Rule  1: 7871dd1472, Class:  2, CF:0.996718, Len: 10, Fitness_tra: 60
Rule  2: 27218a4414, Class:  3, CF:0.998354, Len: 10, Fitness_tra: 0
Rule  3: 122b534121, Class:  2, CF:0.998662, Len: 10, Fitness_tra: 0
Rule  4: 1c223f7127, Class:  4, CF:0.993297, Len: 10, Fitness_tra: 0
Rule  5: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 2d524111c2, Class:  4, CF:0.980768, Len: 10, Fitness_tra: 2
Rule  7: 7271151b12, Class:  2, CF:0.657883, Len: 10, Fitness_tra: 707
Rule  8: 77bb1c1717, Class:  2, CF:0.285393, Len: 10, Fitness_tra: -302
Rule  9: 122bc211b1, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 4b72ff4141, Class:  4, CF:0.971961, Len: 10, Fitness_tra: 0
Rule 11: 71b113b7b7, Class:  4, CF:0.947592, Len: 10, Fitness_tra: 25
Rule 12: b2bb3342b7, Class:  4, CF:0.983929, Len: 10, Fitness_tra: 0
Rule 13: b271492b2b, Class:  2, CF:0.751859, Len: 10, Fitness_tra: 0
Rule 14: b241517211, Class:  2, CF:0.985626, Len: 10, Fitness_tra: 5
Rule 15: 4c44391915, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 16: 7b71d61427, Class:  3, CF:0.999999, Len: 10, Fitness_tra: 0
Rule 17: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: b2b731b714, Class:  4, CF:0.684089, Len: 10, Fitness_tra: -4
Rule 19: c8c11abdd5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 42bbb87bb7, Class:  4, CF:0.604933, Len: 10, Fitness_tra: 0
Rule 21: 4214337d35, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 22: 4444114172, Class:  4, CF:0.720443, Len: 10, Fitness_tra: 0
Rule 23: b747212211, Class:  2, CF:0.672618, Len: 10, Fitness_tra: 0
Rule 24: 15b4812172, Class:  1, CF:0.957475, Len: 10, Fitness_tra: 4
Rule 25: 12226627b4, Class:  4, CF:0.999857, Len: 10, Fitness_tra: 0
Rule 26: 44b7662b77, Class:  4, CF:0.999769, Len: 10, Fitness_tra: 0
Rule 27: b32b29b222, Class:  2, CF:0.999849, Len: 10, Fitness_tra: 0
Rule 28: 7bbb1f4417, Class:  4, CF:0.994199, Len: 10, Fitness_tra: 0
Rule 29: 1247564717, Class:  3, CF:0.948622, Len: 10, Fitness_tra: 0
Rule 30: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 71121d11b4, Class:  2, CF:0.324268, Len: 10, Fitness_tra: -3535
Rule 33: 1247112b47, Class:  4, CF:0.324743, Len: 10, Fitness_tra: -1
