------Generation 0------
Rule  1: b217152b41, Class:  1, CF:0.920261, Len: 10, Fitness_tra: 79
Rule  2: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 741126b422, Class:  4, CF:0.999895, Len: 10, Fitness_tra: 0
Rule  4: 71728db2b7, Class:  2, CF:0.993025, Len: 10, Fitness_tra: 0
Rule  5: 2172c17714, Class:  2, CF:0.982181, Len: 10, Fitness_tra: 0
Rule  6: b87151bbb7, Class:  2, CF:0.209058, Len: 10, Fitness_tra: 0
Rule  7: 4122421bb7, Class:  2, CF:0.318289, Len: 10, Fitness_tra: -12
Rule  8: 7bbb6a2441, Class:  4, CF:0.998948, Len: 10, Fitness_tra: 0
Rule  9: 7112724411, Class:  2, CF:0.666701, Len: 10, Fitness_tra: -3754
Rule 10: 25124342b2, Class:  4, CF:0.933594, Len: 10, Fitness_tra: 0
Rule 11: 4811837121, Class:  2, CF:0.891216, Len: 10, Fitness_tra: 0
Rule 12: b711317b2b, Class:  4, CF:0.729383, Len: 10, Fitness_tra: 0
Rule 13: 2177554b4b, Class:  2, CF:0.546857, Len: 10, Fitness_tra: 0
Rule 14: 71c4157c11, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 15: 21b1c31111, Class:  3, CF:0.546421, Len: 10, Fitness_tra: 0
Rule 16: 247b66b447, Class:  4, CF:0.999959, Len: 10, Fitness_tra: 0
Rule 17: 1447ff2722, Class:  4, CF:0.999995, Len: 10, Fitness_tra: 0
Rule 18: 4b24da2422, Class:  3, CF:  1, Len: 10, Fitness_tra: 0
Rule 19: 0400000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 2a11c57315, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 22: b741717221, Class:  2, CF:0.794193, Len: 10, Fitness_tra: 54
Rule 23: 227111711b, Class:  4, CF:0.475662, Len: 10, Fitness_tra: 24
Rule 24: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
