------Generation 0------
Rule  1: 12b12e7141, Class:  2, CF:0.61364, Len: 10, Fitness_tra: -1305
Rule  2: 474253b472, Class:  2, CF:0.999986, Len: 10, Fitness_tra: 0
Rule  3: 72221e7bbb, Class:  1, CF:0.197302, Len: 10, Fitness_tra: 0
Rule  4: 722283b421, Class:  2, CF:0.965591, Len: 10, Fitness_tra: 0
Rule  5: c1871611d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 41741e1217, Class:  2, CF:0.967123, Len: 10, Fitness_tra: 5
Rule  8: 444711b127, Class:  4, CF:0.0479813, Len: 10, Fitness_tra: -7
Rule  9: 42121a7ccd, Class:  4, CF:  1, Len: 10, Fitness_tra: 0
Rule 10: bb11812212, Class:  2, CF:0.999496, Len: 10, Fitness_tra: 0
Rule 11: 411b151112, Class:  2, CF:0.0886954, Len: 10, Fitness_tra: -4462
Rule 12: 77b4b21b7b, Class:  4, CF:0.763209, Len: 10, Fitness_tra: 129
Rule 13: 7c14191211, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 27b1ce7112, Class:  2, CF:0.996294, Len: 10, Fitness_tra: 0
Rule 15: 2b7111121b, Class:  2, CF:0.53109, Len: 10, Fitness_tra: -15
Rule 16: 79b741422b, Class:  2, CF:0.937549, Len: 10, Fitness_tra: 1
Rule 17: 1121197515, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 18: b57b2571b1, Class:  1, CF:0.953923, Len: 10, Fitness_tra: 12
Rule 19: 7274297b72, Class:  2, CF:0.0161492, Len: 10, Fitness_tra: 0
Rule 20: 2122261447, Class:  4, CF:0.999821, Len: 10, Fitness_tra: 0
Rule 21: 47b71d1777, Class:  2, CF:0.44371, Len: 10, Fitness_tra: -2
Rule 22: 4314252638, Class:  2, CF:0.995013, Len: 10, Fitness_tra: 0
Rule 23: 74112db21b, Class:  2, CF:0.979798, Len: 10, Fitness_tra: 217
Rule 24: b414ff474b, Class:  4, CF:0.999794, Len: 10, Fitness_tra: 0
Rule 25: 72b4312777, Class:  4, CF:0.891082, Len: 10, Fitness_tra: 0
Rule 26: 76b6a61441, Class:  4, CF:0.923276, Len: 10, Fitness_tra: 789
Rule 27: 13e7142111, Class:  4, CF:  1, Len: 10, Fitness_tra: 0
Rule 28: 72241b77b2, Class:  4, CF:0.994391, Len: 10, Fitness_tra: 2
Rule 29: 42777c4b71, Class:  4, CF:0.237373, Len: 10, Fitness_tra: -3
Rule 30: b1b441b411, Class:  2, CF:0.547373, Len: 10, Fitness_tra: -303
Rule 31: 41bbc34414, Class:  2, CF:0.953362, Len: 10, Fitness_tra: 0
Rule 32: 744b354222, Class:  2, CF:0.873061, Len: 10, Fitness_tra: 30
Rule 33: b47149b174, Class:  2, CF:0.994506, Len: 10, Fitness_tra: 138
Rule 34: 427baf12bb, Class:  4, CF:0.999992, Len: 10, Fitness_tra: 0
Rule 35: 17111c4241, Class:  2, CF:0.870058, Len: 10, Fitness_tra: -1122
Rule 36: 112bfa4744, Class:  4, CF:0.999975, Len: 10, Fitness_tra: 1
Rule 37: 27b759b74b, Class:  2, CF:0.985986, Len: 10, Fitness_tra: 0
Rule 38: 4312157215, Class:  2, CF:0.987924, Len: 10, Fitness_tra: 0
Rule 39: 71422e141b, Class:  2, CF:0.951313, Len: 10, Fitness_tra: 1
Rule 40: 4227aa212b, Class:  4, CF:0.999968, Len: 10, Fitness_tra: 0
Rule 41: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 2b14ff22b1, Class:  4, CF:0.991939, Len: 10, Fitness_tra: 0
Rule 43: 4217517712, Class:  1, CF:0.255652, Len: 10, Fitness_tra: 0
Rule 44: b84b82b71b, Class:  2, CF:0.580623, Len: 10, Fitness_tra: 0
Rule 45: 427b9911b1, Class:  1, CF:0.644105, Len: 10, Fitness_tra: 0
Rule 46: 424491b442, Class:  2, CF:0.881489, Len: 10, Fitness_tra: 0
Rule 47: 1b1213b221, Class:  4, CF:0.120621, Len: 10, Fitness_tra: -1
Rule 48: 1b12617b74, Class:  4, CF:0.970391, Len: 10, Fitness_tra: 0
Rule 49: 7bb11112b2, Class:  2, CF:0.469823, Len: 10, Fitness_tra: 294
Rule 50: b11491bbb7, Class:  2, CF:0.279217, Len: 10, Fitness_tra: 0
Rule 51: b472a31142, Class:  4, CF:0.995528, Len: 10, Fitness_tra: 18
Rule 52: 74b2ff71bb, Class:  4, CF:0.9993, Len: 10, Fitness_tra: 0
Rule 53: b1b2614214, Class:  4, CF:0.970915, Len: 10, Fitness_tra: 0
Rule 54: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: b7b2154177, Class:  2, CF:0.818343, Len: 10, Fitness_tra: 0
Rule 57: b4271cbb47, Class:  4, CF:0.470531, Len: 10, Fitness_tra: 0
Rule 58: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 257b474177, Class:  2, CF:0.0624739, Len: 10, Fitness_tra: 0
Rule 62: 7bb7111772, Class:  2, CF:0.327582, Len: 10, Fitness_tra: 0
Rule 63: 777b19b217, Class:  2, CF:0.993079, Len: 10, Fitness_tra: 0
Rule 64: 111189be38, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 2427132772, Class:  4, CF:0.9956, Len: 10, Fitness_tra: 2
Rule 67: bc72257b14, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: b7413a1241, Class:  4, CF:0.999833, Len: 10, Fitness_tra: 140
Rule 69: 27171347b1, Class:  4, CF:0.868002, Len: 10, Fitness_tra: 0
Rule 70: b4122ab2b1, Class:  4, CF:0.998803, Len: 10, Fitness_tra: 0
Rule 71: 000090000b, Class:  2, CF:0.713196, Len:  2, Fitness_tra: -1052
Rule 72: 1d24727817, Class:  2, CF:0.999933, Len: 10, Fitness_tra: 263
Rule 73: b4243314b1, Class:  4, CF:0.997182, Len: 10, Fitness_tra: 99
Rule 74: b11271bb21, Class:  2, CF:0.107655, Len: 10, Fitness_tra: 0
Rule 75: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 7174da717b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 72171344b2, Class:  4, CF:0.983, Len: 10, Fitness_tra: 0
Rule 78: 7b72212742, Class:  2, CF:0.944759, Len: 10, Fitness_tra: 0
Rule 79: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 74b41c742b, Class:  2, CF:0.631512, Len: 10, Fitness_tra: 3
Rule 81: 2222557b2b, Class:  1, CF:0.546728, Len: 10, Fitness_tra: 0
Rule 82: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
