------Generation 0------
Rule  1: 4b7159b7b7, Class:  2, CF:0.997532, Len: 10, Fitness_tra: 0
Rule  2: 2174232722, Class:  4, CF:0.640542, Len: 10, Fitness_tra: 0
Rule  3: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 2822112154, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule  5: 7721252711, Class:  2, CF:0.970414, Len: 10, Fitness_tra: -77
Rule  6: 7722162214, Class:  4, CF:0.999659, Len: 10, Fitness_tra: 0
Rule  7: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 49c7517135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 47b21a7714, Class:  4, CF:0.999353, Len: 10, Fitness_tra: 0
Rule 10: c21b227111, Class:  4, CF:0.777496, Len: 10, Fitness_tra: -3
Rule 11: 47415e4124, Class:  2, CF:0.999025, Len: 10, Fitness_tra: 0
Rule 12: 0d00000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 17276171b4, Class:  4, CF:0.996988, Len: 10, Fitness_tra: 0
Rule 14: 2717114214, Class:  2, CF:0.125206, Len: 10, Fitness_tra: 0
Rule 15: 712136721b, Class:  4, CF:0.995317, Len: 10, Fitness_tra: -14
Rule 16: 12b489b144, Class:  1, CF:0.405319, Len: 10, Fitness_tra: 17
Rule 17: 182115721b, Class:  2, CF:0.447689, Len: 10, Fitness_tra: 9
Rule 18: b7228542b4, Class:  2, CF:0.989341, Len: 10, Fitness_tra: 0
Rule 19: b2b21944b1, Class:  1, CF:0.799656, Len: 10, Fitness_tra: 5
Rule 20: 2b4413427b, Class:  4, CF:0.916829, Len: 10, Fitness_tra: 0
Rule 21: 1124331417, Class:  4, CF:0.985053, Len: 10, Fitness_tra: 114
Rule 22: 772b51b71b, Class:  2, CF:0.952964, Len: 10, Fitness_tra: 0
Rule 23: 2b2215bb47, Class:  2, CF:0.974636, Len: 10, Fitness_tra: 0
Rule 24: b2441977b2, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 417b184114, Class:  2, CF:0.547231, Len: 10, Fitness_tra: 0
Rule 26: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: bd2443247b, Class:  4, CF:0.921855, Len: 10, Fitness_tra: 0
Rule 29: b341b32171, Class:  4, CF:0.462845, Len: 10, Fitness_tra: -103
Rule 30: 4b24427224, Class:  2, CF:0.996217, Len: 10, Fitness_tra: 0
Rule 31: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 7bb42d4111, Class:  2, CF:0.91577, Len: 10, Fitness_tra: -25
Rule 33: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 717271b212, Class:  2, CF:0.678244, Len: 10, Fitness_tra: 1
Rule 35: 21425522b7, Class:  2, CF:0.640002, Len: 10, Fitness_tra: 0
Rule 36: 177289447b, Class:  2, CF:0.912632, Len: 10, Fitness_tra: 0
Rule 37: 11148f1172, Class:  4, CF:0.493858, Len: 10, Fitness_tra: 0
Rule 38: 2b721e4444, Class:  2, CF:0.998772, Len: 10, Fitness_tra: 0
Rule 39: 24741ab74b, Class:  4, CF:0.999955, Len: 10, Fitness_tra: 0
Rule 40: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: b141192147, Class:  2, CF:0.991314, Len: 10, Fitness_tra: -163
Rule 43: 44b7c37b1b, Class:  2, CF:0.670019, Len: 10, Fitness_tra: 0
Rule 44: 481256b135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 74b1194b1b, Class:  2, CF:0.900446, Len: 10, Fitness_tra: 2
Rule 47: 777b9a2222, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: b274112142, Class:  4, CF:0.172105, Len: 10, Fitness_tra: 0
Rule 49: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 7111d5b4b1, Class:  2, CF:0.957677, Len: 10, Fitness_tra: -1079
Rule 51: 21b431724b, Class:  4, CF:0.363935, Len: 10, Fitness_tra: 0
Rule 52: 172bc17242, Class:  2, CF:0.994933, Len: 10, Fitness_tra: 2
Rule 53: 271125bb2b, Class:  2, CF:0.941737, Len: 10, Fitness_tra: 13
Rule 54: 51442b2121, Class:  3, CF:  1, Len: 10, Fitness_tra: 0
Rule 55: 71148e7447, Class:  2, CF:0.963632, Len: 10, Fitness_tra: 0
Rule 56: 7127c37212, Class:  2, CF:0.990333, Len: 10, Fitness_tra: 1
Rule 57: 1712f6b224, Class:  4, CF:0.998998, Len: 10, Fitness_tra: 0
Rule 58: 42145ab417, Class:  3, CF:  1, Len: 10, Fitness_tra: 0
Rule 59: c8cb5e1152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: c11233b552, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 4171ca7424, Class:  4, CF:0.809162, Len: 10, Fitness_tra: 0
Rule 63: 2244134112, Class:  4, CF:0.970527, Len: 10, Fitness_tra: -1
Rule 64: 114b111141, Class:  4, CF:0.540269, Len: 10, Fitness_tra: -4626
Rule 65: 1bb2117744, Class:  2, CF:0.436621, Len: 10, Fitness_tra: 0
Rule 66: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: b12211b2b1, Class:  4, CF:0.680829, Len: 10, Fitness_tra: 0
Rule 68: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: b271217bb7, Class:  4, CF:0.315083, Len: 10, Fitness_tra: 0
Rule 70: 8312177119, Class:  4, CF:  1, Len: 10, Fitness_tra: 0
Rule 71: 117185b427, Class:  2, CF:0.997069, Len: 10, Fitness_tra: 434
Rule 72: 2447afb224, Class:  4, CF:0.999991, Len: 10, Fitness_tra: 0
Rule 73: b77b421b42, Class:  2, CF:0.737358, Len: 10, Fitness_tra: 226
Rule 74: 112b112144, Class:  4, CF:0.557926, Len: 10, Fitness_tra: 0
Rule 75: 71271522b7, Class:  2, CF:0.687243, Len: 10, Fitness_tra: 0
Rule 76: 1442894117, Class:  1, CF:0.368681, Len: 10, Fitness_tra: 1407
Rule 77: 4c2c3f4422, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 21b1234712, Class:  4, CF:0.729143, Len: 10, Fitness_tra: -20
Rule 79: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 224225b147, Class:  2, CF:0.460003, Len: 10, Fitness_tra: 0
Rule 81: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: b14b91b247, Class:  2, CF:0.989791, Len: 10, Fitness_tra: 0
Rule 83: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: bb71cf1b1b, Class:  3, CF:0.980802, Len: 10, Fitness_tra: 3
Rule 85: 72279ebb74, Class:  1, CF:0.739502, Len: 10, Fitness_tra: 0
Rule 86: 411c5dbb4b, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 87: 4822117142, Class:  4, CF:0.668563, Len: 10, Fitness_tra: 13
Rule 88: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 1717934144, Class:  3, CF:0.897097, Len: 10, Fitness_tra: 0
Rule 90: 447c161772, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 91: 42b42121b7, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 41144d4217, Class:  2, CF:0.881794, Len: 10, Fitness_tra: 0
Rule 94: 477291147b, Class:  2, CF:0.990901, Len: 10, Fitness_tra: 0
Rule 95: 2212237422, Class:  2, CF:0.533077, Len: 10, Fitness_tra: 0
Rule 96: ca17c57612, Class:  3, CF:  1, Len: 10, Fitness_tra: 0
Rule 97: 22b41ab222, Class:  4, CF:0.999975, Len: 10, Fitness_tra: 0
Rule 98: 41141d77b1, Class:  2, CF:0.559762, Len: 10, Fitness_tra: -37
Rule 99: 7115252747, Class:  1, CF:0.999973, Len: 10, Fitness_tra: 0
Rule100: b84721b177, Class:  4, CF:0.159419, Len: 10, Fitness_tra: 0
------Current------
Miss_rate(tra)	:99.0079
------Result------
Miss_rate(tra)	:99.0079
Miss_rate(tst)	:95.521
ARL				:10

------Generation 0------
Rule  1: 1442894117, Class:  1, CF:0.368681, Len: 10, Fitness_tra: 1765
Rule  2: 117185b427, Class:  2, CF:0.997069, Len: 10, Fitness_tra: 526
Rule  3: b77b421b42, Class:  2, CF:0.737358, Len: 10, Fitness_tra: 495
Rule  4: 1124331417, Class:  4, CF:0.985053, Len: 10, Fitness_tra: -93
Rule  5: 12b489b144, Class:  1, CF:0.405319, Len: 10, Fitness_tra: 33
Rule  6: 4822117142, Class:  4, CF:0.668563, Len: 10, Fitness_tra: 57
Rule  7: 271125bb2b, Class:  2, CF:0.941737, Len: 10, Fitness_tra: 103
Rule  8: 182115721b, Class:  2, CF:0.447689, Len: 10, Fitness_tra: -151
Rule  9: b2b21944b1, Class:  1, CF:0.799656, Len: 10, Fitness_tra: 5
Rule 10: bb71cf1b1b, Class:  3, CF:0.980802, Len: 10, Fitness_tra: 6
