------Generation 0------
Rule  1: 11114217113121b5, Class:  8, CF:  1, Len: 16, Fitness_tra: 1
Rule  2: 3611113131115bb2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: b1166a1619121122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 111a19121172d569, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 1656197822621111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: bec31a531c2457a4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: b121936331115c14, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: af13231115111427, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 13df311512471267, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 131113251535181b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 53913e3112211132, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 1613211115156217, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 133a131319a55722, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 712fd181122b1411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 533af61511322272, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 7123169132121ca2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 5611112157121811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 861371141ca31111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 0000000000050303, Class:  4, CF:0.124087, Len:  3, Fitness_tra: 11
Rule 20: 711311814214d214, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 111f1a2315f13412, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 2112116ca59f2311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 212e31a13111d817, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 161f9315141718f2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 111591661e111c17, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 3611231115151127, Class:  9, CF:  1, Len: 16, Fitness_tra: 1
Rule 27: 1116352144219261, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 1333511222171142, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 1e422494f56613b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 131132174c411a1f, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 6656211521911c42, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 7116a31192141838, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 1311211c6c611117, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 11131181412154f4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 1171213461112321, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 113661e31131141b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 112311174415132a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 26d3338111a21244, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 411fff331595141b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 131f198244221112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 1116119935315777, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 1611112bb12111f6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 16131f5613155174, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 11131a1115321262, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 21b3351711115a63, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 335111121262557c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: d600a0e000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 211136f665153c11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: b11f139551321221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 13225462351f1fb5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 212639884471d7a1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 1115181121735a6f, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 3613731331111114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: b0d0000000000400, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: b311166512171111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 0000000e03a0d00b, Class:  8, CF:  1, Len:  5, Fitness_tra: 1
Rule 57: a15a151363a21411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 5111112118391621, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 13511a191c141767, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 13311a4931311144, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: b11e96a6315d1114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 1611111b12151316, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: bd5313f331113c1b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 1a13751114f81811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 1a1345183131383b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 11ea31933812174b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 31331321145b9125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 2115122411135a1f, Class:  9, CF:0.364938, Len: 16, Fitness_tra: 3
Rule 69: 111a611918112421, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 0650005008000007, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 111a613311b11411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 25411b68f1e11611, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 1313219f33115121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 005009000d000050, Class:  9, CF:0.567419, Len:  4, Fitness_tra: 0
Rule 75: 000e060008000900, Class:  0, CF:  1, Len:  4, Fitness_tra: 1
Rule 76: 1111619911615174, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 438a3a6911113227, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 1113a615113721bb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 1611195122128532, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 23913151356114b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 26195827227e1316, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 2326b115311d326b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 111615812111123b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 1a11d12721211613, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
