------Generation 0------
Rule  1: 5643422b31313116, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 13e1199111642b22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 9a81452152f26111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 1116191214241511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 2611111395121712, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 465313159712d111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 000a000000000000, Class:  0, CF:0.800517, Len:  1, Fitness_tra: 8
Rule  8: 758119316611113b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 735f3a1512111212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 12c9391a3a399217, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 76163e321b21d565, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 151513ff19151c1b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 1e11911872425431, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 1ab11da511111112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 1111113331315274, Class:  8, CF:  1, Len: 16, Fitness_tra: 1
Rule 16: 532643152818126b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 1311531541121212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 11119151c24451f7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 3311113313a1d214, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 861511142145566f, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 231ebd1811113c37, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 2529131f6ee15252, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 0000600000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 08050e0000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 13b57111fc611671, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 1319111211191113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 265fa115921b8131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 3f56494827116212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: d916331151411132, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 05d0000000500000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 3f9a811212171111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 73213f6555112234, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 11234184913d1313, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 1649121b2c2e116f, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 00000090030c0740, Class:  8, CF:0.227921, Len:  5, Fitness_tra: -1
Rule 36: 21159252141921f1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 131651363391824b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 231941346131d6be, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 1121121211a31621, Class:  1, CF:0.987059, Len: 16, Fitness_tra: 4
Rule 40: 13239114111153a3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 235f19385b711531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 0a00005d02000000, Class:  9, CF:  1, Len:  4, Fitness_tra: 0
Rule 43: 41161e1d51625224, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 0000a0e000000000, Class:  4, CF:0.346334, Len:  2, Fitness_tra: 2
Rule 45: 00603e0028207700, Class:  7, CF:0.122674, Len:  8, Fitness_tra: -1
Rule 46: 009000000e000000, Class:  9, CF:0.847153, Len:  2, Fitness_tra: 7
Rule 47: 1191311b22111623, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 5323151131f19111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 1121155121252613, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: b11611111162111b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 418a131157815161, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
