------Generation 0------
Rule  1: 6f51132555115421, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 13111611111127a7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 11232511a3111212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 133af69131145bb2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 135d12b418196111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 0000000000080060, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 0000000000090000, Class:  0, CF:0.341545, Len:  1, Fitness_tra: -8
Rule  8: 13d6111113155171, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 431a131121124111, Class:  0, CF:  1, Len: 16, Fitness_tra: 0
Rule 10: 16211d11a1659134, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 161113611d4c1264, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 13b195521b23816f, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 0009a00f00030000, Class:  0, CF:0.171316, Len:  4, Fitness_tra: -10
Rule 14: 132e11123113183b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 16313a16191114b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 269391153df151b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 0000000e09f0000b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 133f339112378241, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 0000003060000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 11413511224123af, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 1616411121123162, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 1111111611351222, Class:  5, CF:  1, Len: 16, Fitness_tra: 19
Rule 23: 5a23781212ad1181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 1941173163332315, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: bd29916116113814, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 5a81751565613c51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 1621b1121811323b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 5611115272111163, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 2111164351115121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 0000000000000000, Class:  5, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 233f1619116111b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 1129bd1861331c11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 11511177211ea116, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 00000f0e50080000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 111214a1f3162113, Class:  6, CF:  1, Len: 16, Fitness_tra: 1
