------Generation 0------
Rule  1: 1381154111ac5221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: a63321211ba73c41, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 1321b11131ad1812, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 4111331911123444, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 134129b511183c6b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 0f00e00000000000, Class:  9, CF:  1, Len:  2, Fitness_tra: 1
Rule  7: 0000505000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 7113131115121114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 49b28214ad3a1613, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 1311292135a1121b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 7111113fae651132, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 1511111ca51ac37d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 4121d13663151c52, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 21133316395d2c1b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 1a29421231151834, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 115ad11922149b67, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 1111a3111272273b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 56114111f3131114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 21111b68f133237d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 2671419461f31141, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 1321111722193311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 000e000000000400, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 0dfe00000c0bb005, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 13161963f13251b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 1156131111a25472, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 132e755261a91212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 000e000600000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 1629121131319512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 00000a0e0d0c0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 11c3311e91321411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 8315413ba2fe1f41, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 721596a11e15122b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 1e15114111191311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 211512c745b61111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 261f11551bc75865, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 00000000500c0740, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 111a1e159512d724, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 0000000000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 2513116f6e113817, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 765361eed5211b64, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: f613457c21111518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 1311321121111a26, Class:  1, CF:  1, Len: 16, Fitness_tra: 0
Rule 43: bd5131a111951c97, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 0000000000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 1326b17cd4115112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 1381711165153112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 49221411a33a2a41, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 4653331142171134, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 264512174c4916fa, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 1151111a19651222, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 16194811f5113212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 13259251b1111aaa, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 111a133e5122126b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 41166115111b5812, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 712a131514241261, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 26195551122313f6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 711aa111122b2831, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 11163155111192a2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
