------Generation 0------
Rule  1: 1313f3ed3112d727, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 311111153532d241, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 0000000000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 3111111161311112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 8a13251d61355811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 13611a1351185214, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 0000050000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 232f91512171126b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 86134c8be11136c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: fa16412124121548, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 1511166319111c21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 83d33155221712a7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 21161a336335141b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: ff5a2125351157b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 26b5215b18f11621, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: b35333319184d261, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 006036090508b000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 112e41186113111b, Class:  6, CF:  1, Len: 16, Fitness_tra: 1
Rule 19: 1a2ab512523c1133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 1f13451114115122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: b52511331335111b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 211515121211236f, Class:  5, CF:0.392412, Len: 16, Fitness_tra: -5
