------Generation 0------
Rule  1: 0700000000d50, Class:  1, CF:0.106025, Len:  3, Fitness_tra: 0
Rule  2: 1155114321228, Class:  1, CF:0.523559, Len: 13, Fitness_tra: 0
Rule  3: 000000c000500, Class:  1, CF:0.328832, Len:  2, Fitness_tra: 1
Rule  4: 1211819111131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 1285281121511, Class:  1, CF:0.967646, Len: 13, Fitness_tra: 0
Rule  6: 000080b040000, Class:  2, CF:0.499571, Len:  3, Fitness_tra: 2
Rule  7: 5111512221111, Class:  0, CF:0.747769, Len: 13, Fitness_tra: 0
Rule  8: 0030000008400, Class:  0, CF:0.126398, Len:  3, Fitness_tra: 0
Rule  9: 1115112111111, Class:  1, CF:0.568832, Len: 13, Fitness_tra: 0
Rule 10: e1111315155d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 1458819155111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 1293418321111, Class:  0, CF:0.895397, Len: 13, Fitness_tra: 0
Rule 13: 200d000004000, Class:  2, CF:0.437055, Len:  3, Fitness_tra: 7
Rule 14: 1111114121212, Class:  0, CF:0.0650531, Len: 13, Fitness_tra: 0
Rule 15: 1155114315111, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 16: 4000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 1191595551551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 000000c000000, Class:  0, CF:0.189372, Len:  1, Fitness_tra: -11
Rule 19: 9111111181111, Class:  0, CF:0.925787, Len: 13, Fitness_tra: 0
Rule 20: 8000000000002, Class:  0, CF:0.439102, Len:  2, Fitness_tra: -6
Rule 21: 511515551c515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 1115252882512, Class:  1, CF:0.892389, Len: 13, Fitness_tra: 0
Rule 23: 1535c14183411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 9212131111111, Class:  2, CF:0.980973, Len: 13, Fitness_tra: 0
Rule 25: 2000000000002, Class:  0, CF:0.422348, Len:  2, Fitness_tra: -2
Rule 26: 323c1331d5811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
