------Generation 0------
Rule  1: 3112111211831, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule  2: 113511251314c, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule  3: 911111d151531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 2211111214511, Class:  1, CF:0.693319, Len: 13, Fitness_tra: 0
Rule  5: 12511992588e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 51111c1113125, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  7: 1111112111512, Class:  1, CF:0.446265, Len: 13, Fitness_tra: 0
Rule  8: 000000c004000, Class:  0, CF:0.546797, Len:  2, Fitness_tra: 10
Rule  9: 1193511221111, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 10: 3411215251161, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 115d112181111, Class:  1, CF:0.000171191, Len: 13, Fitness_tra: 0
Rule 12: 2151111112111, Class:  2, CF:0.836406, Len: 13, Fitness_tra: 0
Rule 13: 3c11113255513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 115d11b311111, Class:  2, CF:0.758939, Len: 13, Fitness_tra: 0
Rule 15: 1411855111551, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 16: 1812131155111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: c000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 1151151114812, Class:  0, CF:0.986336, Len: 13, Fitness_tra: 0
Rule 19: 2111211511551, Class:  0, CF:0.640149, Len: 13, Fitness_tra: 0
Rule 20: 1115255d12231, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 1c111355511d3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 0030530000000, Class:  1, CF:0.984149, Len:  3, Fitness_tra: 1
Rule 23: 0080000000002, Class:  0, CF:0.316837, Len:  2, Fitness_tra: -16
Rule 24: 1111118111111, Class:  1, CF:0.503667, Len: 13, Fitness_tra: 0
Rule 25: 11311c11c512c, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 26: 1282118151512, Class:  0, CF:0.0432115, Len: 13, Fitness_tra: 0
Rule 27: 1515117111111, Class:  1, CF:0.247255, Len: 13, Fitness_tra: 0
Rule 28: 11121154d8235, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: e115211118511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
