------Generation 0------
Rule  1: 000fe60000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 5115111321111, Class:  1, CF:0.315562, Len: 13, Fitness_tra: 0
Rule  3: 11151c1129121, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule  4: 315815d558531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 11dc133111111, Class:  2, CF:0.285536, Len: 13, Fitness_tra: 0
Rule  6: 3111111158535, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 1151542141221, Class:  0, CF:0.569708, Len: 13, Fitness_tra: 0
Rule  8: 1211111222d92, Class:  0, CF:0.251191, Len: 13, Fitness_tra: 0
Rule  9: 511181b31112c, Class:  0, CF:0.994707, Len: 13, Fitness_tra: 0
Rule 10: 31111191d1135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 321111d211111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 12: 5111115c11111, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 13: e211111151193, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 14: 9c1521d158d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 3111111111121, Class:  1, CF:0.936291, Len: 13, Fitness_tra: 1
Rule 16: 1215218154111, Class:  0, CF:0.720623, Len: 13, Fitness_tra: 0
Rule 17: 8111111214152, Class:  0, CF:0.925142, Len: 13, Fitness_tra: 0
Rule 18: 8211152212151, Class:  0, CF:0.886663, Len: 13, Fitness_tra: 0
Rule 19: 11518c7519112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 121515d11151d, Class:  0, CF:0.857312, Len: 13, Fitness_tra: 0
Rule 21: 9211819151513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 0000807e40000, Class:  1, CF:0.365098, Len:  4, Fitness_tra: 0
Rule 23: 0020000050500, Class:  0, CF:0.0174407, Len:  3, Fitness_tra: 0
Rule 24: 91318111581d5, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 25: 1c51819115591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 2121115251532, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 51d111411341c, Class:  0, CF:0.998518, Len: 13, Fitness_tra: 0
Rule 28: 1151124141211, Class:  1, CF:0.174141, Len: 13, Fitness_tra: 0
Rule 29: 5551887121121, Class:  0, CF:0.998262, Len: 13, Fitness_tra: 0
