------Generation 0------
Rule  1: 1551222d2111c, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule  2: 000000c000500, Class:  1, CF:0.373635, Len:  2, Fitness_tra: 4
Rule  3: 3235115511115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 1215455124112, Class:  0, CF:0.460286, Len: 13, Fitness_tra: 0
Rule  5: 0000000000200, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 5151111212112, Class:  2, CF:0.679287, Len: 13, Fitness_tra: 0
Rule  7: 1151c15112531, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  8: 1152533118111, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule  9: 0000590000003, Class:  0, CF:0.0438692, Len:  3, Fitness_tra: 0
Rule 10: 12185312d1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 2151151112111, Class:  0, CF:0.322026, Len: 13, Fitness_tra: 0
Rule 12: 12581952d2815, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 13: 1111111222111, Class:  2, CF:0.439961, Len: 13, Fitness_tra: 0
Rule 14: e151891155511, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 15: 1412155188513, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 16: 11512cb18111c, Class:  0, CF:0.61665, Len: 13, Fitness_tra: 0
Rule 17: 1c1c21d11c535, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 12d1112312552, Class:  0, CF:0.921573, Len: 13, Fitness_tra: 0
Rule 19: 1111112111111, Class:  1, CF:0.516346, Len: 13, Fitness_tra: 0
Rule 20: 1cd5122124551, Class:  1, CF:0.995332, Len: 13, Fitness_tra: 0
Rule 21: 511112b312121, Class:  0, CF:0.177441, Len: 13, Fitness_tra: 0
Rule 22: 511112412c112, Class:  0, CF:0.987609, Len: 13, Fitness_tra: 0
Rule 23: 111111212121c, Class:  0, CF:0.448599, Len: 13, Fitness_tra: 0
Rule 24: e252199815111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
